rank	biomarkers	candidates	cluster
339	-	OCLN	SRC,LCT,TXK,FHIT,CENPV,PPM1F,ADGRE5,RHOQ,KCNQ5,SH2D2A,PTGER4,ALS2CR12,STAP2,LCP2,ZNF658B,FEM1A
341	GC	EPPK1,MRPS12	RBM5,KLHL20,RFC5,CETN3,KLK10,HABP4,CRCT1,TDGF1,PAEP,DDIT4,ARID4B,CEP126,CRADD,HSPBP1,AKR1C3,SIK2,FAS,CNKSR1,MPHOSPH6,MAP3K3,WDR62,MAD2L1BP,RIF1,HSPB3,MRPS6,PSG9,SERPINB9,FXR1,ANKRD24,TRDMT1,SUPT5H,ETHE1,PCDHA4,GPC1,CKMT2,SGO2,CCDC106,GSTM4,PQBP1,HLA-DQA1,PLEKHA4,RHOH,BRMS1,GIT1,NEFL,PPP2R5D,DZIP1,PPP2R5A,NRBP1
343	AGR2	-	KCNE2,MRC1,AOC3,SLC9A7,SCAMP2,ATP4A,MAL2,ACSL1,CPD,GIF,SCAMP5,HSD3B2,LMAN2,VAMP5,SLC12A2
344	MCM7	SATB1,SOX4,GATA3	SNAI1,CLOCK,COPS2,JDP2,GPBP1,MMP23B,CD2,MAP9,HIST1H2AA,TP63,SPI1,KLF16,S1PR1,U2AF2,FBXW8,EMB,DUSP2,CTF1,TRIM24,MN1,XPA,CD69,HIST1H2BA,TP53BP2,UBR1,EP300,HIST2H2AB,TCL1A,ITK,NPY5R,MTF1,IFNA7,TP73,L3MBTL1,BCL3,PPP1R13L,CREBBP
345	-	CD38	UBASH3B,ACTG2,LAT2,KRT79,TCN1,CBL,CDKL2,KRT6C,STS,SPRED2,GAB1
348	-	CDK7	GTF2H3,GTF2H1,ERCC2,GTF2H5,GTF2H4
351	-	HERC3	HERPUD1,TRAF3,SLC11A2,AXIN2,CARD11,RNF5,DNAJC2,ID1,NEDD4L,UBA52,CSNK1G1,RBCK1,AMMECR1,NMNAT2,UBXN6,RAPGEF2,HFE,PFKFB3
352	PTN	PTK7,PHC2	CDH10,CDH12,CDH15,CDH17,AHCTF1,CDH18,CLEC4C,CTNNB1,CTNND2,ERMN,SOX1,RPL41,RAB8B,FCER1G,HIC1,SOX17,CDH9,NEURL2,ZBTB33,DOT1L,RBM39,CDH7,CDH6,TCF4,TCF7,FERMT2,BCCIP,USP33,IGFBP2,PRPF38B,TACC3,JRK,RUNX3,L3MBTL3,BCL9,GRIP1,PTPRM,VEZT,FGF20
362	-	HMGCR	RNASE1,ZNRF4,SOAT1,UBIAD1,BCAP31,PRAF2,CHRNA5,KSR1,UBXN4,TRPV4,YIPF3,CANX,BSCL2
363	-	POSTN	TRAPPC2L,TRAPPC8,TRAPPC3L,SPATA22,TECPR1,TRAPPC5,TRAPPC4,REPS2,TRAPPC1,TRAPPC6B,TRAPPC11,TRAPPC10,TRAPPC12
