rank	biomarkers	candidates	cluster
344	EP300,CREBBP	TCL1A,ITK,TRIM24,MN1,XPA,GATA3,BCL3	CLOCK,COPS2,JDP2,GPBP1,MMP23B,CD2,MAP9,HIST1H2AA,SOX4,TP63,SPI1,KLF16,S1PR1,U2AF2,FBXW8,EMB,DUSP2,CTF1,CD69,MCM7,HIST1H2BA,SATB1,TP53BP2,UBR1,SNAI1,HIST2H2AB,NPY5R,MTF1,IFNA7,TP73,L3MBTL1,PPP1R13L
345	-	CBL	CD38,UBASH3B,ACTG2,LAT2,KRT79,TCN1,SPRED2,CDKL2,KRT6C,STS,GAB1
346	EZR	-	LIMD1,FKBP9,UBR7,CROCC,GTF3C4
347	-	PBRM1	ANXA3,PCMTD1,TRHDE,SENP6,NISCH,ZNF233,NUDT6,RAPGEF6,SCHIP1,CTBP2,ZEB2,REG3A
348	ERCC2	-	GTF2H3,GTF2H1,CDK7,GTF2H5,GTF2H4
349	-	CASP8	CASP6,CASP7,SYF2,CASP3,WNK3,STAMBP,PANX1,CALB1,CASP9,GOLGA3,SPP1,MYL3,ATG4D,PLA2G4B,TNS4,AFP,PDE10A,TSNAX
350	BCL2	-	NAF1,CISD2,AVEN,BLID,MEX3D,AGO1
351	HERPUD1	CARD11,AXIN2	TRAF3,SLC11A2,RBCK1,PFKFB3,UBA52,DNAJC2,ID1,NEDD4L,HERC3,CSNK1G1,RAPGEF2,AMMECR1,NMNAT2,UBXN6,RNF5,HFE
352	CTNNB1	BCL9	CDH10,CDH12,CDH15,CDH17,AHCTF1,CDH18,CLEC4C,CTNND2,ERMN,SOX1,RPL41,RAB8B,PTN,FCER1G,PTK7,SOX17,CDH9,NEURL2,PHC2,ZBTB33,DOT1L,RBM39,CDH7,CDH6,TCF4,TCF7,FERMT2,BCCIP,USP33,HIC1,IGFBP2,PRPF38B,TACC3,JRK,RUNX3,L3MBTL3,GRIP1,PTPRM,VEZT,FGF20
355	-	FAT1	SLC6A3,TPPP,TUBA8,HDAC6,BDH1
357	-	STIL	CEP152,PLK2,PLK4,CENPJ,CEP135
358	-	SSX4B	TRAF1,ZNF440,PAX9,HMG20B,ZNF580
359	-	JAK3	EPS8L1,EPS8L2,EPS8L3,CD3E,EPS8
360	-	TNFRSF17,SEPT9,BCL10,TFE3	ATP5J2,DCXR,OAT,NDUFAF1,TARSL2,CFLAR,TICAM1,TIRAP,EIF1AX,CTAGE5,PSMA3,MEDAG,GOT2,HIST2H2AA4,ETFA,PRPSAP1,TRAF5,TRAF6,AHCYL2,DUPD1,GCN1,TMEM109,ESD,OR10J1,GDI2,LRRC59,BCAR3,SEC11A,MPG,BPNT1,RHPN2,NAA50,PSPH,CYB5B,TRAM1,SAE1,NUDT11,MYDGF,AHCY,ACTR2,PAK2,GXYLT1
361	-	ATP1A1	ZNF426,OPTN,ZNF181,KANSL1L,ZNF302,ZNF711,SLMAP,ZMAT2,NDUFAF2,HGF,VWF,SUGP2,SLF2
364	HSP90AB1,ERBB3,FLT4,MDM4,BRAF	BTG1,PTK6,NTRK3,PRDM1,MAP2K4,FBXW7	BAG2,FBXO18,TRIM17,ASB17,FBXO10,HSPA8,ARAF,RCBTB2,HIPK4,G2E3,TYK2,ZNF74,MS4A1,ASB2,ASB3,MAP3K9,DLG4,GAN,GRK7,GRK4,STYK1,CAMK4,NTRK2,PARK2,IRAK3,NPR2,TBX22,FNTB,VRK2,CAMK2D,HLA-DRB3,CAMK2G,TRIM74,KRT27,HLA-DRB5,KLHL6,SEC24D,BAMBI,KLHL1,KSR2,TESK2,FBXL8,NR3C2,EIF4G1,FBXL2,GSK3A,KAT5,NR1I3,NR1I2,FBXO3,KRT7,ZBTB20,INSRR,ZNF215,ALPK1,MYO3B,ACVR1C,ACVR1B,KCNG1,NUAK2,GAB2,TRIM36,AURKC,DCLK2,KCNA6,STIP1,NEK11,PIM3,IARS2,KBTBD4,TADA2A,CORO1C,FBXL13,FBXL14,WSB2,ANXA11,FBXL18,BMX,CHEK1,KLHL36,KLHL34,KLHL32,CDK11A,KLHL38,IBTK,RAG1,HERC4,HERC6,RHOC,SPRR2A,PAK6,VPS41,TNK2,RPS6KA2,FBXW11,RPS6KA5,MOS,PPARD,FBXO34,TRIM8,CAMKK1,STK33,UTP20,AXL,CLK3,FBXO38,TRIM7,KLHL25,FOXP2,ISX,EPHA4,KLHL29,EPHA1,XRCC4,DYRK2,FBXO4,DYRK4,SPSB3,FBXO9,SPSB1,GPKOW,CDC7,CEP164,ECD,STAT2,SKP1,RPS6KB1,MAPK4,FBXO27,FBXO25,TCF25,AREL1,KLHL10,ACVR2B,KLHL13,SH3RF2,FBXO40,RPS6KL1,DLX6,GSG2,MYLK4,TNK1,CAMKV,FER,FES,BBX,DET1,NFRKB,SRPK3,CAMKMT,SGK3,SGK2,RGS11,EIF2AK1,RPS6KC1,PREB,RNF149,CXXC1,SREBF1,AATF,STK32B,C18orf8,DMRTA1,GTF2IRD2,MAP4K2,TRIM73,MAP4K4,LIMK2,SH3RF1,KCTD8,IRS4,RAP2A,C20orf194,KLHL14,PRKY,PRKX,TSSK3,MINK1,CDK18,AMHR2,CDK15,FASTK,VPS33B,RGS6,RGS7,SYNJ1,KCNS3,HOMER3,RGS9,ICK,PRKCH,PIM2,ZC3H7B,PIM1,PRKCA,REST,FOXD4L6,ARMC5,SHANK1,POGK,TIE1,THAP4,ZBED4,TFDP3,BTRC,TRIM49,RAPSN,PDK1,MAP3K12,MAP3K15,SIM2,ZBTB49,PSKH2
365	-	LMNA	PF4V1,SLA2,AGA,NLRC4,MYL4,APOC2,ST13,CLCA2,SERPINE1,CHKB,PTPN23,TTPAL,SLC9A8,GRAP2,SPATA31A7,OR3A2,CST3,SETX,CFB,ZIM2,CDCP1,FAM71E2,MYLK3,QTRT2,SCAF1,OR8D2,NPHS1,OR2T6,PLA2G4F,GJC2,ALB,PDE4B,IGDCC4,ZNF292
366	-	LONP1	FXYD7,APOE,C19orf52,ANKH,HP,LCAT,TMCC2,PLEKHA6,FBXL12,ZNF558,IFIT5,FOXG1,HTRA1,MID1IP1
368	-	BMPR1A	TGFBR1,ACVRL1,IGSF1,BMPR1B,FKBP1B,LRG1
369	HIP1	-	UBB,ITCH,ZNF385A,NEDD4,EDAR,AP2B1
371	-	SLTM	DNTTIP2,ATRAID,PPP4R3A,NEXN,NELL1,NOL10
372	-	MYH9	MYH10,OVGP1,MYH14,LLGL1,AKAP10,TRPM6
374	CD74	NF1,ETV6	CHST11,DHX58,CTBS,CDKN2AIP,IRF8,GPR18,GUCY1A3,CST9,CHRNA1,GUCY1B3,BANK1,LY86,CST5
376	-	RECQL4	MCPH1,FAM122A,IDO1,XAGE2,HDAC7,CRYGS,AKR1A1,HAAO,PCP4,GAMT,GNMT,AKR1B10,MT1X,ZNF146,HAGH,MT3,GAGE5,NAIF1,C1orf174,TSSC4,ZNF414,VGLL4,IFNG,ANXA8L1,PCNP,CRYBB1,TERF2IP,NUDT14,ADA,SCRN2,NUDT18,AKR7A3,RBBP9,OCM2,CALML3,AK1,LGALSL,PGLS,CPNE3,MEF2A,PNMT,RNF8,NXNL1,WDR70,HMGN4,YRDC,IFNGR1
