"SUID","__mclCluster","MAA","name","score","selected","shared name"
"4589","9","0.02525784014253201","MTDH","0.272714418721","false","MTDH"
"4590","286","0.12572021107835235","TOM1L1","0.12","false","TOM1L1"
"4591","15","0.022759693384874134","RPL31",,"false","RPL31"
"4592","316","0.07333678979570554","FAT1",,"false","FAT1"
"4593","4","0.060065908503173275","POLR1B",,"false","POLR1B"
"4594","1","0.017462756568235437","BTBD2",,"false","BTBD2"
"4595","623","0.0","GGTLC1",,"false","GGTLC1"
"4596","623","0.0","MYOC",,"false","MYOC"
"4597","299","0.0","EBLN2",,"false","EBLN2"
"4598","1245","0.0","HOXB4",,"false","HOXB4"
"4599","13","0.02215416521191128","HOXD3","0.12","false","HOXD3"
"4600","3","0.04831336439183508","PRKCSH",,"false","PRKCSH"
"4601","6","0.01673876218723189","PSME1",,"false","PSME1"
"4602","1","0.017462756568235437","GALK1",,"false","GALK1"
"4603","9","0.02525784014253201","BEND3",,"false","BEND3"
"4604","1246","0.0","ZP2",,"false","ZP2"
"4605","32","0.013394285040154393","EDF1",,"false","EDF1"
"4606","20","0.010415106115885003","TCOF1",,"false","TCOF1"
"4607","26","0.1282051282051282","USP2","0.272714418721","false","USP2"
"4608","233","0.0","TACR3",,"false","TACR3"
"4609","1","0.017462756568235437","RRP15",,"false","RRP15"
"4610","285","0.0","OLIG1",,"false","OLIG1"
"4611","1247","0.0","ZNF502",,"false","ZNF502"
"4612","1247","0.0","TLX2",,"false","TLX2"
"4613","506","0.0","TCHH",,"false","TCHH"
"4614","191","0.1111111111111111","PDE6G",,"false","PDE6G"
"4615","331","0.07333678979570554","CENPJ",,"false","CENPJ"
"4616","1","0.017462756568235437","DYNC1I2",,"false","DYNC1I2"
"4617","2","0.05016395268088782","SPRR2A",,"false","SPRR2A"
"4618","1083","0.2200103693871166","USP14",,"false","USP14"
"4619","407","0.0","PDLIM1",,"false","PDLIM1"
"4620","185","0.0","ZC3H15",,"false","ZC3H15"
"4621","206","0.125","PTPN7",,"false","PTPN7"
"4622","173","0.04889119319713702","LAPTM4A",,"false","LAPTM4A"
"4623","88","0.0","SGF29",,"false","SGF29"
"4624","24","0.0595369773792601","UBR1",,"false","UBR1"
"4625","583","0.25","SPRY1",,"false","SPRY1"
"4626","194","0.0","ORAI2",,"false","ORAI2"
"4627","132","0.0","RBBP6",,"false","RBBP6"
"4628","1248","0.0","PRM1",,"false","PRM1"
"4629","1248","0.0","LBR",,"false","LBR"
"4630","1249","0.5","TNFRSF11A","0.272714418721","false","TNFRSF11A"
"4631","3","0.04831336439183508","ABCC12",,"false","ABCC12"
"4632","2","0.05016395268088782","NPR2",,"false","NPR2"
"4633","453","0.0","IER3IP1",,"false","IER3IP1"
"4634","32","0.013394285040154393","SLC4A10",,"false","SLC4A10"
"4635","179","0.0","MAF1",,"false","MAF1"
"4636","6","0.01673876218723189","HSPA2",,"false","HSPA2"
"4637","2","0.05016395268088782","TYK2","0.272714418721","false","TYK2"
"4638","4","0.060065908503173275","CDKL5",,"false","CDKL5"
"4639","564","0.0","PPP5C",,"false","PPP5C"
"4640","1250","0.0","MAPK6",,"false","MAPK6"
"4641","543","0.1100051846935583","CDYL",,"false","CDYL"
"4642","386","0.0","MYCBPAP",,"false","MYCBPAP"
"4643","387","0.2","KCNA3",,"false","KCNA3"
"4644","3","0.04831336439183508","MUT",,"false","MUT"
"4645","10","0.0791038177597624","DDX53",,"false","DDX53"
"4646","517","0.0","MNAT1",,"false","MNAT1"
"4647","1123","0.0","OAZ2",,"false","OAZ2"
"4648","1110","0.5","ADAMTS5",,"false","ADAMTS5"
"4649","1246","0.0","ZPBP",,"false","ZPBP"
"4650","528","0.3671699438037063","TLR9","0.272714418721","false","TLR9"
"4651","826","0.0","PHACTR3",,"false","PHACTR3"
"4652","21","0.022727272727272728","TRIM23",,"false","TRIM23"
"4653","522","0.0","SFTPA1",,"false","SFTPA1"
"4654","1","0.017462756568235437","CDC42BPB",,"false","CDC42BPB"
"4655","544","0.0","ENPEP",,"false","ENPEP"
"4656","845","0.29334715918282217","CASP2",,"false","CASP2"
"4657","11","0.0055002592346779155","S100B",,"false","S100B"
"4658","1177","0.2359903357432718","BCL2L11",,"false","BCL2L11"
"4659","213","0.0","ARRB1",,"false","ARRB1"
"4660","14","0.02440713116566497","PRPF4B",,"false","PRPF4B"
"4661","142","0.0","CENPK",,"false","CENPK"
"4662","4","0.060065908503173275","LRBA",,"false","LRBA"
"4663","238","0.0760804604769594","AGO1",,"false","AGO1"
"4664","183","0.16222224987562706","IPO8",,"false","IPO8"
"4665","653","0.0","CBLN3",,"false","CBLN3"
"4666","653","0.0","CBLN4",,"false","CBLN4"
"4667","85","0.0625","ADGRL3",,"false","ADGRL3"
"4668","682","0.0","NFE4",,"false","NFE4"
"4669","546","0.1100051846935583","MAPK10",,"false","MAPK10"
"4670","181","0.1111111111111111","INTS3",,"false","INTS3"
"4671","186","0.1111111111111111","HINFP",,"false","HINFP"
"4672","599","0.0","BTC",,"false","BTC"
"4673","203","0.0","ORC6",,"false","ORC6"
"4674","148","0.08887210038826483","MAP2K2",,"false","MAP2K2"
"4675","300","0.16666666666666666","ETNK2",,"false","ETNK2"
"4676","267","0.0631444866178707","KIDINS220",,"false","KIDINS220"
"4677","37","0.033334110653884315","LDHA",,"false","LDHA"
"4678","142","0.0","CENPI",,"false","CENPI"
"4679","787","0.0","SH3GL2",,"false","SH3GL2"
"4680","767","0.0","NAB1",,"false","NAB1"
"4681","1","0.017462756568235437","ZNF326",,"false","ZNF326"
"4682","920","0.14667357959141109","MT2A","0.12","false","MT2A"
"4683","269","0.0","SHC3",,"false","SHC3"
"4684","94","0.07142857142857144","SUGP2",,"false","SUGP2"
"4685","110","0.03384774913647948","GOLGA2",,"false","GOLGA2"
"4686","174","0.0","NFE2L1",,"false","NFE2L1"
"4687","379","0.0","MZT1",,"false","MZT1"
"4688","1251","0.5","CXCR4","0.272714418721","false","CXCR4"
"4689","1","0.017462756568235437","LSM12",,"false","LSM12"
"4690","458","0.0","EGLN2",,"false","EGLN2"
"4691","42","0.018000419753024195","VANGL2",,"false","VANGL2"
"4692","369","0.0","G3BP2",,"false","G3BP2"
"4693","8","0.0","ATP5C1",,"false","ATP5C1"
"4694","3","0.04831336439183508","EGR1","0.130344585704","false","EGR1"
"4695","245","0.0","NSFL1C",,"false","NSFL1C"
"4696","198","0.0","ZNF706",,"false","ZNF706"
"4697","644","0.0","LY96",,"false","LY96"
"4698","488","0.0","MBL2",,"false","MBL2"
"4699","42","0.018000419753024195","PPP1R3D",,"false","PPP1R3D"
"4700","1006","0.2200103693871166","ATAD3A","0.12","false","ATAD3A"
"4701","352","0.0","YBEY",,"false","YBEY"
"4702","503","0.0","ASNS",,"false","ASNS"
"4703","725","0.0","AVPR2",,"false","AVPR2"
"4704","98","0.07142857142857144","TRPV4",,"false","TRPV4"
"4705","921","0.14667357959141109","ATP6V1C1",,"false","ATP6V1C1"
"4706","1252","0.0","TUBB1",,"false","TUBB1"
"4707","1","0.017462756568235437","DYNLT3",,"false","DYNLT3"
"4708","143","0.24400207387742334","EPHB4","0.272714418721","false","EPHB4"
"4709","483","0.0","ITSN2",,"false","ITSN2"
"4710","246","0.06442940394352893","AHR",,"false","AHR"
"4711","43","0.01877440856179321","PTPRD",,"false","PTPRD"
"4712","532","0.0","RPGRIP1",,"false","RPGRIP1"
"4713","364","0.16666666666666666","NPHP4",,"false","NPHP4"
"4714","32","0.013394285040154393","ATRNL1",,"false","ATRNL1"
"4715","99","0.1398810281648446","HTN1",,"false","HTN1"
"4716","587","0.1100051846935583","WBP2",,"false","WBP2"
"4717","36","0.037037037037037035","FNIP1",,"false","FNIP1"
"4718","8","0.0","MRPS10",,"false","MRPS10"
"4719","457","0.0","TMPRSS6",,"false","TMPRSS6"
"4720","12","0.03465079777926403","UROD",,"false","UROD"
"4721","35","0.11482937832324382","FOXRED2",,"false","FOXRED2"
"4722","1253","0.0","HOXA5",,"false","HOXA5"
"4723","1108","0.2200103693871166","PDE4D","0.12","false","PDE4D"
