a_alias	b_alias
ERBB2	EGFR
MAP3K8	REL
RUVBL2	DPCD
MED20	MED29
CBL	SLA2
SOS1	EPS8
IGFBP5	IGFALS
PSMC6	PSMC5
CDKN1B	UBB
FOSL1	DDIT3
EFNA4	EPHA4
PDE6D	RHEB
ARPC1A	ARPC2
RBM8A	MAGOHB
CBX8	RNF2
COPS6	SMN2
SMAD4	PIAS1
PSMC2	PSMC1
PTPN6	SYK
NFKB1	NFKBIA
TAF9	TAF6
CNOT7	TOB2
PLK1	CCNB1
TLE1	HES1
SH3GL2	ATXN2
DUSP1	MAPK1
CD2AP	CBL
PLRG1	CDC5L
ABCD1	PEX19
RINT1	ZW10
ITGB7	ITGAE
EP300	CREBBP
COPG1	COPG2
KIF3B	KIF3A
ADRB2	SLC9A3R1
KLF11	MAPK1
IGF1R	IRS1
PTPN6	BCR
EGFR	CTNNB1
VPS37A	TSG101
NIFK	MKI67
LCK	CD48
PPP2R1B	PPP2R5E
PRUNE1	NME1
TIRAP	BTK
CHUK	MYH14
CDC25A	CCNB1
EED	AEBP2
SSTR2	SHANK1
FGFR3	FGF1
APOD	APOA2
NCOR1	HDAC3
OGDH	DLST
CNTFR	CNTF
CHMP4B	UBE2I
PMP22	PEX19
FLT4	SHC1
CRKL	KIT
E2F1	RB1
NFKBIB	REL
BATF3	JUN
BARD1	CSTF1
EIF4E	EIF4G3
MDFI	ZNF136
EP300	CEBPB
CDKN1A	PARP1
LDLR	PCSK9
SMAD2	SMAD4
SKP1	FBXL2
DVL2	BAG3
CDC37	MAP3K7
KAT2B	KLF13
LDOC1	ZNF408
ERCC6	XPA
HDAC2	SP3
LUC7L2	CEP126
PPP4C	PPP4R4
YWHAE	HDAC5
HDAC4	MEF2D
RBBP4	SP3
PRKAR2A	AKAP5
EME1	MUS81
HDAC1	CTNNB1
CUL1	SKP2
KHSRP	EXOSC2
IGFALS	IGFBP3
TAF12	TBP
VPS18	VPS16
EXOSC4	EXOSC10
XRCC6	KAT2A
JAK1	INSR
LIN7A	MPP6
HNRNPA2B1	HNRNPL
CDC42	PIK3R1
ATF2	DDIT3
MAPT	SNCA
CDK4	RB1
ATF2	CREB5
CYTH1	ITGB2
STUB1	TRAF2
WAS	BTK
NEDD8	NUB1
TIMP3	MMP2
RBL1	SMAD3
CDK1	HMGA1
XPA	GTF2H1
NUDT21	CPSF6
CEBPB	CEBPD
TRAF6	TNFRSF11A
SMAD2	SMURF2
TBK1	TBKBP1
TRAF2	TNFRSF8
HDAC4	HDAC3
IGF1R	YWHAE
EP300	STAT3
NME1	RRAD
PSMC1	PSMC6
STUB1	BAG1
SMAD4	UBE2I
CSF2RB	PTPN11
CDH3	CTNNB1
WIPF1	NCK1
ERBB4	NRG1
MCM4	MCM6
C11orf58	A2M
KAT2B	RB1
LBR	CBX5
CHUK	AKT2
MAPK14	MEF2A
EIF3C	EIF3K
MAT2A	MAT2B
DYNLL1	DLGAP1
NCOA4	AR
TFDP1	E2F3
SKP1	FBXL3
SRC	PTPN21
PPP4C	PPP4R2
GTF2F2	GTF2F1
YWHAE	YWHAH
EIF4G1	EIF4A2
CTNND1	CDH5
GADD45G	CDK1
AURKB	RACGAP1
UBQLN1	HSPA13
TRAF1	TNFSF9
DUSP4	MAPK1
MAP2K4	MAPK8
SART1	UBL5
HOXC8	SMAD1
SRC	SMARCE1
LMO2	LDB1
TNF	TNFRSF1A
EPHB1	EFNB1
HIST1H3J	ASF1A
VAPA	VAMP2
RBBP8	CTBP1
TOP2A	TOP2B
TNFAIP3	RNF11
COPS8	COPS5
PCNA	RFC5
EGFR	PTPRJ
NUDT18	RAB3IL1
LAT	SH3BP2
CNOT2	CNOT6
MAP3K5	TRAF5
DBF4	CDC7
CHUK	MAP3K14
PCNA	WRN
CCNB2	CDK1
ILF3	XPO5
CASP9	DCC
PKN2	RHOA
HMOX2	HAP1
CCK	CCKBR
BIRC2	RIPK2
CBL	MET
XIAP	TRAF6
SAP30BP	PUF60
RASAL2	YWHAG
FOS	DDIT3
PSMC2	PSMD6
BIRC2	CASP3
ARHGEF7	PAK2
PSMB5	PSMB3
SEPT5	SEPT8
SSTR1	CORT
RAD51AP1	RAD51
SMAD1	SMAD6
CDK1	CDKN1A
CDC42	NCF2
ARHGEF11	PLXNB3
CTNND1	CDH2
ACVR2B	MSTN
PAM16	FEZ1
PRPF38B	YWHAG
CXCR2	CXCL6
MAP2K7	MAP3K1
CHUK	MYL12A
IGBP1	PPP2CB
EIF2B1	EIF2S1
NFKB2	REL
APPL2	APPL1
VEGFA	NRP1
ATF3	BATF3
ZNF440	MDFI
JAK1	IFNAR2
RPS26	TSR2
TNFRSF9	TRAF2
IRAK2	TRAF6
CCDC53	PBXIP1
HRAS	BRAF
SOCS3	IRS1
NTF4	BDNF
IRS1	UBTF
IFNAR1	JAK1
NUP88	NUP98
MCTS1	DENR
RPA1	RAD52
RAD51	DMC1
EGFR	EPS8
AHR	AIP
IL7	IL2RG
SMAD3	SKI
PSMC6	PSMD6
MSH2	BRCA1
CREB3L3	CREB3
USHBP1	SERTAD3
MCM6	MCM2
YWHAG	MARK3
STAM2	JAK1
TRIP13	DDAH2
SP1	SREBF2
MAP2K4	MAP3K2
JAK1	TYK2
SDHB	SDHA
CAND1	CUL3
GGA1	SYNRG
TRAF2	MAP3K8
CUL7	FBXW8
USHBP1	PRC1
RFX5	RFXANK
CDKN1B	CDK2
CDKN1A	CCNE2
DCAF8	MDFI
TCEB1	SOCS1
PSMC3	PSMD13
CBL	MYO1C
IRF3	CREBBP
FASLG	NCK1
BCL10	MALT1
PRTN3	SERPINB1
KAT5	HDAC1
SERPINB2	RB1
MAP3K14	HSP90AB1
PARD6A	PRKCZ
KIT	JAK2
TAP1	PDIA3
ACTN2	KCNA5
BIRC7	CASP9
SKP1	FBXO11
RGS2	LRFN1
CTNNA1	CTNNB1
EIF4EBP1	MAPK1
FYN	CD247
GHR	SHC1
KCNJ5	KCNJ3
PIAS4	SMAD1
CRKL	GAB2
EIF3F	EIF3B
IFNAR1	TYK2
BTG1	CNOT8
RAB3A	SYTL4
JUNB	BATF
UBE2D1	UBE3A
HSF1	STUB1
UBE2E3	RNF5
PCNA	CCNB1
S100B	S100A6
GCKR	GCK
RIC8A	UBQLN1
APP	HSD17B10
BRCA1	FANCA
FSHB	CGA
VPS26B	VPS35
ATG7	GABARAPL1
IL6ST	JAK1
PDGFRB	NCK1
APTX	XRCC4
RGS16	EGFR
SMAD7	MAPK14
NCOR1	PML
PSMC2	PSMD5
RAB11FIP2	YWHAG
MAP2K7	MAP3K2
MCM7	RB1
CTSL	CSTA
TRAIP	TRAF2
LCK	SYK
HRAS	PIK3CA
ORC4	ORC6
PSMD7	PSMD13
U2AF2	U2AF1
PSMD8	PAAF1
PEX5	ECH1
SPEN	NCOR2
UBE2D2	CBL
CCR1	CCL14
PSMB3	PSMD6
CFTR	CANX
APBA2	APP
LNPEP	TNKS2
GFRA1	RET
NECAB2	LNX1
PARD6B	PRKCI
LCP2	NCK1
ITGB1	CANX
EEF1G	ECH1
SLC25A17	PEX19
CD7	PIK3R1
RGS5	GNAI3
TOPBP1	E2F1
RFC1	RFC3
HDAC1	DNMT3L
STAT6	CREBBP
CD2BP2	CD2
DIABLO	BIRC6
PSMD13	PSMD6
VCAN	SELP
SEC24C	SEC23A
BTBD2	COPS6
LSM2	ZNF408
YWHAE	YWHAB
TFDP1	E2F4
RAN	XPO1
PPP1CA	PPP1R8
TJP2	YWHAG
PSMD10	PSMD7
NCF1	PRKCB
DUSP3	MAPK1
STAM	HGS
GNG7	GNB4
PSEN2	UBQLN1
KRT18	YWHAG
PLN	SLN
TFRC	HFE
PRMT1	FBL
DAAM1	RHOA
ERCC3	ERCC5
GIT1	GRK2
IL6ST	PTPN11
PRMT1	HNRNPR
MAP2K2	MAPK1
HIST1H3J	CBX1
EIF3H	EIF3K
CD9	CD63
OPHN1	RHOA
GAS6	AXL
SRRM2	SRRM1
PSMD4	UBQLN2
PSMA3	PSMA7
RAB1A	GOLGA5
CALR	LRP1
CSNK2A2	CREBBP
ACTR1A	SPTBN2
YWHAQ	MAP3K3
GNAQ	PLCB2
BMF	BCL2
CERS2	ASGR1
YWHAB	EPB41L3
HUWE1	MCL1
FLII	LRRFIP1
CAND1	CUL2
HMG20B	BRCA2
PPP5C	HSP90AB1
NEDD9	SMAD1
RGS2	GNAQ
DNM1	AMPH
DVL2	AXIN1
GIPC1	MYO6
PSMD4	PSMC6
PKN2	NCK1
LCK	PIK3CA
PSMD14	PSMD6
POLR2L	POLR2C
BATF3	CEBPE
RANBP2	RANGAP1
EXOSC6	EXOSC8
ALOX5	ALOX5AP
MPL	THPO
YWHAQ	MAGOH
EFNA5	EPHA4
CD46	MSN
RELA	CREBBP
CDK9	POLR2A
OSGEP	TP53RK
PRPF19	EXOC7
PLCG1	RASA1
PSEN1	CDH1
MDM2	SUMO1
MICALL1	YWHAG
PDGFRB	PTPN11
CDK7	POLR2A
CCL22	DPP4
EIF3A	EIF3D
CCR8	CCL17
BNIP3	BNIP3L
PFN1	ACTB
CDC42	PAK5
CHMP4B	CHMP3
KCNJ12	LIN7A
EIF3I	EIF3G
ARL3	UNC119
PTPN6	CD22
ARHGEF7	CDC42
NPHS2	CD2AP
ITGA2	ITGB1
TRAF6	RIPK2
VAV1	TEC
SUV39H1	RB1
SMAD2	CTNNB1
EGFR	STAT5B
INPPL1	CBL
SP1	JUN
FOXG1	FOXH1
ATXN1	COIL
SPARC	PLG
SIN3A	MXD1
HDAC2	BRCA1
SUV39H1	CBX1
PIK3R1	CTNNB1
QARS	RNF11
WAPL	RAD21
FASLG	PTPN13
CHUK	IKBKAP
UBE2D1	RNF11
FKBP1A	MTOR
ELK1	MAPK9
DSN1	ZWINT
LSM3	LSM1
CXCR1	CXCL8
ERBB2	PTPN11
STAM2	STAMBP
PIK3R1	KHDRBS1
FHL3	AIMP2
KDR	VEGFC
PIK3C3	YWHAG
PSENEN	NCSTN
GTF2H1	XPC
GTF2F2	GTF2E1
SMAD3	JUN
SUV39H1	CBX5
IRS1	SOCS1
PRR14	CBX5
PDGFRB	RASA1
MLLT1	AFF4
RPA1	PRKDC
SNTA1	DMD
SH3GL2	SYNJ1
PCNA	RFC4
SKP1	CDCA3
USO1	GOLGB1
LTBR	TRAF5
LNX1	RABAC1
GABARAP	ATG4B
CBFB	RUNX3
SMARCB1	CEBPB
CRKL	EPOR
AKAP13	RHOA
DNAJB11	PTN
YWHAG	CDC5L
TBP	TAF1A
MKL1	SRF
FOS	JUN
EIF3C	EIF3G
LAPTM5	NEDD4
MTA2	MBD3
INHBB	ACVR1B
VAV1	EGFR
AP4E1	AP4B1
GTF2B	TBP
SNX1	HGS
EDC3	YWHAG
IKBKG	UBB
SKP1	FBXW11
GIT1	PPFIA1
PDPK1	PKN2
LTA	TNFRSF14
UBE2L6	PARK2
EP300	TGS1
PSMD6	PSMC5
TRIP6	HOXA1
PIK3R1	WAS
CDC25A	YWHAE
LRP5	AXIN1
LCP2	FYB
TNK2	EGFR
NXF1	NXF5
AURKB	INCENP
COPS5	COPS4
S100A7	COPS5
COTL1	ALOX5
CREB3L3	CREB3L1
SHC1	IRS1
GNG7	GNB1
RNF2	RYBP
SQSTM1	PRKCI
FBLN2	LAMA1
COPS5	JUND
LCAT	APOA1
SKP1	FBXL7
CHMP1B	VPS4A
PPP1R12A	MPRIP
STX1A	SYT1
TNKS2	TNKS1BP1
DAXX	FAS
EFEMP2	UBQLN1
KIF23	YWHAG
LIFR	CNTF
IL3	CSF2RB
FLNA	FLNB
CTTN	ACTR3
USO1	GOLGA2
WRN	FEN1
CEBPB	DDIT3
UNC5C	NTN1
ATF7	FOS
CARD11	BCL10
DLG1	GRIN2A
STX12	NAPA
REST	RCOR1
CNOT7	CNOT6
MOB1A	STK38L
RPS6KA1	CREBBP
PRKAR2A	AKAP12
EP300	TBP
PDGFRB	PDGFRA
SP1	POU2F1
SMAD3	ERBIN
SMAD4	CEBPB
FOS	NCOR2
TERT	RELA
TNKS2	TERF1
CDK16	YWHAG
RAB33A	RABAC1
NEO1	NTN1
NCOR1	SKIL
TRAPPC2	TRAPPC3
RNF5	UBE2E1
FBLN2	NID1
GABARAP	ATG3
POLR2D	POLR2A
MED26	CDK8
CIB1	TERT
MAP2K2	BRAF
SNUPN	XPO1
TCEA1	POLR2A
KIF5B	YWHAQ
REST	SIN3B
LCK	CD5
MAPK8	BCL2
PPP4C	CCDC6
EFNA4	EPHA7
FBXW7	NOTCH1
PEX12	PEX19
KAT2B	IRF2
ACTN4	MYOZ2
ARHGEF11	RHOA
PSENEN	PSEN1
CSNK2A1	NCL
RAMP1	CALCRL
FASLG	TNFRSF6B
PSMD13	PSMC6
PSMD4	PSMC1
TLR4	TIRAP
RAB9A	PLIN3
CAPN1	CAPNS1
EGFR	RIN1
SPTAN1	FANCA
JAK3	IL2RB
DNM2	AMPH
ACKR1	CCL2
NFKB2	RELA
DPY30	ASH2L
PARD3	PARD6A
PTPN11	BTLA
SUPT20H	MAPK14
GAPDH	EGFR
SRC	GJA1
PRKAA1	CFTR
IKBKE	CLTC
ATF2	MAPK13
CSTA	CTSB
FYN	FYB
RELA	SETD7
FKBP1A	PPP3R1
TIMM17A	TIMM44
CRKL	CBL
FSHB	FSHR
BNIP2	BCL2
CD9	ITGA5
STAT3	PTPN2
CAPN1	CAST
CDC7	MCM3
HSPB1	F13A1
PIK3R1	YWHAG
SIN3A	HDAC1
CDC16	MAD2L1
C4BPA	APCS
BRCA1	POLR2A
PSMD13	PSMC5
YWHAG	EPB41L3
CUL2	TCEB1
SNRPD2	LSM6
JAK1	STAT5A
CD9	PTGFRN
WRN	XRCC5
SRC	EGFR
SELENBP1	MED31
TNFRSF1A	LTA
MDFI	OTX1
TEC	JAK2
LCK	IL2RB
MAFB	BACH1
GANAB	PRKCSH
TFE3	SMAD4
UBE2L3	CBL
ACKR1	CXCL1
PEX10	PEX12
ITK	LAT
TSC2	YWHAH
RBBP4	SAP30
RHOJ	WAS
SUMO1	TOP2A
SNAPC5	NMI
FYN	BCL3
CHUK	NFKBIB
NUDT21	RBM48
CDC25A	CHEK2
MAPKAPK5	MAPK6
EXOSC4	EXOSC2
LYN	HCLS1
CLOCK	ARNTL
PRMT1	DHX9
RPS6KA4	MAPK1
BMP4	BMPR2
TSN	TSNAX
FYN	CBL
SNRNP200	YWHAG
MDFI	C8orf48
RASSF1	DAXX
CCND2	CDK4
STAM2	EGFR
SMAD1	TCF20
COPZ1	COPG2
CCDC90B	TSC22D1
NFKB1	RELB
ITGA2B	ITGB3
NBN	ATM
GEMIN6	SNRPB
CDK9	LARP7
BRIP1	BRCA1
PCID2	SHFM1
CENPA	HJURP
JAK1	SOCS1
RAB11B	MYO5B
LGALS8	ITGA3
HDAC1	SATB1
CELA1	PI3
BNIP3L	BCL2
SLIT2	GPC1
MSH2	ATR
TGFB1I1	PTK2B
RBBP4	HDAC2
LIMS1	RSU1
CSF2RB	CSF2
CTNNBIP1	JUP
PIGK	GPAA1
VAV1	PIK3R1
KIF6	APPBP2
CDH1	CTNNB1
RNF2	BMI1
FGR	WAS
SCG5	UBQLN4
FGF9	FGFR2
PDE6D	ARL3
CACNG2	DLG4
TLR2	CD14
BCOR	BCL6
VAV1	MAPK1
MST1	MST1R
RBBP4	HDAC1
ARHGDIA	RAC2
XIAP	CASP9
LRPAP1	LRP1
UPF2	UPF3B
TGFBR3	TGFB2
RASSF8	YWHAG
SUMO1	UBA2
CD4	IL16
SNAP25	STX4
NUDT18	APIP
GTF2A2	GTF2A1
RGPD6	RAN
SRC	KDR
SERPINB2	PLAU
EGR1	SP1
MAP2K5	MAP3K3
RAB7A	RILP
WWP1	ATN1
RRAGA	RRAGC
CDC37	IKBKB
APC	JUP
SNRPB2	SNRPA1
YIPF4	YIPF3
STAM2	USP8
CUL1	NEDD8
IL1R1	IRAK2
IL9R	IL9
MED21	POLR2A
EIF4E	EIF4EBP3
EP300	MAML1
ABL1	RASA1
HDAC9	HDAC3
NBR1	MAP1LC3C
CCL16	CCR1
BAP1	BRCA1
PYGO1	BCL9
LCK	CD4
PDGFRB	PIK3R1
YWHAQ	USP8
JAK1	PTPN11
C4B_2	C2
EXOSC2	EXOSC3
ATG12	ATG3
DDX20	GEMIN4
SUMO1	UBE2I
CASP3	GZMB
EIF4E	EIF4EBP1
PSMA3	PSMA6
CXCL2	CXCR2
PSMA6	PSMD6
BTRC	CTNNB1
CTBP1	BRCA1
VPS45	RBSN
GATA4	SRF
HDAC4	YWHAE
WIPF1	WAS
ERBB2	ERBB4
HOXB9	SAT1
TBPL1	GTF2A1
HDAC1	MTA1
S100A1	S100B
PIGK	ALPP
CDC7	ORC6
BAX	BAK1
TRAF2	RIPK2
PDCD6IP	PDCD6
MED28	MED30
ZW10	ZWINT
SMAD4	SP1
PIK3R1	EPOR
MPHOSPH6	SKIV2L2
CXCL1	CXCR2
IGF2	IGFBP1
CCL15	CCR1
EGFR	NCK1
YWHAG	AFDN
EP300	MEF2A
GDF11	ACVR2B
SSTR4	CORT
BFSP1	VIM
LDB2	RLIM
CDK9	CCNT1
WWP1	KLF2
EGFR	SOS1
IL4R	JAK3
RANBP2	UBE2I
HSPA8	STUB1
CORT	SSTR3
MAP2K4	MAP3K4
POLR2F	POLR2A
MMP9	CXCL5
BNIPL	GFER
TRIM28	CEBPB
TINF2	TERF2IP
SP100	UBE2I
APAF1	NLRP1
BAIAP2	YWHAG
MEF2D	MEF2A
CALCOCO2	SRI
TAF10	TAF5
PCNA	ING1
NCK1	MAP4K4
PPIA	PPP3R1
YWHAE	IRS1
CASP3	PARP1
RAN	RANGRF
PRMT1	HNRNPK
SMAD2	TGFBR1
PLEKHF2	MBIP
RPS6KB1	MTOR
MAF	MAFB
BMPR1B	BMP4
NFKBIE	NFKB2
TCEB2	TCEB1
HDAC2	BRMS1
LAIR1	PTPN11
ATXN1	UBQLN4
KCNA4	KCNA2
RBM48	TK1
STAT1	EGFR
ETS1	DAXX
SP1	KLF10
RABEP1	YWHAG
RNF5	CFTR
WASF2	NCKAP1
EGFR	ERBB3
GTF2H1	ERCC2
ZFPM1	GATA1
ORC2	MCM10
PARD6A	PRKCI
SEPT11	SEPT2
COPS6	COPS3
VEGFA	PGF
VAMP8	STX7
HSPG2	GRN
ING4	RELA
EED	EZH1
ENC1	RB1
ITGAV	CYR61
MAPK1	BCL2
CCR3	CCL13
VHL	FN1
ITSN1	SOS1
ARVCF	ERBIN
RAD51	RPA1
FYN	SYK
SH2B1	JAK2
YBX1	CTCF
COL8A1	COL8A2
AR	RB1
PSMD7	TRAF6
GABARAPL1	ATG3
CD151	ITGA3
SEPT11	SEPT5
CRYAA	MIP
ERBB2	CTNNB1
COPS5	COPS7A
PRL	PRLR
ERO1A	P4HB
EDC4	DCP2
ATF5	CEBPG
STAM2	RNF11
FGF6	FGFR2
RRAD	CAMK2G
DRD2	PPP1R9B
SUV39H1	HDAC2
CNTN2	L1CAM
PDIA3	CANX
NRL	CRX
APPBP2	NFYA
CBX7	RING1
RUNX1T1	CBFA2T3
ERBB2	ERBB3
UBE2D3	TRIM39
PSMD4	RAD23A
SRC	SYK
SP1	PSMC5
PDZK1	PDZK1IP1
COPB1	KDELR1
DOCK2	RAC2
ACTG1	BCAP31
SRC	KHDRBS1
CXCR3	CXCL9
ITGAV	MMP2
CDKN1A	CCND1
KPNB1	RAN
PSMA6	PSMD7
CCT5	SSSCA1
EIF4E	EIF4EBP2
HDAC1	E2F1
PSMC3	PSMD6
MDC1	TP53BP1
NR5A2	NR0B2
RBL2	E2F5
OGT	TRAK1
SMAD3	SMAD2
PTTG1	ESPL1
ABCG5	ABCG8
NFKBIA	CUL1
CD9	ITGA3
LASP1	MDFI
GRB14	EGFR
POLR2D	POLR2B
SLC9A3R1	PDGFRB
CASP3	BIRC3
VIM	YAE1D1
LCK	CD2
TCF7L1	CTNNB1
ATG7	ATG3
MAP2K2	ARAF
ARHGEF7	GIT2
XPA	ERCC1
ABI1	EPS8
ERCC3	ERCC2
LCK	SH2B3
RBPJ	NCOR2
PDPK1	YWHAQ
HDAC1	NCOR2
HIPK2	UBE2I
MED1	THRA
DVL2	ARR3
LCP1	GCA
HIRA	ASF1A
SIN3A	ZBTB16
RARA	NRIP1
PYCARD	NLRP3
IL2RG	IL7R
IFNAR1	IFNAR2
EP300	DDX5
FOS	TBP
UTRN	PGM5
CCNE1	CDK2
CREBZF	HCFC1
EIF3A	EIF3F
CUL1	RBX1
YWHAG	CLASP1
NUP107	NUP133
YWHAG	PPFIBP1
ABCD2	PEX19
PYY	NPY2R
VAV1	PLCG1
CTNNBL1	CWC15
PSMD4	PSMD13
PDCD6IP	CEP55
PLEKHF2	CHIC2
MAP3K7	SMAD6
CDC73	CTR9
SHC1	INSR
PDE4A	LYN
CCNA2	CDKN1B
RAD21	SMC3
RBBP8	ATM
ELANE	ELN
PSMD13	PSMA1
ARL2	PDE6D
PTF1A	TCF12
TNFRSF13B	TNFSF13B
TRAF1	BIRC2
IFNAR1	STAT2
RUNX1	CBFA2T3
ICAM3	EZR
NCBP2	NCBP1
CTNNB1	CCND1
FES	BCR
NTRK1	NGFR
CCDC53	NUP62
SRGAP1	RHOA
SFPQ	TOP1
XRCC6	HOXC4
RAB2A	GOLGA2
SMAD2	RAN
SF3B4	SF3B2
CEBPA	CEBPE
LRP1	A2M
EXOSC7	EXOSC6
FYN	PAG1
PIK3CB	PIK3R1
HDAC1	TOP2B
PEF1	PDCD6
ITK	KHDRBS1
STX8	STX7
CDK8	MED12
UQCRC2	UQCRC1
EGFR	CDH1
POMC	MC1R
BACH1	MAFG
TNFRSF1A	PSMD2
CD1B	B2M
PRF1	GZMB
GNGT1	GNB1
DAXX	HSPB1
RPA2	XPA
SENP8	NEDD8
LAMA5	COL7A1
FLI1	GATA1
PAFAH1B1	PAFAH1B2
EIF3A	EIF3I
RHOQ	WAS
CXCL8	CXCR2
EP300	NCOA2
ATF4	CREBZF
JAK2	SH2B2
CHP1	SLC9A3
PRKAR2A	MAP2
EFNA1	PPBP
CCR1	CCL7
HMOX2	CEP126
ATF4	BATF
CTNNB1	PTPRU
EIF3H	EIF3G
YWHAB	CBL
EIF3J	EIF3B
CIAPIN1	GLRX3
PCNA	DSCC1
DLG4	DLGAP2
EGFR	CBL
PLCG1	SOS1
TIMM10	TIMM9
ADD1	SPTA1
RUVBL1	CTNNB1
CCNE1	FBXW7
LBR	YWHAG
CNOT2	CNOT3
PCNA	CCND1
SGK1	NEDD4
EIF2B2	EIF2B4
TAX1BP3	CTNNB1
CLU	LRP2
ITGB1	ITGA10
TCERG1	SF3A2
EGR1	EP300
ORC4	ORC2
HSPB8	HSPB7
DBP	BATF3
ERBB2	GRB7
RBBP7	BRCA1
PROS1	F5
CDH5	CTNNB1
ITGAV	ITGB3
APP	KAT5
SMARCA5	CHRAC1
ZNF439	MDFI
CDKN2C	CDK4
BCL10	CARD10
MYOG	SRF
TLE4	PAX5
GRK2	PRKCB
RBL1	HDAC1
MAP4K4	SLC9A1
IRS1	PTPN11
NUP62	XPO1
PSMA2	PSMD6
MFAP1	YWHAG
TBK1	TMEM173
SLC3A2	ITGB1
SKI	SMAD2
SCAP	INSIG2
PROC	PROCR
IRS2	PIK3R1
DTX3L	UBE2D2
RPS10	HAP1
MYC	NMI
EGFR	HGS
TNFSF13B	TNFRSF17
RAD17	ATM
SH2D3A	EGFR
MYB	NLK
UBE2D2	TRIM39
ACTR2	ACTR3
HIPK2	SUMO1
IRS1	PIK3R1
RPL10	YES1
SAP18	SUFU
ITGA3	TSPAN4
CRYAA	CRYAB
GTF2E1	GTF2H1
TBP	HTT
CHMP4A	SYT17
TUBA1B	HDAC6
XIAP	CASP3
TBK1	HSP90AB1
ITGB2	ITGAM
PNN	SRRM2
CBX6	RNF2
HSPG2	FGF2
APC	PPP2R5A
GRAP2	GAB2
APP	CASP8
TRAF6	MAP3K7
TCERG1	SF1
MMP9	LCN2
AHSG	FBXO2
MAPT	YWHAB
TNFSF12	TNFRSF12A
BLM	RMI1
TUBGCP4	TUBG1
LCK	CBL
HIST1H3J	CHAF1B
WDYHV1	NME1
PRPF6	ARAF
TNKS	TNKS1BP1
RAB11A	RAB11FIP5
UTRN	SNTA1
PSMC2	PSMD4
IL1R2	IL1A
PSMD4	PSMA7
MAPK14	MEF2C
GEMIN6	SNRPE
NUCB1	GNAI3
COPS6	TK1
MAPT	S100B
TCF3	HAND2
