a_alias	b_alias
Q5XPI4	Q9BSL1
O00238	Q9NRW1
P51665	P62191
P06493	Q01538
Q96EP1	Q9UBS5
Q9H6R6	P00505
Q9BUZ4	Q96KM6
P39748	P52565
Q9UMD9	P16144
Q14500	NP_003998
B2R491	P49736
O75030	P26367
P40337-3	Q8TEY7
A7UKX8	P20226
O75197	O15198-2
Q9UFG7	Q9HB63
Q96MA1	XP_005273427
J3KPU4	Q92985
Q9BYD2	O43570-2
O75509	Q15628
P25788	P25787
Q08334	Q13651
Q14232	A2RUS0
Q08170	P54257
Q9NQX5	P61978
P00167	G4XXL9
F1D8N4	K7PPA8
A6NHG8	NP_001186616
Q86U06	Q14181
Q7Z7J5	Q9C0A6
Q9UMX0	O75400-2
Q15834	Q8TBB1
P09429	O14594
Q01105	Q16695
Q7L5N1	P05305
Q14186	P06400
P49368	Q13151
Q9UM73	P21246
P50748	O43264
O75822	Q9UBQ5
O60506	XP_005259611
Q14847	O15162
P84101	Q9BQY4
B1AKZ4	P28482
Q9H444	O95630
O95405	Q86XL3
O95994	Q9GZT6
O75884	P06400
Q9NR55	P17676
P15927	Q13416
P60520	Q9Y4P1
P08727	O14964
O95967	Q96FE5
P12931	P51813
Q15834	Q8N8B7
P13349	Q02363
Q08211	Q07666
P49023	Q14764
P42224	P78347
P62195	P13805
Q13490	G5E962
P62136-3	P49750-4
Q15653-2	O15160-2
O43255	P63279
P04637-8	Q9H3D5
P49768	P14136
XP_005274818	P19438
Q15038-2	O15162
O15105	E9PRV2
P62136	Q5TID7-3
NP_000035	A7WPU8
Q8TAQ2-2	Q92561
Q13137	Q8N5R6
Q99816	O14964
P33151	Q06124
Q8IWE5	Q9NY26
O75340	XP_005274553
O00444	J3KQA9
P00533	Q13322
P49815-5	P62258
P28907	P08637
Q96S99	P13805
O15105	Q6ZNA4
Q13485	O00444
P04626	P00533
P41279	Q04864
Q9Y230	Q9BVM2
P43034	Q15046
Q9H944	Q9NX70
B4E1U9	Q9NQU5
O75592	P01106
Q9Y4A5-2	Q96L91-2
P22681	Q9H6Q3
Q07889	Q12929
Q9Y3C0	P21246
O75791	rogid:vuQMUqXsV4OzwQlPWMuvhSy5xLg9606
P24593	P35858
P62333	P62195
Q8WZ19	Q8TBB1
P46527	P0CG47
Q9Y6M9	P54257
P49674	XP_005248739
Q8N2Y8	P36957
Q9UEU0	Q14789
P49768-3	P56817-3
P49023	L7RT18
Q9UNN5-2	P12757-3
Q86Y01	Q96J02
P15407	P35638
O00238	Q8N653
P52798	P54764
P19525-2	Q12906-5
F1D8Q5	Q9Y6Q9-5
Q13158	Q9HAV4
O14543	P16471-8
Q15388	P02647
Q13191	P62993-2
O43924	Q15382
P29972	Q8N5Z5
F1D8N7	P28702
O15457	P40692
P61604	P21673
O14795	A8K7D5
P22415	Q15853-4
Q92747	O15144
Q9Y5S9	Q96A72
P21941	P56199
Q9HC52	Q99496
P82932	Q9P2H0
Q96NT1	Q9P2H0
Q13451	O43318
G4XH65	Q61026
P49842-2	Q07864
NP_001230455	Q8IYF3
P30307-3	B4DT73
P05362	P15311
B3KNU0	Q9NS73-3
Q7L5N1	Q16637
Q3MHD2	B3KNK9
H0UI80	Q13485
P46109	P21860-5
P35080	Q9C0J8
Q15276-2	Q9UJY4
Q9P0L1	Q9NX65
P17096	P78317
Q13485	O75925
P51617	Q92985
P35998	P62191
P27037	C8C060
P27797	P16473-2
Q68EM7-2	Q5TZC3
P29350	P43405
P19838	P25963
Q16594	P49848
O75554	Q01844-6
Q9GZR7	Q9BYD3-2
Q9UIV1	Q14106
P53350	P14635
C6EMX8	Q9NS73-3
Q9UL45	Q8IYI6
Q14966	Q9H3D5
Q9BQQ3	P01135
Q04724	Q14469
Q16630	NP_001257384
P09919-3	Q99062-4
P33993	P25963
Q99962	Q99700
Q15572-2	P20226
L7RSL3	Q06124-2
Q9NUT2	P21673
P60709	XP_005251997
F6KD01	O14745
Q12967-2	P01116-2
Q99558	Q14790-5
Q96A56-2	Q9H2X6-3
P00533	Q92918-2
P31946	Q6WCQ1
P28562	P28482
Q96JF6	Q08379
Q8IYI6	P35900
Q9Y5K6	P22681
O43660	Q99459
Q13137	O95990
Q99963	O14531
P51784	Q01201
P12956	XP_005272234
Q13158	B1AKZ4
O94817	A9UGY9
P33897	P40855
Q15834	M0QY76
Q13501	Q658J6
Q6NUQ1	O43264
Q9NZC7-5	NM_000937
Q9Y6K9	Q8NFZ5
Q7Z7J5	Q7L190
P26010	P38570
O00167-2	Q9UIU6
P50402	Q96MU7
Q99873-2	Q14011
Q96D21	P36897
Q9NR55	A4D214
Q9NP79	O60232
F1D8N4	P49715
Q09472	P16220-3
Q02388	P07996
O14641	Q96BR9
Q9C0J8	O95251
Q06547-4	Q8NHU6
B2CKC5	Q8IYF3-3
P56545	P35712-2
O43255	P08247
Q8N6Y0	Q14005
Q01844	B2RDU6
P05556-2	Q9UKX5
XP_005269953	XP_005251446
O15350	Q12873
O95999	O43318-4
Q09472	Q92793
O14733	Q12852
Q9Y678	Q9UBF2
O00268	NM_002111
P53539	P35638
P04637-7	A8K5I0
D3DPA4	Q13153
P27658	Q53G59
O15066	Q9Y496
O75674	Q15269
P10244	Q09472
Q9Y4A5-2	O96019-2
Q9UPR3	Q92900-2
Q9Y4K3	Q92985-3
A0MNP2	Q08345-2
O60784-2	XP_005248691
O14832	O75674
Q05707	P16070
Q8IV61-2	Q04759
NM_000024	O14745
D9IAI1	Q9BTT4
P09651	P46778
P62937	O95084
Q9Y4C2-2	O95967
O14901	P28482
Q12988	Q9BWD3
Q969F8	Q15726
Q9Y6Q9-5	XP_005273549
Q14240	P78344-2
F8W8Q9	P54920
Q9NPH3-2	P01584
P08069	P35568
P29350	P11274
P47804	Q96EK5
Q01196-8	Q13951
G3V1J5	XP_005246044
NP_001243845	P43405-2
O95405	P35222
P00533	P35222
Q99558	P07900-2
P51116	P13805-2
Q8NEZ2	Q99816
D0PNI1	P30307
P78396-2	P46527
P98082	Q9UM54-1
P50395-2	P62820-3
P08727	P19012
Q8TA92	Q8IXK0-2
Q9H9D4	NP_005474
Q96QR1	Q4ZG40
P00519	P22670
Q9BYG3	P46013
Q12988	Q13432-2
Q9UBK2	G4XH65
P06239	P09326
Q8IYF1	A8K0V9
B0YJ88	P15311
P11802	Q9NP79
Q9Y478	P62993-2
Q15796-2	Q96LT9
B2R4P8	Q9UKY1
Q9UQ13	P01112-2
P30154	Q16537
Q01658	P20226
F1T0H7	P84095
Q86TP1	P15531
O14641	P04637-7
Q15796	P51003
P58753	Q06187
XP_005275091	F5H1T8
O15111	Q7Z406
O00257	P06400
Q16520	P17676
Q15155	P46379-2
XP_003846672	Q15699
Q14289	P16389-2
P42224-2	P25791
Q15796	O15198
P05556-2	A8MVV6
O95084	O94761
Q02487-2	Q99959-2
Q04206	P46531
P30304	P14635
P15336	P17096
Q9UBU9-2	P78406
Q9Y3C5	P0CG47
Q8TF65	P21246
O75530	Q6ZN18
O15198-2	Q53G26
Q9BVA0	P36897
P06400	Q99933
Q8N684	O43639
Q96KM6	Q86U86-5
P30874	Q9Y566
P41220	NP_001189431
P22607	P05230
Q01844-6	P78310
P53602	P38646
P21731-2	Q03113
Q9BUH8	O14964
Q13158	Q9UKL3
P05090	P02652
Q92530	Q9BQY4
P21580	E7ET96
P84022-4	O15151-2
P08047	Q02447-5
P31269	P40425
XP_005255181	NM_000937
O14966-3	Q9UK45
Q96JH7	O15198-2
P12004	Q99741
O75376	O15379
A4D1C5	Q9Y4C8
Q02218	P36957
Q9NZI2	A4D0V9
P14921-3	P15036
NP_003363	O15457
P26992	P26441
XP_005263958	Q9UBZ9-2
P49023	P11182
Q15797	D3DPA4
B2R5T5	P00533
P78527-2	P13010
Q9H444	P63279
Q01453	P40855
Q9P021	P78352-3
P43403-2	P15498
P35916	P29353
Q12959-4	P63252
P46109	P10721
Q92896	P16581
B1AKZ4	P51812
P52272-2	Q99698-2
Q96KB5	P10398
P20674	Q7L5N1
P78396-2	Q01094
Q9Y283	Q9NWT6
P17302	XP_005256395
Q13547	P20749
P30291-2	P31946
Q15797	Q969G3
Q96IZ7	Q9BVJ6
Q01094	P06400
P30542	P21728
P28072	XP_005250020
Q15653	Q04864
L7RRS6	B3KNX7
O95163	Q9NX18
Q9NR55	P05412
Q07817	Q16799
Q96PU8-9	XP_005259655
P01111	D3DPA4
P17813	C8C060
P38936	P11309
Q99750	O15015-2
Q9HAU4	Q14653
Q5D1E8	Q549J4
Q96ID5	Q9UGL9
O14543	Q13526
P42224-2	Q92793
Q9H1I8	P27694
Q9NRL3	Q9BVG4
P18850	Q13952-4
Q7KZF4	P11309
Q96IZ0	P36542-2
Q09472	E2GIM6
Q96DN6	Q9UNI6
P05108-2	XP_005266460
P51693	P17028
Q99728	Q05048
Q9UFW8	Q9H5I1
P19525-2	P42224-2
P04637-8	P19338
B7Z3D6	O75293
Q92629-3	Q14315-2
XP_005269076	Q9Y478
Q8IUX8-2	Q99962
P06730	O43432
NP_001041660	O00505
P35251-2	P11802
Q99750	P52737
P02675	P14543
Q15181	P04792
Q09472	P17676
P16410-5	P07948-2
P38936	P09874
Q92993-4	P16220-3
P01130	Q8NBP7
Q15797	Q9BRB3
XP_005260406	Q00613
P01106-2	Q969H0-2
M1LAK4	Q99689-2
Q15796	Q13485
NP_001244254	P05067-7
Q8WUM4-2	Q9Y5K6
P46379	Q00536
P63208	Q9UKC9
Q92796-2	P78352-3
P00533	Q13153
O14641	O95817
Q15038	O95817
Q16543	O43318
Q92831	Q9Y2Y9
Q86SE5	P51116
NP_001191344	XP_005266460
P56537-2	Q96B36-2
O95751	Q9H9D4
Q9UIV1	P06493
Q15022	Q6ZN18-2
Q13371	P25098
P08621-3	O15198-2
Q03468	P23025
P15531	P54274-2
Q9H0Q3	Q9GZT6
P38398-4	N0E4C7
NP_000035	Q15788-2
Q92769	Q02447
P21810	P15502
Q9Y383	Q9P2H0
O60941	Q15834
Q9ULJ6	Q5VU97
Q01780	Q13148
P60510	Q6NUP7
P04626	Q02297-7
P61201-2	Q9BT78
B1AK66	Q15796
P04637-8	P54132
A3QNQ0	P29590-5
O75909	Q7Z6G3
Q13257	B4DL80
P09486	NM_000090
P18848	P17676
NP_000433	A8K379
XP_005270321	Q13485
Q16584	O14920
E7EU13	O15145
P27694	P04637-7
P48431	F1T0F8
P67809	P05549-5
Q99558	P62277
Q7LFL8-2	Q68DB7
P24394-2	P29353-2
P07237	Q99689
Q15796	Q6ZW49-1
P62258	Q9UQL6
Q9NZD8	Q9UJY4
Q9HBE5	Q9HBE4
O60260	Q969H0
P56524	Q14814
P43246	Q9UQ84-4
Q15038-3	Q96GG9
Q09028	Q02447
P49903	P32456
Q05215	Q13469-3
Q9BVJ6	Q13113
Q99963	XP_005274553
P12931	P20823
F5GZ08	P21673
P11388	P05412
Q9HAW4	Q13535
Q8WTW3	NP_001182068
P98160	E9KL36
Q96GD4	P25788-2
P61371	G4XH65
Q9NT62	Q658J6
Q8WUB8	Q15047
Q08209-2	XP_005260987
P13861	P24588
B4DRA0	Q7LCB3
Q9UKA4	P31323
P60880	P51809
Q9NRF9	Q01658
Q96AY2	Q96NY9
Q92466	B2RBV7
D0PNI1	Q9P2H0
P01270	P49190
P06239	P56945-6
P12429	Q13432-2
Q6ZVK8	P33316-2
P02792	P24522
P11047	P14543
Q9UMD9	P12814-2
Q04206-4	O15379
P23297	B7Z6C2
Q9NQZ2	P54257
Q7Z7J5	Q92997
Q61097	P31946
D9ZGG2	P15151
O43572	Q5T2W1
O43251	Q9BQY4
P61073-2	O14543
A4D2P0	Q53QZ3
Q13547	P35222
B7Z240	XP_005258631
Q13616	Q13309
Q96GY3	Q8IYF3
Q13485	Q9H832
Q92945	Q13868
O14924-4	P04899
P62191	P43686-2
P11215	P51617-4
Q96G25-3	P32121-5
Q86Y01	P62993-2
P35858	P17936
Q9NYS0	D3DPA4
Q5RL73	P40937-2
Q13485	P35222
Q96D21	Q13485
Q9H079	P54257
Q16514	P20226
Q9P253	Q9H269
Q9Y283	Q96KM6
Q13094	P27986
P50148	Q06187
Q99941-2	XP_005270956
Q96HH6	Q96G97
P46100	Q9P2H0
Q9NPD3	Q01780
O95817	C9JHD5
B0LPE5	NP_001155898
O43504	Q9BVJ6
P08631	Q13444-10
NP_671491	P05455
P35998	Q9Y4K3
P08069	G4XH65
Q8IZC7	Q99750
Q06323	Q12873
P12956	Q92830
P23458	P06213
P53990	P13798
L7RRS6	F1D8N5
Q9NW97	P52815
Q549M8	NP_891991
P78396	Q14566
B7Z240	Q9Y6I3-1
O14910	Q9NZW5
Q9Y4K3	XP_005266701
P15172	Q02363
P42680	P23458
Q8N1B4	Q5VIR6-2
P12004	NP_001230153
P22626	P14866
Q15303-3	A6ZID6
Q92851-3	P42574
P17600	P20936
P60953	P27986
P62879	P36897-3
O95782-2	P29353-2
Q9H5J8	P54257
NP_001257461	G5E962
Q9UQC2	P07948-2
P15336	P35638
