a_alias	b_alias
FBL	PACSIN3
TAF9	NCOA2
NDEL1	CDC42
ARF6	SERBP1
TRIO	PHLDA3
AP3S2	ARF6
ITGA3	HSPD1
GRIN2D	CLTC
ACTN2	CACNA1D
PGRMC1	MCC
S100A8	NCF2
HIRA	MEF2D
EIF6	ANXA2
NFKBIE	RUVBL2
PDZK1	BCR
HSPA5	HFE
KAT2B	TAF6L
CRKL	IGF1R
EIF3H	PRKAB1
SMAD1	BTG2
PHF19	UBE2I
SMC4	PHLDA3
SAP30	HDAC3
GABARAPL2	GYS1
PRKCD	INPP5D
ABL1	CHRD
SSX1	FUBP3
LRRC45	THAP11
MED26	POLR2H
GNAQ	AGTR1
IL2	DGKA
SMARCC2	TSG101
DRG1	LYL1
AFP	STAMBP
FYN	SHROOM2
VAMP8	STX6
SMARCE1	TRIP12
FLNC	NCK1
MED20	MED9
HLTF	USP7
ACTG1	IKBKE
TRAIP	PLCG1
FBN1	TGFBI
OXCT1	TFCP2
MED10	MED31
TMSB10	FOS
SSH2	CFL1
POLR1A	SIRT7
AP5Z1	YWHAB
MTPN	REL
HIST2H2BE	SUPT16H
EWSR1	PRKAB1
ELANE	CAMP
JUNB	USP24
VEGFD	NRP2
GABBR1	NCK1
MAD2L1	IKBKE
ECM1	THBS1
HIST3H3	IPO4
HK2	IGFBP4
FCN1	MASP2
PKP2	FOS
CLIC1	EPB41
ADAR	CDK2
PRPSAP1	TRAF6
SMC1A	PAXIP1
MYC	COPB2
IL1R1	SIGIRR
IKBKE	SBDS
DNAJC5	VAMP2
PSMD1	PPARG
RASSF1	GABARAP
HSPA5	IGHM
ATG10	MAP1B
RELA	UXT
GAB2	NCK1
RUVBL1	DSG1
S100A5	AREG
TBPL2	GTF2A1
UBA6	UBE2D2
TIMP2	APC2
PPP4C	MYO1D
NUP107	NUP43
ARF6	VHL
SNX17	ABL1
UBE2Q2	TAF9
SRC	CNTNAP1
GRK2	PTCH1
RNF185	UBA52
CDK5RAP3	OTUD4
MED28	MED12
SPCS2	DDX56
EMILIN3	SQSTM1
VHL	TMCO1
SRP9	EPB41
USP44	KRR1
GNG13	LIN7B
KEAP1	SLK
PALB2	BACH1
PXN	PTPRC
HIST1H3J	TSSK6
FADD	TNFSF10
RAB8A	BIRC6
ETS1	NCL
CCT5	SRRM1
HIST1H3J	TAF1A
ULBP1	KLRC4
NR0B2	HDAC6
HIVEP2	RAC3
PLK1	BABAM1
RRM1	RIF1
VCP	BCAR3
CNTN2	HDAC3
TDGF1	GPC1
TSG101	COPS6
PLCG1	SLC23A1
NFE2L2	RARA
GRIN2B	PRKCG
MLH1	RAD9A
EIF1B	RHOB
FAM13B	WNK1
CDC25B	YWHAG
CSNK2A2	MEPCE
MDM2	PFDN6
SCHIP1	GTF2A1
ITGB3BP	USP33
CTSD	CST3
COPS5	ERCC8
ACTN4	CTNNB1
ELANE	TGFA
INTS10	INTS1
KAT2B	KLF15
KIF2C	MTUS2
DDI1	ADRM1
UBE2D2	UFL1
EIF5B	EIF1AY
VIM	PSMC5
LASP1	CDK7
RPL35A	PRKAB1
VIM	CBL
IL1B	TRIM16L
CBX4	USP7
ZNF598	CDA
MYC	DNAAF5
CSNK2A2	WAS
CHUK	MYH10
NEDD9	DOCK3
MTMR3	EXOSC1
TFCP2	XRCC5
VEGFA	THBS1
MPZ	CCP110
KEAP1	TMEM160
TUBA4A	MAP1A
ZC4H2	PIK3R1
USP3	CBR3
TNIK	TEAD3
EPHB2	PTP4A2
MDN1	FTSJ1
IKBKE	AK2
MARK1	USP21
HMGB1	IRF2
POLD1	GABARAPL2
IFNAR2	IL10
TUBA1A	JUN
