a_alias	b_alias
SMAD4	UBE2Z
KHSRP	EXOSC2
IGFALS	IGFBP3
SMAD4	CTNNB1
RASD2	SMAD4
KATNBL1	HAP1
TAF12	TBP
VPS18	VPS16
INVS	ZNF512B
LCP2	PIK3R1
GNAQ	BTK
TMEM19	BSCL2
ATRX	CEP126
EXOSC4	EXOSC10
LAMTOR5	UTP14A
PSMC2	TRAF6
ZNF101	MDFI
PSME1	CHD3
XRCC6	KAT2A
JAK1	INSR
IST1	APEH
TMEM51	MRPL12
CCNA1	MCM6
LIN7A	MPP6
MYOD1	ID2
TEC	JAK1
HNRNPA2B1	HNRNPL
SYN1	RASA1
CDC42	PIK3R1
TAF1D	HAP1
ATF2	DDIT3
MAPT	SNCA
CDK4	RB1
ATF2	CREB5
CCR2	CCR5
RPA2	MCM2
MTA2	SATB1
C1D	TSNAX
CHGB	SLC25A6
FAM103A1	RHOXF2
GIT1	GRK3
MAN1C1	SMAD9
CYTH1	ITGB2
DYRK1B	MAP2K3
STUB1	TRAF2
WAS	BTK
NEDD8	NUB1
TIMP3	MMP2
RBL1	SMAD3
CDK1	HMGA1
SUFU	RCN3
XPA	GTF2H1
SMAD7	STAMBP
MPHOSPH6	EIF3G
NUDT21	CPSF6
CHD3	KIF15
CEBPB	CEBPD
TRAF6	TNFRSF11A
SMAD2	SMURF2
RPS10	HIP1
TBK1	TBKBP1
FOXO1	CEBPB
JUND	JUN
TRAF2	TNFRSF8
ABI2	VCL
HIPK2	MAP3K7
TCF4	RUNX1T1
HDAC4	HDAC3
FAM107A	HOOK2
IGF1R	YWHAE
NDUFB3	ATP5C1
EP300	STAT3
NME1	RRAD
PSMC1	PSMC6
STUB1	BAG1
SMAD4	UBE2I
PRMT1	ARPC3
CSF2RB	PTPN11
MNAT1	RBM48
IRF2BP1	SMAD1
CDH3	CTNNB1
NOC4L	PLSCR1
SNRNP70	SMAD2
WIPF1	NCK1
ERBB4	NRG1
BCR	UNC119
MCM4	MCM6
C11orf58	A2M
KAT2B	RB1
SMAD1	KMT2D
LBR	CBX5
PXN	MAP4
LATS2	STK3
LIG1	INPP1
C5orf22	ELOF1
NRAS	SMAD4
CHUK	AKT2
TSC22D4	PSMA1
FAM189A2	SFN
PUF60	CHD3
GNPAT	AGPS
SMAD1	ICK
ADAM12	IGFBP5
ZBTB16	PSMD2
MAPK14	MEF2A
EIF3C	EIF3K
MAT2A	MAT2B
DYNLL1	DLGAP1
NCOA4	AR
CITED4	TFAP2B
TFDP1	E2F3
RBBP4	SUV39H1
SKP1	FBXL3
SRC	PTPN21
EWSR1	CPSF7
PPP4C	PPP4R2
TAP1	MDFI
EGFR	SH3BGRL3
SHB	IL2RB
GTF2F2	GTF2F1
YWHAE	YWHAH
SMIM3	BSCL2
CD9	SERPINH1
EIF4G1	EIF4A2
STAT1	KIT
SHC1	CEACAM1
CTNND1	CDH5
SNX1	ACVR1B
PXN	RPL3
GADD45G	CDK1
HCK	WIPF1
SERPINH1	VCL
CCNE1	SMARCC1
BMPR1B	ARHGEF6
AURKB	RACGAP1
UBQLN1	HSPA13
SMAD1	SKIL
TRAF1	TNFSF9
DUSP4	MAPK1
GMNN	CDKN1A
ETHE1	IGSF21
MAP2K4	MAPK8
SART1	UBL5
HOXC8	SMAD1
SRC	SMARCE1
SH2B3	ERBB3
ERBB4	RASA1
GLI2	ZIC1
YIPF2	YIPF6
ID3	PAX5
LMO2	LDB1
KLF1	CSNK2A2
ERBB2	SH2B2
CALCOCO1	CYTH3
CFAP53	TEX11
TNF	TNFRSF1A
NEK2	NEK11
EPHB1	EFNB1
HIST1H3J	ASF1A
CPSF6	NCK2
EP300	SUB1
VAPA	VAMP2
EFEMP1	ARAF
RBBP8	CTBP1
TOP2A	TOP2B
TNFAIP3	RNF11
ACAP3	SLC35G2
COPS8	COPS5
NUP37	TGFBR1
LAMC1	CCDC53
PCNA	RFC5
CHRM1	GPRASP1
CCDC85B	PBXIP1
CANX	LRP1
EGFR	PTPRJ
NUDT18	RAB3IL1
LAT	SH3BP2
CNOT2	CNOT6
GRIN2D	IL16
MAP3K5	TRAF5
ITSN1	UNC119
UBE2L3	RNF144A
ABI1	NIN
TSG101	VPS36
DBF4	CDC7
KLHL20	GBP2
SMAD1	MKL2
CHUK	MAP3K14
PCNA	WRN
KCNJ12	ABLIM1
CCNB2	CDK1
ACTG1	CFL1
GADD45GIP1	GADD45B
ILF3	XPO5
CASP9	DCC
PKN2	RHOA
CDK5R2	ACTN1
HMOX2	HAP1
UCHL1	NEDD8
CCK	CCKBR
BIRC2	RIPK2
TUBB4B	PXN
CCDC85B	NRIP1
STX11	VAMP2
FEZ1	DISC1
AR	RANBP9
BMPR1B	USP45
CBL	MET
XIAP	TRAF6
HIPK3	FAS
SAP30BP	PUF60
RASAL2	YWHAG
FOS	DDIT3
RAB3B	SMAD4
PSMC2	PSMD6
BIRC2	CASP3
ARHGEF7	PAK2
HYPK	HTT
CEBPE	CEBPD
PSMB5	PSMB3
STRN4	WNT7A
GADD45G	EEF1A1
SEPT5	SEPT8
SSTR1	CORT
COPS6	LPL
RAD51AP1	RAD51
MAN2B1	SMAD9
CSE1L	HNRNPL
COQ6	ARSE
SMAD1	SMAD6
RPN1	SIGIRR
CDK1	CDKN1A
RCC1	XPO1
CSTF2	FEZ1
ATF4	GPS2
EP300	CTBP1
CDC42	NCF2
PIK3R1	SYK
DCTN5	NINL
EGFR	SHC3
TRPV6	S100A10
ARHGEF11	PLXNB3
CTNND1	CDH2
ACVR2B	MSTN
EEF1G	KARS
KIT	GRB10
PAM16	FEZ1
SMAD1	HECW2
CHD4	XRN1
PRPF38B	YWHAG
CXCR2	CXCL6
MAP2K7	MAP3K1
CEP70	UTP14A
GTF2F2	TBP
ATF3	NUF2
CHUK	MYL12A
PPCDC	CENPT
IGBP1	PPP2CB
EIF2B1	EIF2S1
NFKB2	REL
NOC4L	PRSS23
UBR1	SERPINB9
GNA12	F2R
APPL2	APPL1
TSHR	FLNB
MAFF	HOXD12
VEGFA	NRP1
SERPINB9	CCDC90B
NME1	NME4
SERPINB9	IGSF21
ATF3	BATF3
ZNF440	MDFI
PCNA	MYBBP1A
WBP4	WBP11
SMAD1	RASD2
JAK1	IFNAR2
RPS26	TSR2
EXOSC4	LRRC8D
RP2	ARL3
ABLIM1	KRT15
CALCOCO2	ZNF426
PTPRR	MAPK7
NELFCD	AAMP
TNFRSF9	TRAF2
ITM2C	RNF7
CCDC85B	KRT6A
RBL1	TFDP2
CSNK2A1	PAFAH1B1
VIM	PDLIM1
CRMP1	UBE2A
GSC	SMAD1
IRAK2	TRAF6
CCDC53	PBXIP1
MAGEA1	SH3GLB2
CASP1	HTT
HRAS	BRAF
SOCS3	IRS1
NTF4	BDNF
SMAD4	XPO5
ATXN1	ZHX1
INO80B	UIMC1
EGFR	IRS1
IRS1	UBTF
IFNAR1	JAK1
RGS18	GNAQ
NUP88	NUP98
MCTS1	DENR
RPA1	RAD52
CXCL3	CXCR2
RAD51	DMC1
EP300	EPAS1
EGFR	EPS8
USHBP1	DYDC1
LNX1	SAT1
AHR	AIP
IL7	IL2RG
SF3B1	WBP4
ERBB2	IRS1
YWHAH	TLX2
SRF	MKL2
THAP1	ZCCHC10
SMAD3	SKI
SMAD9	KDM6A
IFNAR1	PIK3R1
KHSRP	EXOSC3
PSMC6	PSMD6
DRAP1	CDKN2C
HOXB9	BTG2
TEK	SOCS1
MSH2	BRCA1
CCDC85B	CCDC33
HIC2	PDK2
CREB3L3	CREB3
CCDC85B	SETD5
APPBP2	TBL3
PXN	CEACAM1
MCM6	ORC6
USHBP1	SERTAD3
MCM6	MCM2
YWHAG	MARK3
ITGB2	CD226
KRT81	SKIL
STAM2	JAK1
ATF1	BACH1
TRIP13	DDAH2
SP1	SREBF2
IKBKG	PPM1B
VIM	OSBP2
ORC4	MCM10
MAP2K4	MAP3K2
MAPRE3	SLC25A10
EXOSC4	GADD45GIP1
DVL2	SNF8
RAD54B	GORASP2
PDPK1	PRKCI
JAK3	SHB
EEF1G	NCK2
JAK1	TYK2
CCDC127	RNF11
PSAP	CTSD
IK	NUP62
SDHB	SDHA
CAND1	CUL3
GGA1	SYNRG
GAN	MAP1B
TRAF2	MAP3K8
PSG3	FAM46A
TACO1	SAT1
CUL7	FBXW8
CDK3	CDKN3
GADD45G	GADD45GIP1
USHBP1	PRC1
PBDC1	PPP1R16A
RFX5	RFXANK
CDKN1B	CDK2
GTF2B	TBPL1
ORC2	CDC5L
CCDC85B	ZNF417
CDKN1A	CCNE2
DPP7	XRN1
DCAF8	MDFI
PIR	NFIX
EEF1G	GET4
SIX6	TLE1
TCEB1	SOCS1
LCK	SIT1
FANCD2	USP1
STAM	JAK2
EFTUD2	WBP4
RBPMS	EYA2
HMG20B	KIF4A
PSME3	BBS2
TANGO6	MACF1
IQGAP1	MAPK1
DVL2	TIFA
RAB1B	GOLGA2
FBLN2	ELN
SOX18	MEF2C
SSB	NCL
SYVN1	ERN1
SMAD2	DNAJC7
PSMC3	PSMD13
CBL	MYO1C
IRF3	CREBBP
DRAP1	PIK3R3
IGSF1	ACVR1B
FASLG	NCK1
BCL10	MALT1
SRC	SKAP1
PNN	KRT18
LDOC1	FAM107A
PXN	RPL29
PRTN3	SERPINB1
KAT5	HDAC1
SERPINB2	RB1
DCAF6	BMPR1B
MAP3K14	HSP90AB1
PARD6A	PRKCZ
KIT	JAK2
YWHAQ	LYST
MTMR4	HIPK3
BCL6	JUNB
TAP1	PDIA3
ERBB2	JAK1
CD151	PTGFRN
NCL	MDK
ACTN2	KCNA5
THAP1	ZNF408
FEZ1	GTF2F1
RBM10	FAM124A
DDX17	PCNA
SP2	E2F1
NFKBIB	MTIF2
NOV	NOTCH1
PIK3R1	TGFBR1
POLA2	CPE
BIRC7	CASP9
SKP1	FBXO11
SMAD3	GSC
XRCC6	PLGRKT
ZAP70	ERBB3
EIF6	MRPS31
EEF1A2	CHRM4
RGS2	LRFN1
GTF2F2	POLR2C
ZNF512B	OS9
WDYHV1	PCBD1
CTNNA1	CTNNB1
ITGB3BP	DDX24
UBQLN1	ADRM1
EIF4EBP1	MAPK1
F3	FLNA
AGR2	MED31
TRIM28	ZNF197
FYN	CD247
EIF2S2	ZBTB16
GHR	SHC1
KCNJ5	KCNJ3
TGFBR1	USP45
RCOR3	KRT15
PIAS4	SMAD1
RBFOX1	ATXN2
CCDC85B	PSMC1
MYH10	ZNF512B
CRKL	GAB2
EIF3F	EIF3B
CREB3L4	CREB3L1
AP2A2	HTT
IFNAR1	TYK2
HSPA5	KRT8
TYK2	LYN
HNF1A	CDX2
BTG1	CNOT8
RPS11	MAP3K14
RAB3A	SYTL4
ITPR3	TRPC5
JUNB	BATF
COX17	KATNAL1
TRAF4	RPS6KB1
UBE2D1	UBE3A
LDOC1	UTP14A
RAC2	CUL1
ALDH2	UNC119
RHOG	DOCK1
HSF1	STUB1
VCL	ACTC1
UBE2E3	RNF5
UPF2	RPS15
CKAP5	PTPRN2
PCNA	CCNB1
S100B	S100A6
CFTR	DNAJC5
KXD1	MOB1A
SMC1A	NUMA1
GCKR	GCK
GABARAP	PKP4
RIC8A	UBQLN1
TMEM70	PHC2
CTSB	S100A10
CRMP1	AGR2
MDFI	TYMSOS
FZD4	DLG4
APP	HSD17B10
BRCA1	FANCA
CCDC130	ZBTB16
FSHB	CGA
VPS26B	VPS35
RUNX1	WWTR1
CD2	CD5
TAL2	LMO1
ZNF512B	TOX4
MOCS2	ABCF3
ATG7	GABARAPL1
IL6ST	JAK1
PDCD6IP	PTK2B
HIPK3	RGS3
PDGFRB	NCK1
NT5C2	NOC4L
APTX	XRCC4
RGS16	EGFR
CPE	UTP14A
SMAD7	MAPK14
HSPH1	CFL1
AR	NR2C2
NCOR1	PML
GNAQ	RGS5
MAP2	PLEC
LURAP1	HGS
PSMC2	PSMD5
RAB11FIP2	YWHAG
CCDC85B	MOAP1
DRD5	GNA13
MAP2K7	MAP3K2
ZNF512B	PAPPA2
FGB	CALR
HSPA4	PRSS23
CCDC85B	UTP6
FOSB	JUN
CDC37	MAP3K1
NCAN	CNTN2
YWHAH	NRIP1
MCM7	RB1
CTSL	CSTA
BAX	BCL2L10
TBPL1	PLIN3
APLP1	TCF21
DSC3	CTNNB1
DDX58	CYLD
RPL18A	LPL
TCEB3B	TRAF2
HID1	RCN3
RAB2A	GORASP2
TRAF3	USP7
TRAIP	TRAF2
FGFR3	KRT8
LCK	SYK
TWIST2	MEF2C
HRAS	PIK3CA
ORC4	ORC6
PPP2R1B	EEF2
PRMT1	YLPM1
PPP4C	REL
LMO4	ZNF675
FXR2	NCK2
CDC5L	CDT1
PSMD7	PSMD13
DLST	ZHX1
ELF1	SP1
ASCC2	MYH9
U2AF2	U2AF1
JUND	BRCA1
RPS13	MAP3K1
AP1G2	AP1S2
SLC25A38	NOL12
PSMD8	PAAF1
PXN	ENO1
SUB1	POU2AF1
LSM1	FAM136A
PEX5	ECH1
SPEN	NCOR2
GAS7	SF3A1
UBE2D2	CBL
PGR	PIAS3
CCR1	CCL14
RGS12	GNAI3
C16orf74	UNC119
PSMB3	PSMD6
CFTR	CANX
APBA2	APP
LNPEP	TNKS2
EGFR	SNX4
FAM107A	USHBP1
TOP1	PARP1
