SUPT3H	TRRAP
RNF111	UBE2D2
CBL	UBASH3B
NFRKB	UCHL5
MAP2K4	MAP3K5
SREBF2	MAPK1
RCHY1	UBE2D2
RPS25	RPS26
IKBKG	TRAF6
MAPK8IP2	MAPK8
CYB5R3	CYB5A
PSMD8	PSMD1
UBE2G2	AUP1
MGRN1	TSG101
NCOA6	PAXIP1
H2AFX	UBB
RFC2	CHTF18
MFAP2	ELN
PLA2G2A	VCAN
HDAC1	HDAC3
LATS1	MOB1A
STK24	MOB4
NCAM1	L1CAM
PSMA2	PSMB2
EFTUD2	PRPF8
TRIP6	PTPN13
VPS35	SNX2
TCP1	CCT4
HSPA4	BAG3
VBP1	PFDN6
CIAO1	MMS19
CBX8	PCGF2
XRCC6	PARP1
HIST3H3	CBX5
CRIPT	DLG2
APBA1	KCNJ12
PSMD8	PSMC6
SRC	PGR
HTT	CBS
HTT	CBS
PSMB3	PSMA4
MBD3	GATAD2B
RASSF2	STK3
PHC1	PCGF2
COPZ1	COPB2
TNFRSF4	TRAF2
MYOD1	KAT2B
PARP1	CHD1L
CETN2	RAD23B
PTPN6	CD300LF
PER1	PER2
MYC	RELA
APP	SERPINA3
XCR1	XCL1
SHFM1	PSMD6
MUC1	GALNT2
LGALS3	EGFR
TAF10	TAF1
MID2	UBE2D4
ST8SIA4	NCAM1
TTI1	TELO2
ITK	FYN
PRKAA2	PRKAB2
HEXIM2	CDK9
PSMB5	PSMC1
RPTOR	RPS6KB1
BBS9	BBS1
WRN	ATM
YWHAH	MARK2
CUL1	FBXW8
STIM1	ORAI1
BRIP1	MLH1
BRIP1	MLH1
SHC1	FCGR2A
LRP2	CUBN
TCEA1	TBP
ARID4A	RB1
TCP1	CCT6A
PFDN5	PFDN1
RBX1	NEDD8
ABCA1	SNTB1
CARM1	NCOA2
PTK2	FYN
