a_alias	b_alias
GEMIN7	SMN2
SHC1	GAB2
GTF2I	BTK
TNNI3	TNNT2
RBL1	MYBL2
S100A8	S100A9
IL2	IL2RB
CAV1	TRPC1
EPRS	AIMP2
CDKN1A	CDK2
ACTB	EMD
RUVBL1	RUVBL2
PPP2R1B	PPP2R5C
CLTC	ARR3
HDAC2	SP1
SMAD2	ERBIN
PSMA1	PSMA4
COPZ1	COPG1
MAX	MXD4
HDAC2	RCOR1
NLRC4	PYCARD
PLXNB1	MET
PEX13	PEX19
ERBB3	PA2G4
EIF3F	EIF3M
MCM2	MCM3
GANAB	PTPRC
TRAF1	TRAF2
KLRK1	MICA
FADD	CFLAR
CRYAB	HSPB1
SHC1	RET
TRAF2	RIPK1
NCSTN	APH1B
ARF6	CYTH2
SLX1B	SLX4
ROCK1	RHOA
EIF3A	EIF3G
AMBP	A2M
CLTC	AMPH
EPHA2	EFNA1
EIF4A1	PDCD4
HOXA9	MEIS1
JUNB	FOS
VAV1	SYK
RPA1	XPA
PSEN1	APH1A
UBE2N	RNF11
ITK	LCP2
CRKL	GAB1
ERBB4	STAT5A
DYNLL1	BCL2L11
PAK1	NCK1
IL22RA1	IL22
TBP	JUN
CD9	ITGB1
UBA2	UBE2I
HSPE1	HSPD1
ILK	LIMS1
MYC	SP1
XRCC6	POU2F1
NXT1	NXF3
GADD45A	CDK1
IL10	IL10RB
RPA1	BLM
WIPF1	WASL
C3	CFB
YWHAQ	CBL
VPS25	CHMP6
TAF10	TBP
FGF1	FGFR1
TAB2	IRAK1
E2F4	RB1
STAM2	HGS
DIS3	EXOSC8
CNOT7	BTG2
EGFR	EGF
COMMD1	CUL2
CEP97	CCP110
MAX	MXD1
CDC20	PTTG1
SKP1	FBXO6
TRADD	FAS
MED20	MED18
EP300	RELA
PCNA	CDT1
CXCR1	CXCL1
BIRC2	CASP9
FBXW11	CDC25A
KHDRBS3	SIAH1
MSH2	MSH6
POLA2	POLA1
EP300	SMAD1
MAX	MXI1
EP300	YY1
CXCR1	CXCL6
CUL7	RBX1
KRT18	KRT8
CREBBP	HTT
SAV1	STK3
SNRPD2	LSM2
EIF3L	EIF3A
CDH2	JUP
POLH	REV1
EIF4G1	PABPC1
TNFAIP3	TNIP2
CCL2	CCR2
MBD3	HDAC1
EZR	L1CAM
RBM8A	EIF4A3
MAPK8	HRAS
FYN	SKAP1
BAX	BCL2
EFNB2	NCK2
ILK	PARVA
COPB1	COPG1
HCFC1	POU2F1
EIF2AK2	EIF2S1
STAT5B	INSR
GRAP2	STAMBP
IKBKB	MAP3K3
PEX14	PEX13
TFDP1	E2F1
NUMB	NOTCH1
CHP1	SLC9A1
IFNGR1	IFNG
PCNA	MSH2
BIRC2	TRAF2
MAX	MNT
UBE2L6	UBE3A
IL7	IL7R
TP73	ABL1
LY86	CD180
GAB1	PIK3R1
PCNA	POLH
CD3E	PIK3R1
MAPK8	JUNB
EIF4EBP1	ATM
MAPKAPK2	MAPK14
BRCA1	ATM
PSMC3	PSMC6
RHOA	DIAPH1
BLNK	CD79A
CBLB	EGFR
BAX	BCL2L2-PABPN1
SLC9A3R1	NF2
NSF	GOSR1
TRAPPC2L	TRAPPC3
SPI1	GATA2
DRD3	FLNA
SQSTM1	PRKCZ
HDAC1	ZBTB16
MSX1	TBP
SAV1	STK4
PSTPIP1	WAS
AR	NCOA2
EGFR	MUC1
