P42575	CASP2
P68366	TUBA4A
Q13111	CHAF1A
P54578	USP14
Q92572	AP3S1
P04275	VWF
P08473	MME
Q92575	UBXN4
P42680	TEC
P61970	NUTF2
P35520	CBS
Q9HAU4	SMURF2
Q7Z6J0	SH3RF1
Q05397	PTK2
Q9UIU6	SIX4
Q14247	CTTN
Q14242	SELPLG
Q14241	TCEB3
O95429	BAG4
P24928	POLR2A
P06858	LPL
Q13200	PSMD2
P49336	CDK8
Q9Y3R0	GRIP1
P07858	CTSB
P11233	RALA
O75351	VPS4B
Q8IVH8	MAP4K3
P30926	CHRNB4
P15927	RPA2
Q15758	SLC1A5
O15496	PLA2G10
P54198	HIRA
P62280	RPS11
Q15149	PLEC
Q12879	GRIN2A
Q9UHI6	DDX20
P25787	PSMA2
P25788	PSMA3
P25789	PSMA4
Q9BX67	JAM3
Q9NYJ8	TAB2
Q14669	TRIP12
Q8IZH2	XRN1
O75791	GRAP2
P61158	ACTR3
Q6PIZ9	TRAT1
Q9H9Q2	COPS7B
O94776	MTA2
P48061	CXCL12
Q9HCE7	SMURF1
P62191	PSMC1
Q9NX24	NHP2
P62195	PSMC5
O15511	ARPC5
P11142	HSPA8
P13498	CYBA
Q6ZRS2	SRCAP
O00429	DNM1L
P51587	BRCA2
Q15532	SS18
Q13769	THOC5
P15260	IFNGR1
O14776	TCERG1
P61088	UBE2N
P61081	UBE2M
Q13561	DCTN2
P62266	RPS23
P85037	FOXK1
P62263	RPS14
O14744	PRMT5
Q9Y6W5	WASF2
Q9NSN8	SNTG1
P16519	PCSK2
O00203	AP3B1
P01903	HLA-DRA
Q8WTS6	SETD7
Q08945	SSRP1
Q9P2W3	GNG13
Q13330	MTA1
Q9H211	CDT1
O75928	PIAS2
NM_000204	CFI
O76064	RNF8
Q9BTT4	MED10
Q71U36	TUBA1A
O60825	PFKFB2
Q9BT78	COPS4
P05106	ITGB3
P05107	ITGB2
P37840	SNCA
P17706	PTPN2
O95166	GABARAP
P32246	CCR1
O43542	XRCC3
Q9BRP4	PAAF1
Q96EY5	MVB12A
Q12962	TAF10
P62841	RPS15
Q92187	ST8SIA4
Q99741	CDC6
P02655	APOC2
P15884	TCF4
P15880	RPS2
Q9BXS5	AP1M1
O15360	FANCA
Q15038	DAZAP2
A8MT69	STRA13
Q9Y244	POMP
O15164	TRIM24
O15162	PLSCR1
Q99460	PSMD1
O15169	AXIN1
P08069	IGF1R
P22314	UBA1
Q9BXM7	PINK1
Q9UKV5	AMFR
Q9UKV3	ACIN1
P27797	CALR
P01275	GCG
P62913	RPL11
Q9Y6K1	DNMT3A
P35606	COPB2
Q4VCS5	AMOT
Q9Y6K9	IKBKG
P78527	PRKDC
P42566	EPS15
P05362	ICAM1
Q6P1M3	LLGL2
P42568	MLLT3
P16860	NPPB
Q15811	ITSN1
Q9NPJ6	MED4
P61978	HNRNPK
Q92560	BAP1
P22223	CDH3
P57087	JAM2
Q14203	DCTN1
P61981	YWHAG
Q9UIV8	SERPINB13
Q14258	TRIM25
Q5VTR2	RNF20
Q8IXJ9	ASXL1
P46531	NOTCH1
Q53HL2	CDCA8
Q8NES3	LFNG
P08311	CTSG
