SUPT3H	TRRAP
SPARC	PDGFA
RUVBL2	SSSCA1
DDX56	MRPS5
RPS3A	CNBP
SF3B3	SMNDC1
AIMP1	HSP90B1
EIF1B	EIF3E
CHMP3	IGFBP7
STAT1	MDK
FBL	RTCA
RASA1	PIK3R1
APC	TAF1
NASP	TRAF6
TBK1	LDHB
SHB	LCP2
RIPK3	TUBB4A
IGHG1	TRAF1
COL5A2	DDR1
YWHAB	TPD52L1
EIF3J	EIF3F
SRSF7	CDK11A
F2R	GNA13
STK24	MOB4
TOPORS	UBE2D4
PDLIM5	PRKCG
ITGA4	ADAM28
TUBA4A	HDAC6
UBE2E3	RNF43
WIPI1	PPA1
UBE2E3	RNF10
MAP3K5	GADD45B
CDC25A	CUX1
UBE2J1	PJA2
LY86	LY96
CYP11B2	FDX1
SAFB	SRPK1
NCAM1	L1CAM
COPS6	EIF3E
TUBB	NFKB2
PRAM1	APP
INHBC	ACVR1B
NFKB1	TRIP4
LRSAM1	UBE2D2
WDR77	SNRPD3
PSMA2	PSMB2
PSMD8	TRAF6
RNF167	UBE2D2
FBXW4	CDC37
EFTUD2	PRPF8
ADRB2	GRK6
VCP	SH2D2A
MYBL2	SND1
PRKAB1	MARS
BZW1	PREX1
TRIP6	PTPN13
BLM	BRCA1
GKAP1	SH3BP4
GAPDH	MAPK1
HIST2H2BE	SAP30
HADHB	MAP3K1
SF3A2	PLRG1
METTL3	METTL14
IL2RB	IL15RA
MATR3	NFKB2
LUM	MMP14
AR	SUMO1
EIF3B	MTOR
HOXA10	PBX1
ACTL6A	YY1
RPN2	TMBIM4
FYN	CTLA4
ARF6	AP3D1
SNRPD3	SNRPD1
NCAPH	NCAPD2
CD2BP2	P4HB
KIF23	PLK1
SMAD4	JUN
SHROOM3	DYNLL1
IARS	MAP3K3
PRTN3	SERPINB13
MYC	RPL11
PKN1	MAP2K3
BAK1	KRT31
FRS3	PRKCI
MAPRE3	JUN
IL23A	IL23R
CACNA1F	CABP4
NCL	ARRB1
PIN1	CDK9
RUBCN	SMAD9
EIF3G	EIF3K
SFN	SPIRE1
VPS35	SNX2
TCP1	CCT4
HSPA4	BAG3
ITCH	RPAP3
VBP1	PFDN6
CIAO1	MMS19
ID3	GNB2
EIF4A2	EIF3H
SET	DGKE
PPP1R14A	CSNK1G2
U2AF2	DDX6
CIB1	NRIP1
HOOK1	HOOK3
CBX8	PCGF2
TCP1	TNFRSF1B
UBE2A	UBA1
INHBB	INHA
ERBIN	GUCY1A2
A2M	CYP2C8
IL2RB	PIK3R1
PRKCA	GNA12
MATR3	RELA
SRSF7	SREK1
TLE1	UBTF
TCP1	TBK1
MKRN3	UBE2E2
SPTAN1	SOS1
XRCC6	PARP1
TSHR	GNA12
HIST3H3	CBX5
APP	EXOC6
PRAM1	PSEN1
RSL1D1	MAP3K14
LCP1	CNN3
A2M	LONP1
RAD23A	PI4K2A
NUP205	PHLDA3
SFPQ	RELB
SOCS7	NCK1
CRIPT	DLG2
APC	AGFG1
NSF	RGS20
CPXM2	SMAD9
SERPINA3	POLA1
NME2	TBXA2R
CDC42	KTN1
SF3B1	SF3A3
APBA1	KCNJ12
SV2B	SYT1
SYNGAP1	ULK2
DCN	FN1
DLG4	GDA
AMIGO3	AMIGO1
PSMD8	PSMC6
RPS2	RPL19
USP14	PSMD6
SRC	PGR
PJA1	UBE2D2
PPP1CB	CCND3
RIMS1	LRRK1
PSTPIP1	RPL34
ANG	ACTC1
ENG	TGFBR3
HTT	CBS
HTT	CBS
TRAPPC3	TRAPPC11
PSMB3	PSMA4
RHOA	CIT
EPB41	SLC4A1
IKZF4	SIN3A
CDC20	KRT31
TADA2A	POLR2B
RPL18A	DDX56
NCOA3	YWHAH
ERBIN	AGTR2
UBE2D3	MAP3K1
GEMIN4	FIBP
PNMA1	PARD6B
MBD3	GATAD2B
CARD11	CBLB
LAMA3	PLAT
RASSF2	STK3
GAS7	SF1
WDR77	SNRPB
CBX7	PCGF1
PPP1CC	EIF2S1
YWHAQ	KIAA0930
PHC1	PCGF2
PARP1	CEBPA
DTX1	UBE2C
AARS	NARS
NSF	USO1
NSF	USO1
MDM2	PLK1
CD40LG	RNF128
LCP2	PAG1
UBE2L3	RNF125
SF3A2	PHF5A
POMP	PSMA4
CDK16	SEC23A
ZNF652	CBFA2T2
QARS	GARS
INSR	PIK3R3
CREM	CDC34
MKNK2	RPL7A
NEDD8	CDK2
FOXG1	TLE3
EXT2	CRB1
PIN1	DHX15
ACTL6A	DMAP1
SH2D2A	MAP3K2
ODF2	ODF1
SMAD2	FBXO3
KCNS3	KCNB1
SRC	YWHAE
CENPB	PARP2
GTF3C1	NFKB2
RFC2	RFC3
NCL	PPARGC1A
RGS20	PMVK
STAC	TRIP6
GAPDH	SLC2A4
HLA-E	PPP1R16A
PIN1	HNRNPU
RPS15	RPS18
SLIT1	ROBO1
IKBKG	SLC25A6
KLHL41	SLC2A4
FNBP1L	ATG3
RAD1	FEN1
TCERG1	WAS
STK39	MBP
CHD8	RBBP5
CTNND2	CTTN
CTNNB1	DHX9
PYDC2	PYCARD
SNAP29	STX7
CAV1	TRADD
PCID2	NEK6
ITGAV	F2R
ECSIT	TRAF6
RPL24	MAP3K1
KLF1	CREBBP
HNRNPA3	PUF60
PSMD14	RBM15B
TINF2	STAG1
MOB1A	STRN3
COPZ1	COPB2
ABCD3	PGRMC1
RBBP4	RBP1
APOH	F12
MOK	CCNB1
CDKN1A	CUL1
LRIF1	KBTBD7
IGF2BP1	ARHGDIA
TNFRSF4	TRAF2
GABBR1	MAX
CREB5	DDIT3
OSTF1	MED28
MMP17	LRP1
MYOD1	KAT2B
SOD1	PPP3CA
RELB	RPL30
HSPA5	TRAF6
LONP1	LOXL4
YWHAQ	IRS2
ARRB2	CFL1
CD247	GAB2
MYH9	EMD
UTS2R	UTS2B
FLNA	MAP3K1
KLF4	CTBP1
ATIC	UBA1
RELB	USP9X
SNRPD2	SF3A2
NR0B2	SNW1
IFT140	CELSR3
PRKACA	CLTC
TSHR	LHCGR
IL2RG	WWP1
PARP1	CHD1L
MAP3K1	RPL10
CETN2	RAD23B
MAPK8IP1	SNCA
ACTB	PLD2
RHOQ	COPB1
MAP3K4	RACGAP1
ECSIT	CYP2C18
CXCR2	MYO5B
RAB11B	OPTN
PTPN6	CD300LF
OCLN	CSNK1E
PER1	PER2
MYC	RELA
APP	SERPINA3
XCR1	XCL1
LAT	CD4
HCK	SF3B3
GTF2H5	CDK7
ATG4A	GABARAPL2
MAP3K14	TUBA3C
TANK	NAP1L1
TRIM55	TRIM54
MAP3K14	RPS23
WWP2	TP53BP2
PCNA	RPSA
UBE2W	RNF114
DBF4	CHAF1A
IL9R	IL2RG
HSPA4	IRAK1
XRCC6	GZMA
MID1	UBE2D4
STAM	MED28
PSEN2	LIPF
KLC4	YWHAG
IKBKG	MYL12A
UBR4	MCRS1
PARP1	NEDD8
RIT2	RLF
SRC	ANXA2
RPS16	TNFRSF1B
KPNA1	PAX5
SLC16A1	SERINC3
NCL	NFKB2
LYN	GRIA3
SHFM1	PSMD6
NAA20	TGFBR1
UBE2W	MUL1
BAG5	MAP3K3
IL6ST	PIK3CG
CPNE1	PDCD6
UBE2D1	PJA2
RFC5	RFC3
MAX	PPP1CA
MUC1	GALNT2
DNAJA1	TAB2
TNR	BCAN
MAPK8	GEMIN5
ATN1	TLE1
STAT5B	ETS2
IKBKG	FLNA
TTC3	ATF7IP
TFIP11	TUFT1
ACVRL1	TGFBRAP1
RPS6KB2	EEF2K
HSP90AB1	TRADD
TNFRSF1B	DDOST
MAGED1	COPG2
MYOD1	HAND1
TAF5	GTF2F2
PGAM5	CDK2
AP1S1	ARMC6
EDF1	JUN
LGALS3	EGFR
UBE2S	RBCK1
RASA1	ARHGAP1
EIF3A	EIF4A1
TAF10	TAF1
TWIST1	ETS2
CXCR3	CCL11
GFAP	S100B
DDX39B	U2AF2
MID2	UBE2D4
AGFG1	VAMP7
CSE1L	CNDP2
DDOST	PGRMC1
PGRMC1	DDOST
APBB2	EGFR
MDM2	JUND
ST8SIA4	NCAM1
EWSR1	SLC22A24
GNB2	MAP3K3
IKBKG	TIMM50
MYC	FANCI
DGKB	KRT31
TTI1	TELO2
CRYBA4	CRYBB2
TUBA1A	SYK
XRCC6	MAPK8
CREBBP	PCMT1
BAK1	HSPD1
XRCC5	TERF2IP
SNCG	MCM3
ZBTB8A	RPL9
COPS5	PLAC8
KIF5B	VDAC1
SYNCRIP	PRMT8
PLCG2	EPOR
TNFAIP1	EPHA2
ZNRF4	UBE2D4
P4HB	COL1A1
TRAF7	UBE2L3
MSH2	SLX4
HDAC5	PHB2
TNFRSF1B	ATP1A1
ARHGAP18	MPP6
TOR1A	DHCR7
PFAS	MCC
ATP5A1	YWHAE
ITK	FYN
PRKAA2	PRKAB2
HEXIM2	CDK9
TUBB6	MAP3K1
APC	NAV1
AMFR	UBE2D4
PSMB5	PSMC1
MYC	CCAR2
MIB1	UBE2D3
NAP1L1	TRADD
RPTOR	RPS6KB1
APCS	FCGR3B
BBS9	BBS1
DOCK9	SMAD2
NEDD4	RPAP2
ISL1	PECR
STK38	YWHAB
NFKBIA	COPS2
RPS16	RPS15
PRMT6	HMGA2
MED9	MED25
EVL	SPTA1
IFT20	ATRIP
TAF5	CPSF1
RPL28	MAGEB2
MUL1	UBE2E1
MDFI	CCDC33
NR2C2	CD2AP
MAPK8	TNFSF11
UBE2D3	UBE4A
GABARAP	DYX1C1
PARD6G	YWHAE
CREBBP	MAFG
WRN	ATM
APBB1	DHX9
ITGB3BP	RELA
YWHAQ	RASGRP3
HDAC3	PHB2
SNCAIP	SEPT4
SKI	GLI3
SREBF2	ITGB4
HNRNPUL1	SF3A2
TAF4B	TAF12
SUV39H1	CBX4
YWHAH	MARK2
RIPK1	TIMM50
TRAF2	RPL23
TIMELESS	PER2
NCOA1	TBP
EXOC1	TRIM9
APBB1	WASL
USF3	NFYC
AFAP1	PRKCZ
DTX3L	UBE2R2
CTSL	KNG1
RPS16	CDK2
PROCR	F2R
MYC	IQGAP2
DBNL	HERC2
RNF125	UBE2D3
GCH1	MAPK10
CLIC3	MAPK15
PRPF8	SNRPD3
DHX36	PANK2
SFN	PPFIBP1
SIAH1	ZIM2
PEG3	SIAH1
UBE2L6	RNF144A
RIPK3	WDR61
SLC9A3R2	SIAH1
NOTCH2	GSK3B
AP3B1	ARRB1
EXOC1	DISC1
SERGEF	DPH3
SLC6A8	CD59
WT1	AREG
ARHGEF7	SMAD1
NRBF2	RARA
MIB1	SNX5
BRF2	ABCD3
PIK3CA	VARS2
ZFAND6	DNM2
PRKCZ	IRS4
CHFR	UBE2E3
CUL1	FBXW8
NUP54	NUTF2
CHD6	ARAF
STIM1	ORAI1
TXK	CCR5
HDAC1	SETDB1
CRKL	ETV6
IFNAR1	IFNA8
CSN2	NFYC
TNFRSF1B	CBWD2
FBXW5	MAP3K7
UBE4B	UBE2D2
DNAJA1	TNFRSF1B
BRIP1	MLH1
BRIP1	MLH1
PARP1	ERG
APC	KRT5
HOXB7	PKNOX1
FHL2	E2F1
ALDH16A1	PAAF1
COPG1	PHB2
ERBB2	CUL5
TNFRSF1A	DDOST
UBE2E3	RMND5B
SUMO1	EPAS1
SF3A3	SF3B3
SHC1	FCGR2A
P4HA3	P4HB
ALDOB	BBS1
LGALS3BP	ITGB1
RGS20	BOLA1
MON2	GGA1
TRIM8	SOCS1
LRP2	CUBN
TCEA1	TBP
CAPRIN1	PIN1
MUL1	UBE2U
RAB6A	OCRL
LSM3	SMN1
MAPK8	IRF3
ARID4A	RB1
G3BP1	PIN1
UBE2G2	RFFL
CCNH	CDK8
RPS20	RPS5
RANBP9	ENTPD1
CNOT6L	CNOT10
HCK	PIK3R1
YWHAQ	RABEP1
IPO4	PHLDA3
MYC	BRD3
WWTR1	YWHAG
TFE3	PFAS
HNRNPR	CNBP
SREBF1	ID3
TRAF3IP1	SNAP91
RNF41	UBE2U
OPRD1	GNAZ
KAT2B	ETV1
CUL2	STOM
AKAP9	PRKAR2B
ACTR3B	TWF2
TCP1	CCT6A
DUSP7	MAPK14
CAV1	NGFR
ENAH	FAT1
PIN1	HNRNPD
APBB1	WASF2
PFDN5	PFDN1
HSPA8	SF3A2
HDAC6	ZBTB16
CDC73	CSTF2
SF3A2	U2AF1
PELO	TIMM50
SPAG5	CEBPD
RGR	RDH5
ATXN1	FYN
ILK	HSPB1
ACHE	EIF2D
RGS2	IBTK
ABCA1	AOX1
VPS45	STX16
RIPK1	TNFRSF10A
TAF1	TAF8
EP300	ETV1
RBX1	NEDD8
STRAP	PBLD
RHEBL1	MTOR
FURIN	FLNC
MOB1B	LATS2
FXR2	TRIM23
CEP63	CCNI
TRAF1	C1QBP
PSMC1	PSMA4
CUL1	HIST1H2BL
SF3A2	PPP1R8
SMAD1	CDK8
LRP6	ANTXR2
APBB1	WAS
TAL1	KDM1A
FBXL20	CUL1
RBBP4	ZFPM1
GTF2H1	MMS19
GRIP1	IRF3
UBE2U	RNF2
FAM13B	YWHAG
ABCA1	SNTB1
RFWD3	UBE2D2
LRP2	DLG1
SREK1	SRSF5
DNMBP	WIPF2
ANTXR1	BRCA1
ALB	KLK3
UBE2N	SH3RF2
CARM1	NCOA2
HDAC5	GCM1
CEBPB	RUNX2
RNF10	UBE2D4
SREBF2	TTC1
RING1	ELAC2
ERBIN	MCC
CCT2	FCHSD2
CACNA1S	RIMS2
SYVN1	UBE2J1
HDAC1	GPS2
H2AFZ	CHD1L
NDEL1	ZNF197
SFN	KLC1
POLR2I	POLR2B
IPO4	NEK6
TCERG1	DIAPH2
TDG	RAD23B
IFNAR1	PTPN11
EEF1D	EEF1A2
CHRNA7	PIK3R1
NLRP2	PYCARD
ZNF331	ZNF212
PFN2	DNM1
PTK2	FYN
CEP70	C1orf35
MMP9	TIMP3
EEF2	EEF1A1
ATG14	PIK3C3
TAF1	TAF4
GNAI1	RGS4
NCL	TERT
UBE2I	DTX3L
MAPK1	ADAM15
XIAP	TBK1
UBE4A	UBE2D2
RAD21	NUMA1
NCOA3	NCOA1
GTF2F2	POLR2A
POLR2A	GTF2F2
AP1B1	ARRB2
PSMD13	RAD23B
CD44	MADCAM1
MARS	MCC
PPIL1	SNW1
RBBP5	CDC73
CHUK	IRAK1
NMT2	BCL2
LRRC7	TOR1A
ACTA1	PRKCA
KPNA1	HIST3H3
STAT5B	MAPK1
RBAK	RB1
TSR1	LYAR
RAD51	RAD54L
ZNF142	MAPK14
SPEN	DLX5
SHC1	SP1
RPL3	RPS15
ATRNL1	MC4R
DLG3	KRT31
PATZ1	BACH2
UQCRC1	TRIM63
CSNK1A1	ETF1
TUBB4A	NR4A1
RPL38	TFE3
PDCD4	EIF4A2
UCP2	YWHAG
MED21	TFG
TANK	IPO5
MYO7A	MYRIP
FASLG	ARHGAP9
ANTXR1	HDAC2
HERC2	MPDU1
RPL7	NEDD8
NCF1	NFKB1
SLC4A4	SLC4A7
SERPINB2	PSMB1
IKBKB	TIMM50
TUBB	RIPK2
PSMG1	PSMG2
SNRNP200	CHMP1B
ABCA1	DLG2
TUBG1	RACGAP1
GANAB	ELF3
LCK	SH2D2A
RAB11A	KAT2B
CDC16	SKIL
CRKL	GRN
HOXB6	PKNOX1
PIK3CG	GRK2
TOM1L1	PIK3R1
PRPF8	NFKB2
ELF1	RB1
BAD	PPP1CA
SYMPK	HTT
SYMPK	HTT
MLLT3	CBX8
RPLP2	RELB
CHUK	STAP2
RNF32	CDK5
YY1	RELB
CCL25	ACKR2
YWHAG	MARK2
EIF4B	CASP3
EZR	MCC
SP1	TBP
FLNA	IKBKAP
UPF1	DDX6
FHL2	TRAF6
KRT85	PLEKHB2
TUBA1B	PXN
FOS	COPS4
RAB5A	OCRL
NCAPG2	SMC2
CAV1	KDR
SUPT16H	TOP1
AHCY	CUL1
CD82	ITGA3
UBE2Z	HLTF
SEC61B	SPC25
FASLG	EPS8L3
SMG5	TERT
VPS26A	VPS29
TNFRSF8	TRAIP
CDC6	MCM8
PDCD6IP	TUBG1
SMAD1	XPO1
FBXW7	JUN
LYAR	DHX9
MDFI	ETNK2
TIRAP	CASP1
SKP2	KMT2A
GART	ARF6
EGFR	HDAC6
MLF2	ABCD3
SUPT5H	PPP2R2D
TRIP6	THRAP3
CSNK1A1	YWHAQ
GNAI1	RGS12
EYA4	SIX1
CRCP	POLR1D
SPTAN1	EVL
RNF32	GCDH
STAT3	PRKCZ
PKN1	TRAF2
VHL	APRT
REPS1	PIN1
SNX18	ITCH
RPS11	EIF1B
SDC3	TUBB2A
CD82	VANGL1
UBE2L3	CBLC
EPC2	KAT5
FNBP1	GABARAP
MAGEB2	RPL36
RIPK3	TUBB2B
PDIA3	LAMC2
PARD3	YWHAG
MBD3L2	MTA1
UBE4B	GZMB
C20orf24	SLC25A12
FASLG	ITSN2
CIB1	FEZ1
CACNB3	SYT1
SF3B2	RBM7
TNKS	SH3BP5
PPP1CC	BCL2L1
MAP3K7	NRIP1
RPA2	XRCC6
RUNX1T1	THRAP3
RAB11B	IKBKG
ACTL6A	ING3
CDK1	PBK
RRP12	RBM28
CD2BP2	DDX23
IRF1	CREBBP
GM2A	PLD2
RPL37	DDX56
MLX	SAP30BP
A2M	ELAVL3
S100A8	MOB1A
SPTAN1	STAT1
HDAC2	SAP30
XIAP	BRCA1
YWHAQ	MARK3
PPARGC1A	USF2
ATP2A2	PTP4A3
CIZ1	SH3BP4
PTP4A3	FANCI
ROBO1	USP33
MAPK8	PIK3R1
CRYAB	CRYBA1
SSRP1	DHX9
ABTB2	EEF1A1
RALGPS2	TGFBR1
TBC1D4	PIN1
SRC	TIAM1
GSK3B	JUN
DVL2	CTNNB1
IKBKG	RPS10
EPRS	MAP3K7
RPL8	RPS20
RBL2	HBP1
SNAI1	HIST1H3A
ATP6V1A	TUFM
LCK	VAV1
MAPK8	BCL2L1
RUVBL1	MAP3K3
PPP3CA	AKAP5
UBE2W	UBOX5
MRPS9	MRPS2
LGALS7	MAP3K3
IKBKG	IDH3A
LTBR	LTB
MYLK2	MAP3K1
PRPF19	SF3A2
GAB3	GRAP2
MYC	POLR2B
CTSL	GEM
RBL2	ID2
ASAP2	RAN
TAB2	BAG2
POLR2E	ITCH
SMC3	STAG2
USP7	CBX8
EDF1	CREB1
LGALS3BP	CD248
FBXO44	TGFBR1
TG	APCS
TRAF1	SPOP
PDCD6	IGFALS
NCOA6	ASH2L
RPL23	RPL10
GDF9	ACVR2A
KRT18	YWHAH
PPM1B	ISG15
ECSIT	EXOC6
PSMD3	C20orf24
APC	RANBP2
CLTC	CLTB
RNF130	UBE2E1
ITCH	SPG20
RAB5A	RBSN
DYNLL1	PFKP
UBE2N	PJA2
SREK1	SSRP1
TERF2	GTF2A2
ECSIT	LONP1
ATG16L1	MAP1LC3C
ITGA4	MADCAM1
HNRNPC	YWHAE
UBE2E3	RFWD3
TRIP6	STOM
MUC2	MLH1
UBE2D1	RNF5
SSRP1	CTR9
UBE2W	TRIM35
RNF5	UBE2Z
TFAP2A	UBE2I
DCTN1	BBS1
TONSL	ASF1B
RBL2	RINT1
MAG	COL9A3
TRIM43	UBE2D2
SOX9	SPEN
EPS15	ELF3
HNRNPA3	ARHGDIA
PRKG1	PDE5A
MAGEH1	NGFR
KIAA1549	CDC73
ASF1B	MRPS7
RPS2	RPS23
CPSF2	CDC73
APBB1	PABPC1
RHO	GRK6
MAP3K14	RPL10A
MED28	TEC
CCNA2	UBTF
TXNDC17	DYNLL1
SNAP25	ZDHHC17
TRMT10C	HSD17B10
EP300	FOXO3
SPAG9	EIF4A2
PABPN1	DNAJB4
RNF7	CASP7
TRIM26	UBE2D2
CSNK1A1	FADD
SMAD2	TRIM33
SP3	RB1
XIAP	ACVR1B
UHRF1	DNMT1
MAP3K14	RPS9
NIFK	FTSJ3
PSTPIP1	ATIC
PSMD7	PSMA4
PABPC1	EIF4A1
SST	SSTR5
SIT1	FYN
UBE2E2	RNF14
EXT2	RPS29
TRIM2	UBE2E2
TRIM23	MLH1
PHC1	CBX8
TRA2B	SF3A2
PPM1B	PABPC4
DST	APC
FOXO4	OGT
CD8A	PTPRC
GIPC1	MMS19
CARHSP1	RPS6KA1
CCNE1	CDK5
SURF4	SERINC3
TRIM11	MT-RNR2
PSMD1	RAD23A
RNF2	PCGF1
UBE2E1	MARCH3
BCAP31	CASP3
MAP3K1	UBE2D4
MTNR1A	GNB1
ENO1	MAP3K7
STAT3	BRCA1
SF3A2	PCBP1
MYC	GTF2I
HSF1	GTF2A2
MAPK8	MYC
RNF32	STAMBPL1
PSMB3	PSMC6
FTSJ3	FANCG
CCDC88A	DISC1
ALDOA	PCNA
RADIL	RAD51D
SMC1A	RAE1
TGFBR3	INHA
AVPR1B	GRK5
HIPK1	HOXD4
ITGB1	LGALS1
TCERG1	WASF2
PPP2CB	AXIN1
DISC1	ZNF197
N4BP1	ITCH
HSPA8	KCNH2
STAMBP	TRIP13
DBT	ADI1
VIM	RAD23A
FYN	PTPN11
ADORA2B	EZR
GEMIN2	GEMIN7
DPP4	CXCL9
MAGEB2	LXN
SUPT3H	TAF10
IKBKG	CAMK2D
ZNF598	FAM178B
HNRNPK	GZMK
EDNRA	EDN3
RHOQ	PFN1
CCL4	ACKR2
SREBF2	SUMO1
BIRC8	UBE2E1
SLC40A1	HAMP
CAV1	CDH1
GTF2F2	GTF2E2
FYN	TYK2
UBE2W	RNF152
FHL2	IKZF4
PRKACA	IFNAR1
WRAP73	BAG6
WBP4	SNRPB
MDM2	S100B
DPYSL2	DISC1
PCBD1	ACIN1
EME1	SLX4
F2RL2	JAM2
VHL	IMPDH2
RAD9A	ITSN2
SKP1	PPP1CC
PARP1	THRA
CDCA8	SGO1
RPL36A	MAGEB2
NOS3	BDKRB2
SRC	ADAM12
CHRM3	CSNK1A1
STK24	DSP
CLNS1A	YWHAE
KPNA2	CHEK2
CDC20	SPATC1
MID1	UBE2N
KIF3B	MAP3K10
STX18	DISC1
NTRK3	IRAK1
HSPA1L	RIPK1
RTKN	RHOC
LMNA	MLIP
UBE2L6	RBCK1
KCNAB1	DLG1
EIF6	RPL18A
STX12	BLOC1S6
COMT	ACE
MAP1A	MAP1B
ANXA4	NFKB1
ORC1	XPO1
SCAMP3	HGS
EPRS	RELB
NEK6	FANCI
HNF1A	YWHAE
THBD	SERPINA5
TBRG4	ASAP2
NCOA1	PPARGC1A
ARHGAP5	ITGA5
PLCG2	FYN
CEP170	DISC1
RPS3	RPL23A
CCNH	GTF2H4
SEPT2	EEF1A1
FBXO5	BTRC
ACTB	FLII
PSMD12	PSMC3
GEMIN5	SNRPB
SMAD3	GLI3
RPL31	TCEAL9
IFIT5	CDC37
RAP1B	RASSF5
BRD8	DMAP1
BMP4	TWSG1
RPRM	CUL1
CRCP	POLR3A
HSPG2	ATF7IP
CD44	CD74
PLEKHA5	ARHGEF9
TALDO1	TKT
UBE2D2	UHRF2
PRMT1	SSSCA1
HCRTR2	HCRT
EBI3	IL27RA
HDAC4	SUMO1
PPP1CB	PPP1R8
SYNCRIP	HABP4
RBBP6	VAV2
DDX39B	SREK1
P4HB	COL1A2
GPC4	COL18A1
SF3B1	MYC
RAB5A	RASA1
PSD	GLRA2
CTNND2	CDH2
WRAP73	MYO1C
CPSF3	CLP1
FDFT1	SMNDC1
RMND5B	UBE2E1
MAGEA6	EIF4G2
PCGF6	UBE2U
PRKCQ	YWHAG
IKBKG	IPO9
ACLY	PRKAB1
DUSP19	MAP2K7
PRKAB2	PRKAB1
ELP6	MLH1
LGALS3BP	TBK1
FBXO32	MLH1
LMNA	NUP153
TGM2	RHOA
WRN	POLR1C
TLN1	EGFR
CD55	LCK
TUBB	TTK
PAK2	YES1
PRPSAP1	PSPH
TOB1	MAPK1
PZP	MMP2
PPP5C	CDC16
PEX2	PEX19
DCN	COL4A6
RPS12	RPL18A
RSPRY1	UBE2D3
NPM1	USF2
SMC1A	CASP4
MYCBP2	SFN
RNF138	SMAD1
ARIH2	UBE2R2
WDR92	RPAP3
AIFM1	MLH1
KANSL1	CDC5L
PRKAA1	CPE
NCK2	WIPF2
SLC25A5	TNFRSF1A
BZW1	DCTN1
RAB40C	TCEB1
PSMD12	PSMD14
UBE2I	CBLC
ASB6	CUL5
EIF3F	EIF3H
DCAF8	DDB1
SMARCC1	SMARCD3
CEBPD	BATF3
SMAD2	ZNF8
OSGEP	RAB5C
NUPL2	APC
CHFR	UBE2N
SIAH1	SYP
ANXA1	DLG3
IHH	PTCH1
MYC	SMARCB1
MAP3K7	TUBA3C
SERPINB2	IRF3
CD81	MYOC
NOS3	MPRIP
MLH1	RAPGEFL1
SGK1	PIGR
BCL6	ZBTB17
HNRNPM	RELA
GABARAPL2	IPO5
PHB2	SERINC3
CLNK	EGFR
SPOP	DAXX
NCOR2	E2F1
MAPK8	AIMP1
KBTBD7	GABARAPL2
EEF1A1	MYOC
RPS23	RPS15
OXSR1	WNK1
RGS2	EIF3E
G6PC	FOXO1
FKBP8	PPP3CA
MYL6	MLH1
LIN7C	CASK
TUBA1B	TUBB2A
IGF1R	GNAI2
ATN1	CASP8
PSMD7	PSMD14
TFE3	CUL2
NOXA1	MAPK1
RIPK1	TICAM1
FUS	SF3A2
KCNA5	KCNA2
RALA	FLNA
DLL4	NOTCH4
CDK3	CABLES2
NCAPH	CAPG
ACTR2	HCLS1
USF1	KAT2B
MAP3K1	HSPA9
HIST2H2BE	NAP1L4
CDC42	WASF1
CD247	SLA
KPNA2	CDKN1B
SSPO	ATN1
UBE2E1	TRIM39
SAG	ADRA1B
SDC1	MDK
OPRK1	GABARAPL1
KPNB1	RUNX1T1
RIMS1	RAB26
SLIT1	GPC1
PCGF3	CBX7
SEPT4	SNCB
WRAP73	COPS3
SRC	DOK1
MYH10	MAP3K3
SUGT1	S100P
CFTR	SLC4A7
SMAD3	IL37
CLEC4M	ITGAM
NAGS	TMEM39B
ASIP	MC4R
PSMB1	PSMA1
TOM1	EEA1
HOXA9	PBX1
RAB6B	KIF20A
TRAF2	HSP90AB1
MAP3K14	TUBB4A
IKBKG	RPS16
PABPC1	PUF60
KRT18	PKP3
DYNLL1	DYNC1I2
APC	NCKAP5L
ADRB2	ARRB2
PDIA3	IFNG
PSMB6	PSMA2
EIF3H	EIF3E
HARS	TARS
SRA1	HDAC2
SERPINC1	SDC2
AGO2	IPO8
TYK2	JAK3
PSMA2	PSMC2
PPP6R2	PPP6C
MAF	JUN
MAP3K1	TUBB2B
UBE2Z	RNF41
YWHAQ	SH3BP4
CBX2	RNF2
PSMD4	IDH3A
SFN	SORBS2
GNAI3	MAP3K3
TGFB1	LTBP4
NCOR2	PGR
AMOT	NF2
ARG2	ARG1
PPIB	TMBIM4
MAP3K14	RPL10
PLD1	ACTB
ARRB2	TRAF6
F2	THBS1
MCM3	POLR2A
CD9	SDC1
F7	IKBKG
ILK	MMS19
RBM8A	NXF1
TSC1	MAPK14
MUC1	GALNT1
HSPA4	PHLDA1
GBF1	TNFRSF1B
FAF2	SEL1L
CCND1	NPDC1
RABGEF1	EEA1
SNAI1	TTC25
CSNK2A1	NFKBIB
PABPC1	EIF4A2
AIFM1	TRADD
FOXRED2	DNAJC10
IFIT5	A2M
AGTR1	MAPK1
DLEU1	TLE1
MAP3K5	AKT2
PSMB3	PSMC2
GADD45B	MAP2K7
GAB2	EPOR
HNF1A	SNRPA1
F2R	GNA15
DCUN1D4	VAV2
RPA1	TOP3A
PPM1A	LXN
RPS6KB2	COASY
WAS	ARHGAP1
IQGAP2	UBAC1
FASLG	SAMSN1
ERP44	CD40
CUL1	UBE2M
CD7	PI4KA
CBX7	PCGF2
HOOK1	VPS16
GSK3B	DNM1L
RPL8	RPLP0
UBE2U	PCGF2
MMP9	COL4A2
