SUPT3H	TRRAP
SH3GLB1	ADAM15
ADD2	FYN
APLF	XRCC1
TSNAX	TSNAXIP1
FKBP10	ELN
EIF2S2	EIF2B4
ERBB4	ANKS1A
PDGFRA	CBL
TCP1	RELA
SRSF2	GEMIN2
EIF3C	EIF3B
YWHAQ	KIF5C
MYH9	RIPK2
BMPR1B	TNNT1
MUL1	UBE2D3
SRC	SRCIN1
SLC2A4	ARF3
PSMB6	PSMC2
ZNF76	TBP
MDM2	JUN
FASLG	BTK
RPL4	RPL10
TUBB2A	RPLP1
HIRIP3	HIST3H3
CDC20	KRT33A
XPNPEP3	TNFRSF1B
SLC25A22	CASP4
MCAM	PTK2B
FOS	NELFB
PAK2	ABI1
RPL37A	MAP3K1
KNG1	THBS1
CORO1C	MAP3K3
SOCS3	MAP1S
ERBB2	RIN1
HOXC11	CD2AP
UBE2W	RNF14
NCOA3	BMP6
SIAH1	SEPT4
NUAK1	S100A9
UBE2W	RNF166
RPS5	RPL12
HLA-DPA1	CD4
NFE2L1	JUND
ACKR4	CCL11
GET4	PTMS
ITCH	POLR2B
TUBB	MDM2
TAF7	TAF5
MAGED1	NGFR
BMPR1B	IRF7
PRKCB	YWHAG
SSSCA1	CCT7
MRPL3	MRPS9
CEP78	SH3BP4
STK4	STK3
SIVA1	BCL2L1
BRCA1	PPP1CB
RPL19	RPL27A
STAT1	TGFBR1
NR5A2	CTNNB1
WAS	SNX9
SPARC	PLAT
RPS10	NFKB2
INSR	ARF1
HSPA8	ARRB2
IQGAP1	STAU1
PIGU	GPAA1
UBE2E3	ARID3A
DDX3X	DDX58
RNF10	UBE2I
TUBB	YWHAG
PSMB1	CASP4
RGS12	CXCR2
TNF	CSF1
DDX5	HDAC1
ALX4	ALX1
TPPP	SNCA
SUGT1	S100A6
SUPT3H	TADA2A
OSTF1	FASLG
ASF1B	PSPH
LIN7C	KCNJ12
UBE2D1	RNF2
AKAP8L	MAGED1
EIF1B	PCMT1
MNAT1	GTF2H3
MAP3K5	JAK2
NEDD4	DHX30
KEAP1	SQSTM1
S100A7	MAP3K3
BBS9	BBS2
PAK1	YWHAG
KCNH2	BAG2
NPLOC4	RAD23B
XIAP	UBE2D2
XPO4	PHLDA3
RFC1	CEBPA
C20orf24	AIFM1
PABPC1	PINX1
IGFBP3	KLKB1
STK24	MCC
TP53BP1	USP28
IKBKG	RPS5
TFIP11	DISC1
MYC	PRDX1
CABIN1	SH3GL2
AP1M1	KIF13A
PKD1	ATF7IP
PSEN1	STX5
ACOT13	RBBP6
PRUNE1	GSK3B
GIGYF2	SNRPB
HSPA5	PSMD1
GRB7	RET
SHMT1	CARS
ERC2	RIMS1
AKAP17A	EIF4A2
GNAI2	NCF2
FXR2	NME1
BHMT	BBS1
SGCA	SGCD
MAP3K5	DMD
RAB8B	TUBB
TAF5	TAF11
HAT1	HIST1H3A
PPP1R7	PPP1CC
DNAJB1	PLEKHO1
CUL1	PPAN
PLSCR1	EGFR
PARD3	TIAM1
SNRPF	CD2BP2
TRIM35	SMAD4
GGA2	LRP3
XRCC6	GZMB
LCP2	LAT
CAPZA1	TWF2
HDAC1	MXD1
ADCY1	ADCY2
XPOT	MAP3K3
PRPSAP1	YWHAE
IL2	SHC1
CSNK1A1	MDM2
RELB	CLTC
COL3A1	MYOC
IL18	IL1RL2
RPS16	RPS3
PIN1	SREK1
UBOX5	UBE2D4
AR	RELA
HRNR	PINX1
TUBB	TAB2
IDH3G	IDH3A
ETS1	ARID4B
APPL1	RAB21
TXNDC17	OXT
ILK	PUF60
RALA	PPP2R1B
GPRASP1	TFG
PRAM1	MAST1
PFN1	TLE1
S1PR2	GNA13
PSMB1	PSMC2
EIF1B	YARS
