HGNC ID	Approved Symbol	Status	Previous Symbols	Entrez Gene ID	RefSeq IDs
HGNC:40741	NAV2-AS4	Approved	-	399876.0	-
HGNC:40740	NAV2-AS5	Approved	-	100874012.0	-
HGNC:41416	NAV2-IT1	Approved	-	-	-
HGNC:15998	NAV3	Approved	-	89795.0	NM_001024383
HGNC:25576	NAXD	Approved	CARKD	55739.0	NM_018210
HGNC:18453	NAXE	Approved	APOA1BP	128240.0	NM_144772
HGNC:15625	NBAS	Approved	-	51594.0	NM_015909
HGNC:49075	NBAT1	Approved	CASC14	729177.0	NR_034143
HGNC:7648	NBEA	Approved	-	26960.0	NM_015678
HGNC:20681	NBEAL1	Approved	ALS2CR17, ALS2CR16	65065.0	NM_001114132
HGNC:31928	NBEAL2	Approved	-	23218.0	NM_015175
HGNC:1007	NBEAP1	Approved	BCL8	606.0	NR_027992
HGNC:40003	NBEAP2	Approved	-	100418881.0	NG_023729
HGNC:40004	NBEAP3	Approved	-	100418905.0	NG_027403
HGNC:40009	NBEAP4	Approved	-	100418897.0	NG_025284
HGNC:40010	NBEAP5	Approved	-	100418903.0	-
HGNC:40011	NBEAP6	Approved	-	100418904.0	NG_027320
HGNC:7650	NBL1	Approved	-	4681.0	NM_005380
HGNC:7652	NBN	Approved	NBS, NBS1	4683.0	NM_001024688
HGNC:26088	NBPF1	Approved	-	55672.0	NM_017940
HGNC:31987	NBPF2P	Approved	-	343381.0	-
HGNC:25076	NBPF3	Approved	-	84224.0	NM_032264
HGNC:26550	NBPF4	Approved	-	148545.0	NM_152488
HGNC:24491	NBPF5P	Approved	NBPF5	100507044.0	NG_028895
HGNC:31988	NBPF6	Approved	-	653149.0	XM_926213
HGNC:31989	NBPF7	Approved	-	343505.0	XM_291607
HGNC:31990	NBPF8	Approved	NBPF8P	728841.0	-
HGNC:31991	NBPF9	Approved	-	400818.0	NM_001037675
HGNC:31992	NBPF10	Approved	-	100132406.0	NM_001039703
HGNC:31993	NBPF11	Approved	NBPF24	200030.0	NM_183372
HGNC:24297	NBPF12	Approved	KIAA1245	149013.0	XM_003119146
HGNC:31995	NBPF13P	Approved	-	644861.0	-
HGNC:25232	NBPF14	Approved	-	25832.0	NM_015383
HGNC:28791	NBPF15	Approved	NBPF16	284565.0	NM_173638
HGNC:31997	NBPF17P	Approved	NBPF23P, NBPF23	401967.0	-
HGNC:31998	NBPF18P	Approved	-	441908.0	-
HGNC:31999	NBPF19	Approved	-	101060226.0	-
HGNC:32000	NBPF20	Approved	-	100288142.0	-
HGNC:32001	NBPF21P	Approved	-	205655.0	XM_497917
HGNC:28731	NBPF22P	Approved	-	285622.0	XM_208333
HGNC:45046	NBPF25P	Approved	-	101929780.0	-
HGNC:49571	NBPF26	Approved	-	101060684.0	-
HGNC:6746	NBR1	Approved	M17S2	4077.0	NM_005899
HGNC:20691	NBR2	Approved	-	10230.0	NR_003108
HGNC:7655	NCALD	Approved	-	83988.0	-
HGNC:7656	NCAM1	Approved	-	4684.0	NM_000615
HGNC:48675	NCAM1-AS1	Approved	-	100288346.0	-
HGNC:7657	NCAM2	Approved	-	4685.0	NM_004540
HGNC:2465	NCAN	Approved	CSPG3	1463.0	NM_004386
HGNC:24305	NCAPD2	Approved	-	9918.0	NM_014865
HGNC:43831	NCAPD2P1	Approved	-	100421175.0	NG_026451
HGNC:28952	NCAPD3	Approved	-	23310.0	NM_015261
HGNC:24304	NCAPG	Approved	-	64151.0	NM_022346
HGNC:21904	NCAPG2	Approved	LUZP5	54892.0	NM_017760
HGNC:51904	NCAPGP1	Approved	-	100421096.0	-
HGNC:51905	NCAPGP2	Approved	-	100421148.0	-
HGNC:1112	NCAPH	Approved	BRRN1	23397.0	NM_015341
HGNC:25071	NCAPH2	Approved	-	29781.0	NM_152299
HGNC:7658	NCBP1	Approved	NCBP	4686.0	NM_002486
HGNC:7659	NCBP2	Approved	-	22916.0	NM_007362
HGNC:40392	NCBP2-AS1	Approved	-	-	-
