rank	cluster	candidates
245	59	TRMT11,FAM122B,SUPT6H,ZBTB2,WDR48,ZNF639,USP12,TARBP1,SHQ1,GPN3,UNC13B,POLR2I
246	4	ASB16,KIFC2,WDR61,TDRD1,LRRC3,OSBPL5,AKAP6,HCN2,ISG20L2,POLR1B,TULP4,EFS,GCFC2,CDC27,TMEM74B,NFASC,MYO1C,CD300LB,ABL2,CSDC2,SNX12,NPVF,PHACTR2,CELSR3,IL3RA,CHRD,MAP4K1,MAP4K5,EPS15,PRICKLE3,PPFIA3,BRPF3,APOL5,GLTSCR1,DUSP15,GPR45,PCDHA7,ARHGAP33,CKAP5
247	47	PHPT1,SMARCC2,VPS37D,VRK3,SH2D3A,NT5DC2,DCTN2,ARRDC1,MVB12A
248	8	SOAT2,SH3YL1,ANXA10,OR10G3,ZCCHC14,PAIP2,LAP3,WBSCR28,TMEM252,GLRX2,NAP1L5,EDC3,RAB2B,OVOL2,CDK17,S100G,DNAJB4,S100A14,CCDC186,DNAJB3,NR2C2AP,ANKRD39,YTHDF1,TMEM207,GCM1,NANP,IL36B,OR5T1,TMEM174,TRIAP1,ALDH3B1,DPCD,RTFDC1,LYZL4,SSH2,PGM2,MACROD1,URB2,ST6GALNAC4,MDP1,SPIN1,OR8D4,OR8H2,SLC35E3,ATG4B,SNN,AAMDC,PCP2,GPR119,EIF4EBP2,NETO1,OR2T35,DOHH,CMTM1,STARD7
249	44	KRT38,PPP1R3D,SHTN1,KMT5B,KRT82,PFKFB2,KRT35,KRT34,MAPKAP1,LRFN1,KRTAP19-5,YWHAG
250	40	OMA1,TBRG1,CNTNAP5,ZNF721,ZNF510,IRGQ,LTBP1,IGSF22,ING4,TXNDC11,FRAT1,DNAJC18
251	32	ERMN,AHCTF1,RPL41,NEURL2,ZBTB33,RBM39,TCF7,BCCIP,USP33,PRPF38B,VEZT
252	43	TOM1,HGH1,BST2,HGS,CSNK1G1,ILKAP,BRINP3,DNAJC2,UBA52
253	38	UBFD1,CAPN6,NPEPPS,P2RY2,TKFC,SLC22A11,ARHGAP17,CSE1L
254	16	MED21,MED20,ICE1,MED6,MED7,GTF2A2,MED9,MLLT1,MED10,MED11,MED13,MED18,ELL2,CTDSP2,MED31,IWS1,POLR2D,POLR2G,POLR2F,POLR2A,POLR2B,POLR2L,POLR2H,POLR2K,USPL1,MED26,CDK8
255	3	ELOF1,ISL2,GSTA3,ANP32D,GGPS1,CAMLG,CCDC94,CYP4F11,CGREF1,FOXF2,DMTF1,METTL7B,IFITM2,ABLIM2,ABHD2,RAB40A,UBE4B,H2AFV,C22orf46,PID1,CD1E,DIRAS3,C1orf21,MIIP,CHD1,COPZ2,EPHB1,MLLT11,KRTAP12-1,HLX,ITM2C,LINC01587,EMC2,EFCAB6,CLK4,ALKBH1,HTN3,CRYGA,CITED4,ASH1L,ART4,LPAR3,ARL4A,COLGALT2,CAMK1G,CDH16,CLPS,MYADM,BCL9L,LRRC29,DYDC2,ANKRD7,DDX10,CPNE6,C1GALT1,TTLL3,BCL2L14,SLN,KDM3A,C1QTNF2,FUT1
256	31	EDF1,WBSCR22,RBM6,AMY2B,FAM50A,ATRNL1,METTL16,ZMYM6,TRO,MARK3,CABP1,ANP32E,RRP12,NPIPA1
257	29	CWC25,LAS1L,PIM3,GNL2,NUFIP1,CYP51A1,MGEA5,ZNF766,ERICH3,NUDT9,ZBTB1,ZNHIT6,NOMO2,TCEAL3,C1orf52,TMEM87A,FAM171A1,RPS6KC1,BAIAP2,ZNF133
258	26	CASP8AP2,GPBP1,MMP23B,MAP9,HIST1H2AA,U2AF2,CLOCK,HIST1H2BA,TP53BP2,HIST2H2AB,TCL1A,IFNA7,L3MBTL1,BCL3
