Gene	Count
MED6	13
MED7	1
GTF2A2	1
MED9	0
MLLT1	43
MED10	0
MED11	0
MED13	10
MED18	0
ELL2	10
CTDSP2	5
MED31	4
IWS1	6
POLR2D	1
POLR2G	2
POLR2F	5
POLR2A	32
POLR2B	2
POLR2L	1
POLR2H	0
POLR2K	4
USPL1	1
MED26	4
CDK8	95
ELOF1	0
ISL2	1
GSTA3	10
ANP32D	1
GGPS1	4
CAMLG	6
CCDC94	1
CYP4F11	3
CGREF1	2
FOXF2	20
DMTF1	24
METTL7B	0
IFITM2	17
ABLIM2	2
ABHD2	7
RAB40A	1
UBE4B	21
H2AFV	4
C22orf46	0
PID1	3
CD1E	5
DIRAS3	85
C1orf21	0
MIIP	8
CHD1	58
COPZ2	2
EPHB1	42
MLLT11	22
KRTAP12-1	0
HLX	18
ITM2C	3
LINC01587	0
EMC2	0
EFCAB6	2
CLK4	7
ALKBH1	14
HTN3	0
CRYGA	0
CITED4	9
ASH1L	28
ART4	6
LPAR3	25
ARL4A	2
COLGALT2	0
CAMK1G	2
CDH16	18
CLPS	40
MYADM	5
BCL9L	24
LRRC29	1
DYDC2	0
ANKRD7	0
DDX10	20
CPNE6	0
C1GALT1	16
TTLL3	1
BCL2L14	17
SLN	3160
KDM3A	44
C1QTNF2	0
FUT1	41
EDF1	5
WBSCR22	6
RBM6	10
AMY2B	6
FAM50A	3
ATRNL1	1
METTL16	0
ZMYM6	1
TRO	74
MARK3	16
CABP1	3
ANP32E	14
RRP12	3
NPIPA1	0
CWC25	0
LAS1L	2
PIM3	58
GNL2	2
NUFIP1	5
CYP51A1	18
MGEA5	24
ZNF766	0
ERICH3	0
NUDT9	2
ZBTB1	2
ZNHIT6	0
NOMO2	1
TCEAL3	0
C1orf52	0
TMEM87A	0
FAM171A1	0
RPS6KC1	2
BAIAP2	12
ZNF133	5
CASP8AP2	31
GPBP1	0
MMP23B	2
MAP9	3
HIST1H2AA	0
U2AF2	11
CLOCK	1144
HIST1H2BA	2
TP53BP2	85
HIST2H2AB	0
TCL1A	155
IFNA7	1
L3MBTL1	18
BCL3	98
H2AFY2	4
UFC1	9
PPIL3	4
ZNF8	0
CBX5	11
ZFYVE19	3
AHCYL1	4
ZNF620	0
ZFP1	0
ZNF585A	0
ZNF585B	0
ZNF552	0
ZNF649	0
BCL7A	17
ZNF324	0
ZNF45	0
ZNF689	1
ZNF227	0
ORC3	1
ZNF324B	0
VPS4B	14
ZFP82	2
ZNF518A	1
UNK	20
USP34	5
SSSCA1	0
ADNP2	4
ZNF264	1
ZNF460	0
SRXN1	23
HIST3H2A	0
CCDC97	0
EVI5L	0
DBF4B	0
MPP3	8
TRUB1	0
NCBP3	0
DNAJB7	0
SNRNP35	0
ADAP1	5
SDR42E1	0
FOXN3	21
ATAT1	5
MTRF1	0
HMCES	0
MCOLN3	0
TDP2	36
NPM2	8
LRRN4CL	0
TAF7L	5
TRIM41	3
RPL39L	7
ADGRG5	0
C4orf46	1
STON1	1
ZBTB48	1
OR5A1	0
DDIAS	7
UBE2J1	2
MSH4	34
UBXN10	0
HIP1R	8
RPL22L1	3
GNL1	1
THSD7A	1
NMD3	3
HAUS1	3
HSD17B8	2
HSBP1	10
GPS2	19
ZNF80	4
CDC42EP1	3
HOOK1	6
EVX1	17
NCAPD2	4
WDR43	2
OR1E2	0
CCDC7	3
EDEM1	9
SERPINB1	18
ALDOC	8
HS1BP3	0
USP53	0
