"SUID","__APCluster","name","PRWP","score","selected","shared name"
"7674","1","ZBTB17","2.0929171549380665E226","0.122638473850682","false","ZBTB17"
"7678","289","TMEM230","7.917815799752702E222",,"false","TMEM230"
"7679","289","TMEM9","7.917815799752702E222",,"false","TMEM9"
"7682","23","ATP2A1","2.6167693531570435E224","0.482714418720803","false","ATP2A1"
"7685","127","CXCL13","3.9804656972770277E223",,"false","CXCL13"
"7687","1","GAL","2.0929171549380665E226","0.12","false","GAL"
"7688","29","GALR2","1.6680488980593221E224",,"false","GALR2"
"7690","2","SRSF5","9.072601897712698E224","0.12","false","SRSF5"
"7692","1","GAB3","2.0929171549380665E226","0.122367031978602","false","GAB3"
"7695","275","AP3S1","2.394544887163845E223",,"false","AP3S1"
"7699","45","OCLN","7.956216094228771E223","0.480542883744161","false","OCLN"
"7706","373","POP7","7.917815799752702E222",,"false","POP7"
"7707","373","RPP38","7.917815799752702E222","0.12","false","RPP38"
"7709","1","CUTA","2.0929171549380665E226",,"false","CUTA"
"7714","123","TBXA2R","1.057251762818109E224","0.36","false","TBXA2R"
"7716","1","TNK2","2.0929171549380665E226","0.12","false","TNK2"
"7717","1","CSPG4","2.0929171549380665E226",,"false","CSPG4"
"7720","1","EXOC3","2.0929171549380665E226","0.12","false","EXOC3"
"7722","5","UCHL5","3.83226726028144E224",,"false","UCHL5"
"7724","201","FAT1","7.655679628713837E223","0.12","false","FAT1"
"7726","112","USP54","9.551527583717576E223",,"false","USP54"
"7728","1","ZER1","2.0929171549380665E226",,"false","ZER1"
"7731","5","IK","3.83226726028144E224",,"false","IK"
"7733","116","TFDP1","5.282125911074256E223","0.12","false","TFDP1"
"7735","1","PALB2","2.0929171549380665E226","0.12","false","PALB2"
"7737","1","GSPT1","2.0929171549380665E226",,"false","GSPT1"
"7740","1","DNMT3A","2.0929171549380665E226","0.24","false","DNMT3A"
"7742","1","APOB","2.0929171549380665E226","0.256286512324818","false","APOB"
"7743","43","LDLR","1.3390431060242612E224","0.148327100741452","false","LDLR"
"7747","1","NR1H4","2.0929171549380665E226","0.201357209360402","false","NR1H4"
"7752","27","ARHGAP4","1.1878514721915278E224","0.12","false","ARHGAP4"
"7755","23","TUFM","2.6167693531570435E224","0.48","false","TUFM"
"7760","2","APOF","9.072601897712698E224",,"false","APOF"
"7762","1","RPL7L1","2.0929171549380665E226",,"false","RPL7L1"
"7765","1","MFAP5","2.0929171549380665E226","0.12","false","MFAP5"
"7768","124","BPIFB3","7.126034219777431E223",,"false","BPIFB3"
"7770","1","THOC1","2.0929171549380665E226",,"false","THOC1"
"7773","1","STAG2","2.0929171549380665E226","0.12","false","STAG2"
"7775","1","TXNL4B","2.0929171549380665E226",,"false","TXNL4B"
"7777","1","KLHL26","2.0929171549380665E226",,"false","KLHL26"
"7781","1","MTNR1B","2.0929171549380665E226","0.122909915722763","false","MTNR1B"
"7785","404","NFATC1","8.510819053186136E222",,"false","NFATC1"
"7787","232","OGDH","7.142153420353472E223","0.24","false","OGDH"
"7791","24","RPS7","2.91576249456596E224","0.24","false","RPS7"
"7793","1","SHPRH","2.0929171549380665E226",,"false","SHPRH"
"7799","13","ARHGAP32","4.514873988401246E224",,"false","ARHGAP32"
"7801","295","LSM7","2.377135762212035E223",,"false","LSM7"
"7807","1","KCNC1","2.0929171549380665E226","0.24","false","KCNC1"
"7809","154","ACHE","4.488553308812756E223","0.12","false","ACHE"
"7812","2","GORASP1","9.072601897712698E224",,"false","GORASP1"
"7814","1","TGIF2","2.0929171549380665E226",,"false","TGIF2"
"7816","4","NMT1","4.451498415465275E224",,"false","NMT1"
"7817","1","CABP2","2.0929171549380665E226",,"false","CABP2"
"7823","116","SLC9A3R2","5.282125911074256E223","0.2","false","SLC9A3R2"
"7825","46","REEP5","6.353452787040198E223",,"false","REEP5"
"7832","1","RAB11A","2.0929171549380665E226","0.12","false","RAB11A"
"7834","1","DPCD","2.0929171549380665E226",,"false","DPCD"
"7836","2","MARCKS","9.072601897712698E224","0.12","false","MARCKS"
"7838","1","BEX3","2.0929171549380665E226",,"false","BEX3"
"7840","1","TFEC","2.0929171549380665E226","0.12","false","TFEC"
"7841","1","TFEB","2.0929171549380665E226","0.12","false","TFEB"
"7843","134","GRM5","5.612674187510531E223","0.243181357594843","false","GRM5"
"7847","1","MAGI2","2.0929171549380665E226","0.12","false","MAGI2"
"7849","1","NPDC1","2.0929171549380665E226",,"false","NPDC1"
"7852","13","KLC2","4.514873988401246E224",,"false","KLC2"
"7857","128","SEH1L","2.3753447399258106E223",,"false","SEH1L"
"7860","1","SLX4IP","2.0929171549380665E226",,"false","SLX4IP"
"7864","150","TKT","6.385190090281816E223","0.121357209360402","false","TKT"
"7868","539","EYA1","2.3753447399258106E223","0.12","false","EYA1"
"7869","539","SIX3","2.3753447399258106E223","0.24","false","SIX3"
"7874","1","CLNK","2.0929171549380665E226","0.12","false","CLNK"
"7876","582","CDC25A","0.0",,"false","CDC25A"
"7879","8","ZNF148","5.224046475532716E224",,"false","ZNF148"
"7882","24","CSNK1D","2.91576249456596E224","0.24","false","CSNK1D"
"7886","368","PASK","2.3753447399258106E223","0.12","false","PASK"
"7889","1","WNT1","2.0929171549380665E226","0.24","false","WNT1"
"7890","6","LRP6","5.247956312374522E224","0.36","false","LRP6"
"7893","178","KIAA1107","2.4472477512387014E223",,"false","KIAA1107"
"7897","1","MAP1LC3C","2.0929171549380665E226",,"false","MAP1LC3C"
"7900","3","IGHG1","8.348944492574958E224","0.12","false","IGHG1"
"7906","2","PTPMT1","9.072601897712698E224",,"false","PTPMT1"
"7911","3","SYT1","8.348944492574958E224",,"false","SYT1"
"7915","1","HESX1","2.0929171549380665E226","0.12027144187208","false","HESX1"
"7918","4","CPSF6","4.451498415465275E224","0.12","false","CPSF6"
"7920","10","TOMM20","4.135447237560737E224",,"false","TOMM20"
"7922","170","RRAD","5.298310641616246E223","0.12","false","RRAD"
"7926","20","RBM5","2.0522470504721107E224",,"false","RBM5"
"7928","132","RPS6KB1","6.341416728947067E223","0.12","false","RPS6KB1"
"7930","3","XPO7","8.348944492574958E224",,"false","XPO7"
"7936","185","PHYH","3.1689173421873056E223","0.12","false","PHYH"
"7941","1","CREBZF","2.0929171549380665E226",,"false","CREBZF"
