name	__APCluster	PRWP
ALG2	400	1.62196345443e+223
CKB	1	2.09291715494e+226
CKM	1	2.09291715494e+226
NCK2	1	2.09291715494e+226
EIF6	82	3.17070836447e+223
ARF6	108	7.91781579975e+223
ARRB1	668	0.0
PPM1B	1	2.09291715494e+226
RAB7A	3	8.34894449257e+224
PPP2R1B	14	3.39124887067e+224
RLIM	18	3.45815948759e+224
ITGA4	44	1.27001199053e+224
PIAS1	10	4.13544723756e+224
CNOT4	8	5.22404647553e+224
CCNY	1	2.09291715494e+226
YWHAG	667	0.0
RPS5	3	8.34894449257e+224
S100A11	199	4.11332899629e+223
CLIC3	472	7.91781579975e+222
GTF2F1	19	3.11878227139e+224
CTDSP1	1	2.09291715494e+226
RMND5B	39	8.09539795519e+223
CCDC88A	1	2.09291715494e+226
PRKACA	6	5.24795631237e+224
SUMO1	666	1.58356315995e+223
MPP2	1	2.09291715494e+226
ERBIN	31	1.27169939413e+224
HIST2H2BE	1	2.09291715494e+226
HSPD1	2	9.07260189771e+224
STK24	1	2.09291715494e+226
HNRNPH3	2	9.07260189771e+224
PDGFB	235	6.86210702645e+223
MPP6	1	2.09291715494e+226
SNX9	1	2.09291715494e+226
FPR1	195	6.07390749105e+223
OSBPL3	13	4.5148739884e+224
MPG	8	5.22404647553e+224
GIT1	1	2.09291715494e+226
KIF1A	1	2.09291715494e+226
STAMBP	164	6.33962570666e+223
AMN	1	2.09291715494e+226
PPP1CB	1	2.09291715494e+226
BCL2	1	2.09291715494e+226
GADD45G	1	2.09291715494e+226
PPARG	1	2.09291715494e+226
CCND1	665	8.25811003414e+222
FLNA	162	7.06080258211e+223
GRM8	162	7.06080258211e+223
SAE1	1	2.09291715494e+226
FKBP4	37	8.25137949289e+223
URI1	14	3.39124887067e+224
GTF2F2	64	3.95890789988e+223
CREB5	107	5.54426208211e+223
CREB3	1	2.09291715494e+226
TRIP6	30	1.21616420625e+224
SON	30	1.21616420625e+224
FBXW7	1	2.09291715494e+226
NOTCH4	1	2.09291715494e+226
RNF111	18	3.45815948759e+224
AXIN1	19	3.11878227139e+224
TAC4	256	3.69856275112e+223
TACR1	256	3.69856275112e+223
OS9	59	7.94905200508e+223
NEK2	1	2.09291715494e+226
CDC27	98	3.17070836447e+223
EIF2AK4	1	2.09291715494e+226
KIF3C	1	2.09291715494e+226
CDC5L	5	3.83226726028e+224
ITGB1	664	8.09757332803e+222
ACTN4	17	5.28956109109e+224
SLC25A1	23	2.61676935316e+224
BAIAP2	5	3.83226726028e+224
SHANK2	1	2.09291715494e+226
VCL	109	1.03056976957e+224
DIS3L2	109	1.03056976957e+224
NCOA2	1	2.09291715494e+226
CCND3	2	9.07260189771e+224
CALCOCO2	15	3.67732043963e+224
PSMD12	142	2.37534473993e+223
MS4A2	83	8.74083358506e+223
FCER1A	544	8.1154835509e+222
GET4	185	3.16891734219e+223
ASNA1	9	4.44662165937e+224
ELOF1	11	3.80887572204e+224
CHMP6	257	0.0
RHOG	1	2.09291715494e+226
VAV2	663	8.09190704927e+222
SYNJ2BP	1	2.09291715494e+226
CYP2C8	1	2.09291715494e+226
APOE	1	2.09291715494e+226
NCKAP5	12	5.54907675057e+224
NCK1	102	3.16891734219e+223
CORT	1	2.09291715494e+226
MRGPRX2	1	2.09291715494e+226
PSMB3	662	0.0
RNF26	39	8.09539795519e+223
GEMIN4	6	5.24795631237e+224
NFKBIA	1	2.09291715494e+226
RPS6KA1	1	2.09291715494e+226
RPS10	3	8.34894449257e+224
VEGFA	1	2.09291715494e+226
SEMA3F	227	4.75248050214e+223
MXD1	1	2.09291715494e+226
PREX2	1	2.09291715494e+226
SMN1	56	3.97452600254e+223
POLR2A	62	7.13140728664e+223
SMAD2	19	3.11878227139e+224
GLI3	1	2.09291715494e+226
TSR1	32	6.33783468437e+223
RBM10	4	4.45149841547e+224
COL12A1	75	1.11435447572e+224
MYH9	14	3.39124887067e+224
MAP3K3	14	3.39124887067e+224
NEDD8	39	8.09539795519e+223
SRSF10	4	4.45149841547e+224
DAZAP1	1	2.09291715494e+226
HRAS	265	3.1671263199e+223
LRRC7	215	4.60138771285e+223
CAMK2G	1	2.09291715494e+226
ATXN2	1	2.09291715494e+226
EZR	24	2.91576249457e+224
RAC2	1	2.09291715494e+226
FASN	14	3.39124887067e+224
RPS9	27	1.18785147219e+224
BIN1	290	1.61765811335e+223
MAP4K3	28	7.17810492601e+223
TELO2	9	4.44662165937e+224
MYD88	24	2.91576249457e+224
CUL1	661	7.91781579975e+222
AP3B1	1	2.09291715494e+226
SLC30A3	1	2.09291715494e+226
CDK1	104	5.55142617126e+223
PIN1	22	2.88729287814e+224
IGFBP5	1	2.09291715494e+226
SERPINE1	135	6.46498048724e+223
UGGT1	281	7.93572602261e+222
WISP1	281	7.93572602261e+222
MYOD1	11	3.80887572204e+224
CIB2	11	3.80887572204e+224
NCKIPSD	1	2.09291715494e+226
RNF166	18	3.45815948759e+224
KPNB1	15	3.67732043963e+224
IPO5	33	7.92856193347e+223
HABP2	154	4.48855330881e+223
COL4A4	44	1.27001199053e+224
SNTG2	1	2.09291715494e+226
SCN5A	46	6.35345278704e+223
HYOU1	1	2.09291715494e+226
CDAN1	222	3.96965403359e+223
ASF1B	222	3.96965403359e+223
TOM1L1	14	3.39124887067e+224
CLTC	660	7.91781579975e+222
RPS8	27	1.18785147219e+224
RPL12	1	2.09291715494e+226
TUBA1A	659	3.1671263199e+223
CNP	1	2.09291715494e+226
PTPN13	12	5.54907675057e+224
PLEKHA1	37	8.25137949289e+223
TMEM62	1	2.09291715494e+226
APEH	1	2.09291715494e+226
NKX3-1	19	3.11878227139e+224
TOP1	19	3.11878227139e+224
PRIM2	11	3.80887572204e+224
PRIM1	1	2.09291715494e+226
TRAF6	15	3.67732043963e+224
TRAF5	15	3.67732043963e+224
MMP9	270	3.26039053872e+223
BTC	1	2.09291715494e+226
EWSR1	658	8.40139181703e+222
SMNDC1	20	2.05224705047e+224
PF4	127	3.98046569728e+223
FGF2	127	3.98046569728e+223
ATP5A1	14	3.39124887067e+224
ATPAF2	1	2.09291715494e+226
LFNG	47	1.35642316821e+224
AFF4	116	5.28212591107e+223
UNC13B	1	2.09291715494e+226
TOE1	1	2.09291715494e+226
APLF	290	1.61765811335e+223
XRCC4	290	1.61765811335e+223
MGRN1	18	3.45815948759e+224
DSP	1	2.09291715494e+226
PKP3	13	4.5148739884e+224
PSMC2	142	2.37534473993e+223
HSPH1	27	1.18785147219e+224
PSMC6	15	3.67732043963e+224
CYFIP2	1	2.09291715494e+226
TCERG1	1	2.09291715494e+226
STX4	285	1.58356315995e+223
SYT4	386	4.49750842024e+223
MTA1	1	2.09291715494e+226
RBBP7	11	3.80887572204e+224
MEF2A	1	2.09291715494e+226
FBXO7	1	2.09291715494e+226
ZAP70	1	2.09291715494e+226
SLAMF6	1	2.09291715494e+226
SF3A1	4	4.45149841547e+224
GNA12	42	8.7948519822e+223
S1PR4	42	8.7948519822e+223
PFDN5	14	3.39124887067e+224
PFDN4	14	3.39124887067e+224
TLE4	395	2.37534473993e+223
POU2F2	395	2.37534473993e+223
SOS1	1	2.09291715494e+226
ITSN2	1	2.09291715494e+226
CCNE1	22	2.88729287814e+224
REL	47	1.35642316821e+224
CARD11	15	3.67732043963e+224
CASP8	15	3.67732043963e+224
RALBP1	1	2.09291715494e+226
AP2A2	1	2.09291715494e+226
PABPC4	108	7.91781579975e+223
GTF2H1	62	7.13140728664e+223
PDE4B	1	2.09291715494e+226
HNRNPA1	17	5.28956109109e+224
NEBL	266	2.37534473993e+223
UBE2D1	18	3.45815948759e+224
RNF185	18	3.45815948759e+224
EXOC2	1	2.09291715494e+226
EXOC4	19	3.11878227139e+224
SRSF1	9	4.44662165937e+224
PRPF4B	1	2.09291715494e+226
CAPRIN1	22	2.88729287814e+224
PINX1	1	2.09291715494e+226
PSMD8	15	3.67732043963e+224
RING1	182	7.91781579975e+222
PSMA1	142	2.37534473993e+223
PARD3B	13	4.5148739884e+224
EVL	1	2.09291715494e+226
TAF12	19	3.11878227139e+224
DYNLRB1	1	2.09291715494e+226
BRMS1L	1	2.09291715494e+226
SAP30	1	2.09291715494e+226
UTRN	1	2.09291715494e+226
KIF11	1	2.09291715494e+226
ID3	277	3.1671263199e+223
ZNF3	200	1.61951466561e+223
TYK2	16	4.07520357399e+224
IRS2	13	4.5148739884e+224
FBXW5	1	2.09291715494e+226
NLK	1	2.09291715494e+226
MLANA	1	2.09291715494e+226
RPS2	657	7.91781579975e+222
BMPR1A	1	2.09291715494e+226
SF3B4	20	2.05224705047e+224
WAS	1	2.09291715494e+226
ACTR3	1	2.09291715494e+226
JUND	24	2.91576249457e+224
GM2A	189	5.31694416098e+223
GPLD1	189	5.31694416098e+223
MAPKAPK5	1	2.09291715494e+226
MAPK1	656	7.91781579975e+222
RHOA	1	2.09291715494e+226
PDE6D	237	2.38250882907e+223
RB1CC1	1	2.09291715494e+226
CDK19	1	2.09291715494e+226
PRKCDBP	163	8.51351566392e+223
SDPR	42	8.7948519822e+223
ITGB2	1	2.09291715494e+226
ESM1	1	2.09291715494e+226
GYS1	6	5.24795631237e+224
CNTF	1	2.09291715494e+226
CCR10	1	2.09291715494e+226
CCL21	1	2.09291715494e+226
PIK3R1	655	7.91781579975e+222
LTK	1	2.09291715494e+226
BLMH	1	2.09291715494e+226
ATN1	1	2.09291715494e+226
RHOXF2	10	4.13544723756e+224
APC	12	5.54907675057e+224
LAMA4	12	5.54907675057e+224
SMARCC1	19	3.11878227139e+224
RAB3A	1	2.09291715494e+226
ARRDC3	1	2.09291715494e+226
ITGB4	59	7.94905200508e+223
PLEKHO1	1	2.09291715494e+226
FLNB	27	1.18785147219e+224
ING1	13	4.5148739884e+224
HNRNPC	21	2.77579225818e+224
CADPS2	18	3.45815948759e+224
UBE2E1	654	7.91781579975e+222
TLE3	22	2.88729287814e+224
LARS	25	2.91983828903e+224
BMI1	1	2.09291715494e+226
OSMR	1	2.09291715494e+226
OSM	1	2.09291715494e+226
EGFR	653	7.91781579975e+222
SH2D1A	1	2.09291715494e+226
EPB41L2	1	2.09291715494e+226
DRD3	382	3.1671263199e+223
GEM	1	2.09291715494e+226
YBEY	1	2.09291715494e+226
CHMP5	164	6.33962570666e+223
GTF3A	164	6.33962570666e+223
LGALS1	1	2.09291715494e+226
TUBB	652	7.91781579975e+222
HDAC6	8	5.22404647553e+224
SSB	4	4.45149841547e+224
PRPF19	20	2.05224705047e+224
KRT34	12	5.54907675057e+224
PLEKHB2	297	0.0
GIGYF2	12	5.54907675057e+224
SREK1	22	2.88729287814e+224
SRSF4	20	2.05224705047e+224
RIPK1	1	2.09291715494e+226
RNF115	18	3.45815948759e+224
CD9	389	1.66730563946e+223
CD59	1	2.09291715494e+226
EIF3B	210	3.24141259007e+223
EIF3E	21	2.77579225818e+224
FBXL18	1	2.09291715494e+226
PLSCR1	2	9.07260189771e+224
WDR26	2	9.07260189771e+224
GID8	1	2.09291715494e+226
BARD1	178	2.44724775124e+223
CSTF2	188	2.41295620794e+223
TUBA4A	12	5.54907675057e+224
MAGED1	651	0.0
STAT5B	1	2.09291715494e+226
PURA	1	2.09291715494e+226
CNBP	1	2.09291715494e+226
TNFRSF14	146	3.21577165018e+223
MMP13	1	2.09291715494e+226
TIMP3	170	5.29831064162e+223
PRKD3	232	7.14215342035e+223
VAMP2	1	2.09291715494e+226
RUFY1	1	2.09291715494e+226
EPHA3	1	2.09291715494e+226
ERBB2	650	7.95363624548e+222
CASP8AP2	1	2.09291715494e+226
SREBF2	59	7.94905200508e+223
ZNF408	200	1.61951466561e+223
ITGB3BP	5	3.83226726028e+224
HDLBP	4	4.45149841547e+224
MAGEA6	149	0.0
CYP1B1	1	2.09291715494e+226
CA2	1	2.09291715494e+226
SLC4A4	59	7.94905200508e+223
EFTUD2	22	2.88729287814e+224
ASIC2	379	2.37534473993e+223
ASIC1	379	2.37534473993e+223
IGF1R	1	2.09291715494e+226
CBL	649	3.16891734219e+223
PDGFRA	1	2.09291715494e+226
DARS	1	2.09291715494e+226
PSMA2	648	7.91781579975e+222
RBMX	4	4.45149841547e+224
EDF1	2	9.07260189771e+224
TAF1	12	5.54907675057e+224
KIAA0368	3	8.34894449257e+224
CCDC59	1	2.09291715494e+226
DEDD	1	2.09291715494e+226
IKBKB	1	2.09291715494e+226
IQGAP1	17	5.28956109109e+224
SF3A3	20	2.05224705047e+224
USP38	1	2.09291715494e+226
EPHB2	102	3.16891734219e+223
CRKL	425	7.91781579975e+222
RGS12	134	5.61267418751e+223
ITGB3	134	5.61267418751e+223
TANK	647	7.91781579975e+222
BIRC6	4	4.45149841547e+224
FUS	11	3.80887572204e+224
TP63	118	8.8096812584e+223
HSPA1L	17	5.28956109109e+224
KANK2	4	4.45149841547e+224
NCOA1	187	7.1675637646e+223
EIF3L	46	6.35345278704e+223
