gene	rank
POGK	169
THAP4	169
DMRTA1	169
PDK1	169
ZBTB49	169
PSKH2	169
NAP1L4	170
RBM4B	170
KRT76	170
NARS	170
PRPF39	170
MTMR9	170
GPATCH1	170
KNDC1	170
EIF3CL	170
KCTD13	170
PPP2R2D	170
KRT24	170
KLHL8	170
KLHL9	170
NTPCR	170
KCTD10	170
KCTD18	170
ENC1	170
NYAP1	170
TTC5	170
RPS27L	170
RPL9	170
TEFM	170
LRRC42	170
GFPT2	170
GPRASP2	170
LAMB4	170
RPL7A	170
KBTBD2	170
DDX50	170
USP43	170
KBTBD8	170
BCDIN3D	170
PDPR	170
TIMM13	170
FBXL17	170
CTNNBL1	170
RPS3A	170
KLHL36	170
HNRNPCL1	170
RPP25L	170
RSL1D1	170
KDELC1	170
MRPS21	170
FAM103A1	170
BTBD8	170
RPL7L1	170
POLRMT	170
AGO4	170
BTBD2	170
KLHL26	170
KLHL21	170
KLHL22	170
RPLP2	170
RPLP1	170
RPLP0	170
RPL18A	170
KLHL28	170
AKAP11	170
MTFR2	170
RPS9	170
CLCC1	170
ZBTB10	170
RPL8	170
PHAX	170
MRPS34	170
TRMT6	170
RPL13A	170
RPL4	170
RPS27	170
KLHL12	170
RPS25	170
RPS23	170
TOE1	170
KLHL18	170
HIST1H1D	170
YTHDC2	170
TMTC2	170
RPL10L	170
CMTR1	170
XAB2	170
TTC7B	170
RPS12	170
RPS11	170
AAR2	170
RPS18	170
NIFK	170
MRPS15	170
RPL30	170
C20orf196	170
KLHL15	170
KCTD2	170
NOP58	170
RPL24	170
RPL27	170
DDX18	170
RPL22	170
LDHD	170
RBM22	170
KCTD20	170
KCTD21	170
OGFR	170
RNMT	170
CBWD2	170
KBTBD4	170
GTPBP1	170
SNRPG	170
HAP1	170
RPL38	170
RPL35	170
RPL32	170
FN3KRP	170
PURB	170
OR10G3	171
ZCCHC14	171
WBSCR28	171
TMEM252	171
GLRX2	171
RAB2B	171
OVOL2	171
SLC35E3	171
TMEM174	171
S100A14	171
ANKRD39	171
CCDC186	171
LYZL4	171
