195
61, LEO1, CTR9, PAF1, RTF1
62
64, GNGT2
66, PPP6R2, PPP6R3, PPP6R1
68, TCEA1, ZNF76, TAF6
70, PSMD1
71
72, MOB1A, MOB1B
75, UCHL5, TFPT, INO80E, NFRKB
76, PNN, YWHAG
78, COPZ1, COPB2
83
85, HAT1, KDM4A, HIST1H3A, PRMT5
86, COPS4
87, CYTH1, PIP5K1A, ARHGAP21
88, TAF10, TAF3, TAF4, TAF8
90, NCAPD2
91, LSM4, LSM6, LSM2, LSM3
96, TAF7, TAF13, TAF5
97, FFAR1
98, TCEB2, DCUN1D1
99, ANAPC2
102, CNN1
103, MAP2K3
104, KLHL12
105, GGA3, ARF6, ASAP2
106
107, NAF1
108, NFE2L1, TSC22D4
109, UBXN7, LRR1
112
113, FAM110A, CSNK1E
117, KMT5A
118, COPS3, COPS7B
120, CSTF2
121, AMPH
122
124, FKBP8
125
127, GTF2A1L, GTF2A2
128, RBSN
129, SH2D2A
130, AP2M1, AP1B1
131
132, ST8SIA4
133
134, GATAD2A
135, PFDN6, VBP1, PFDN4
136
137, CHTF18, RFC3
138, RBBP5
140, POLE2
141, UBE2D4
145
146, CRAT, ECI2
148
149, SMURF2
150
151
152, CD47
153
154, POLR3F, POLR3G, POLR3C
156, MED10, MED29
157
158, WDR5
159, NEDD8, UBA3
160, CSE1L
163, POLR2E, POLR1A, POLR2B
164, RPA2
165, ULK1, ATG13
166
167
169, CDC5L, PLRG1
170, RPLP2, RPLP1, RPLP0
171
172
173, SMURF1, TGFBRAP1
174
176, ACTR3, ARPC5, WASF2
180, PPP4C, TIPRL, PPP4R3A
181, GOSR1, NAPA, VAMP2
182
184, TCERG1, SF3B3
187, DMAP1
188, VAMP3
189, YWHAB, MARK3
190
191, SRSF6, SRPK1
192, STX5
193, SEC13, SEH1L, NUP107
194, AP3D1, AP3S1
196
197, PEF1
198
199, IL20RB
200
202, SNTG1
203, SMARCC2, SMARCD1
204, GTF2H2, GTF2H4
205
206, NEURL4, CCP110
207
208, HNRNPD
209, MAD2L1BP
210, ANAPC11
211, NFATC1
213, ZNF207
215, ASGR1, ASGR2
216
217, SPC24
218
219, OAZ1
220, C4BPA
221
222
224
225, CNOT1, TNRC6C
226, NSMCE1, NSMCE3
227, TOR1AIP1
228, PXMP2
229, MMS22L
230, SNRNP70
231, STRA13, APITD1
232, UBE4B
233, ACIN1, SAP18
234
235, KAT2A
238, FZD8
239, STK26
240, TPRKB
241, PPP2R5D, SGO1
243, SMC5, SMC6
244
245
247, EEF1G, SUMO2
249
250, RMI1, RMI2
251, KCNJ3
252, SIX4, EYA3
253, KNL1
254
255, CBX8
256, EXOSC4
257, MLLT1
259
261, AMOT
262, NCAPH
263
264, MAP1A, MAP1B
266
267
268
269
270, GRAP2
271, VPS29
272, EIF4B
273, HOXB6, PKNOX1
274, PSMG2
275, MYRIP
276, PFDN1, PFDN5
277
278
280
281
282, CDK9, HEXIM2
283, PRKAB2
284, TELO2, TTI1
285, XCL1, XCR1
286
287, CETN2
288
289
290, KCNJ12, APBA1
291
292, CIAO1, MMS19
293
296
297, MGRN1
298, AUP1, UBE2G2
299
300, MAP2K4
302, CD93
303, RAB9A, BCL3
304
305
306, FLT3LG
307, GEMIN6
308
309, NOP58
310, FKBP4
313
314
315
317
318, NAA15, HYPK
319, ELP3
320
322
323, STX12
324
325
326, ATP6V0A1
327, IPO4
328
329
330
331, GRIK4
332, SUMO3, UBA2
333, ZNF350, TRIM28
334, MED9
335, ZBTB32
336, WDR48, USP1
337, TUBA3C
338, TJP1
339, PSMB9
344, TRADD
345, POLA1
346
347, FOXK1
348, STX7
349, PIH1D1, RPAP3
350, FNBP1
353
354
355, RNF4, UBE2W
356, CASP6
357, DOC2B, UNC13B
359, ARRB1
360, CAMK2G, CABP2
361
362
363
364
365
366
367
368
369
371
372, POLR1B, POLR1E
373
374
375
376, CD48
379
380, RNF20, RNF40
381
382, KEL
384, MAP1LC3A, ATG3
385, AP1G1, AP1M1
386
388
389, PRLH, PRLHR
390, RHOT1
392, TAF12, TAF11
393
394, RAD18
395
396
397, LNX2
399, IL15RA
400
401, RGS19
403
404, NUDC
405, TMED9, TMED10
406
407
408, WDR61
411, NCKAP1
412, CKMT1A
413
414
415
418
419
420, MLLT3
422, BYSL, PNO1
423
424
425, MAP3K2, PKN2
426, SEL1L
427, RALA
428
429
431, FBXW5
432, EZH1
434, TOMM20
435, ARPC3, ARPC5L
436, ILF3
437, SLC3A2
438, TRIM6
440, SREK1
441, AIMP2
442, MED18, MED31
443, SNX9, SNX33
444, TCEANC, ZKSCAN7
445, USP22
446, RPS25
449
450
451
453
455, PAAF1
456
458, GPAA1
459
461
463
465
466
467
468
469
470, PSMD4
471, ATG12
472, MED26
473
475, TRAF5
476, SMAD1, WWP1
477, CAMKK2
478, GABARAP
479
480, ARHGEF7
481
482
483, VPS4B
484
486
487, MVB12A
488, RUVBL2, ACTR8
490, NMUR2
491
492, TEC
493, RFX1, RFX2
494
495
496
497, NXF1
498
499
500, STXBP3, STX4
501
502, PDS5B
503, ASB2
506, MAP4K1
510
511
512, UBE2D1
513, MZB1
514
515, POLA2, PRIM2
516, DRP2, UTRN
517, GIP
520, TRAPPC8, TRAPPC3
521, LLGL2, PARD6A
522
523, COL5A3
524, SEPT7
525, PDK1
527, RPS12
528
529
530, POLR2G, POLR2J
531
532
533, GUCA2A
535
536, AP1M2
537, CCNT1, SUPT5H
538, SNRPB2
540, WASF1, CYFIP2
541
542
543, SIN3B
544
545
546
547, E2F4, LIN9
548, MAGED1
549, LCP2
550, CTSG
551, SKP1
552, RIPK1
555, APLF
556, RHOG
557, CAMLG
560
561, GNG13
562
563, PTGES3
565
