"SUID","__mclCluster","name","PRWP","PRWP_single","score","selected","shared name"
"9448","21","YPEL5","0.0","0.0",,"false","YPEL5"
"9447","6","C21orf59","0.0438951746703632","0.0",,"false","C21orf59"
"9446","159","TIPRL","0.09784132204747271","0.0",,"false","TIPRL"
"9445","907","MIEF2","0.0","0.0",,"false","MIEF2"
"9444","340","KMT2A","0.30942846434519256","0.0",,"false","KMT2A"
"9443","21","SEPSECS","0.0","0.0",,"false","SEPSECS"
"9442","674","NTNG1","0.0","0.0",,"false","NTNG1"
"9441","6","GALE","0.0438951746703632","0.0",,"false","GALE"
"9440","106","DTWD2","0.0","0.0",,"false","DTWD2"
"9439","6","AKR1C4","0.0438951746703632","0.0",,"false","AKR1C4"
"9438","316","BDH1","0.1536301682156285","0.0",,"false","BDH1"
"9437","15","DDT","0.04767832806691919","0.0",,"false","DDT"
"9436","6","MIA","0.0438951746703632","0.0",,"false","MIA"
"9435","639","NECTIN3","0.0","0.0",,"false","NECTIN3"
"9434","173","SPPL2A","0.10242011214375232","0.0",,"false","SPPL2A"
"9433","162","GJA4","0.09217810092937709","0.0",,"false","GJA4"
"9432","6","S100A14","0.0438951746703632","0.0",,"false","S100A14"
"9431","6","ZCCHC14","0.0438951746703632","0.0",,"false","ZCCHC14"
"9430","443","AK6","0.0","0.0",,"false","AK6"
"9429","846","KRI1","0.0","0.0",,"false","KRI1"
"9428","668","ZNF316","0.0","0.0",,"false","ZNF316"
"9427","6","WBSCR28","0.0438951746703632","0.0",,"false","WBSCR28"
"9426","12","DOPEY2","0.08661806770180626","0.0",,"false","DOPEY2"
"9425","139","AVPR1A","0.08760320435428431","0.0",,"false","AVPR1A"
"9424","1106","TIAL1","0.0","0.0",,"false","TIAL1"
"9423","25","OR4D6","0.0","0.0",,"false","OR4D6"
"9422","125","CCT3","0.07681508410781425","0.0",,"false","CCT3"
"9421","64","NMNAT2","0.048514789962830054","0.0",,"false","NMNAT2"
"9420","86","HSD3B2","0.17675777411140667","0.45767795420599305","0.122724350242","false","HSD3B2"
"9419","934","TMPRSS11D","0.0","0.0",,"false","TMPRSS11D"
"9418","585","LRRC26","0.0","0.0",,"false","LRRC26"
"9417","6","CA3","0.0438951746703632","0.0",,"false","CA3"
"9416","229","RSU1","0.12045440598714093","0.0",,"false","RSU1"
"9415","585","KCNMB2","0.0","0.0",,"false","KCNMB2"
"9414","714","MCM8","0.0","0.0",,"false","MCM8"
"9413","963","CTC1","0.307260336431257","0.0",,"false","CTC1"
"9412","673","RSPO2","0.0","0.0",,"false","RSPO2"
"9411","728","DCBLD2","0.0","0.0",,"false","DCBLD2"
"9410","180","RAB18","0.10474534762128983","0.0",,"false","RAB18"
"9409","21","SAMD4B","0.0","0.0",,"false","SAMD4B"
"9408","674","LRRC4","0.0","0.0",,"false","LRRC4"
"9407","72","TSPAN13","0.05643971675636194","0.0",,"false","TSPAN13"
"9406","72","CFI","0.05643971675636194","0.0",,"false","CFI"
"9405","22","PLEKHO2","0.08881260469892026","0.0",,"false","PLEKHO2"
"9404","659","ANGPTL5","0.0","0.0",,"false","ANGPTL5"
"9403","86","KCNE2","0.17675777411140667","0.0",,"false","KCNE2"
"9402","1351","FDX2","0.0","0.0",,"false","FDX2"
