__mclCluster	name
332.0	SNRPB
332.0	SNRPE
333.0	BIRC7
333.0	DIABLO
334.0	CD209
334.0	ICAM3
335.0	CD244
335.0	CD48
121.0	TGFBRAP1
85.0	FCGR3A
-1	POLR1A
-1	POLR2E
49.0	MSH2
-1	UHRF1
96.0	CDX2
66.0	DKC1
66.0	NHP2
336.0	CDK5R1
336.0	CDK5RAP3
4.0	NPLOC4
337.0	CBLC
122.0	GNG7
338.0	MID2
338.0	IGBP1
-1	MYBL2
339.0	NFKB2
11.0	GNL3
-1	PSMD3
340.0	RNF20
340.0	RNF40
341.0	TRDN
341.0	CASQ2
342.0	XK
342.0	KEL
170.0	IRF3
343.0	FBXW7
4.0	UBXN4
123.0	BMP8B
54.0	PNN
1.0	DCAF1
344.0	PRKD1
84.0	RAB5A
84.0	RAB7A
-1	CBX5
255.0	DNMT3A
115.0	KRT18
-1	TAF4
-1	ARPC5
345.0	ATG3
345.0	MAP1LC3A
346.0	AP1G1
49.0	MLH1
49.0	MSH6
347.0	IL1B
347.0	A2M
348.0	PRPH2
348.0	ROM1
349.0	IGFBP3
349.0	KLK3
-1	DDX58
25.0	AIMP1
-1	COPA
350.0	NPR2
350.0	NPPC
351.0	PRLH
351.0	PRLHR
22.0	KLF16
83.0	ERCC1
83.0	SLX4
352.0	TRAK1
352.0	RHOT1
15.0	JUN
124.0	CDH3
7.0	CCND2
353.0	TERT
44.0	THOC5
-1	NEDD4
22.0	KLF11
264.0	CBLB
2.0	VAV1
14.0	MAP3K3
211.0	ITGA4
191.0	SUMO2
45.0	PPP6R1
31.0	PRMT5
354.0	TAF12
354.0	TAF11
355.0	USP7
356.0	HLTF
356.0	RAD18
104.0	RASA1
357.0	SNTA1
357.0	ABCA1
358.0	FLNA
358.0	DRD1
359.0	LNX2
359.0	NUMB
112.0	CD40
112.0	JAK3
360.0	CST3
360.0	CTSS
2.0	GRIN2A
-1	CD19
-1	CST7
288.0	CTSB
361.0	SMC2
272.0	HSP90AB1
-1	CCT2
17.0	RANBP2
362.0	IL15RA
362.0	IL2RG
-1	CD81
71.0	TRIM24
59.0	CYTH1
346.0	AP1M1
363.0	CHRNA3
363.0	CHRNB4
364.0	RGS19
364.0	GNAI1
-1	PSMD1
365.0	CREB1
365.0	ATF1
17.0	PTHLH
32.0	CDC42EP5
60.0	LSM3
42.0	PRDX1
366.0	TICAM1
366.0	TRAF1
97.0	NRP1
367.0	NUDC
367.0	PAFAH1B1
125.0	HNRNPA2B1
-1	NPM1
368.0	TMED9
368.0	TMED10
7.0	CDT1
96.0	CREBBP
369.0	CDCA8
2.0	DLG4
370.0	ITGB2
370.0	TLN1
371.0	ZWINT
371.0	BECN1
372.0	CDC73
373.0	PLK1
373.0	BORA
374.0	PLXNB1
374.0	RND3
375.0	NCKAP1
-1	MAPK8IP1
-1	CBX2
376.0	FGA
376.0	PLAT
76.0	KIAA0101
-1	RPS15
126.0	TIPRL
93.0	NTRK3
315.0	CAMK2G
377.0	CTSL
377.0	SERPINB13
378.0	VDAC1
378.0	CKMT1A
379.0	MEF2C
379.0	HDAC7
380.0	PRPF3
380.0	SART3
122.0	GNG12
381.0	NPPB
381.0	NPR3
105.0	POLR3F
105.0	POLR3C
32.0	ARHGAP32
-1	TRAF2
-1	TNF
-1	RPS11
382.0	BRCA2
-1	EIF3K
383.0	ARAF
-1	MAP3K11
58.0	STAT5B
28.0	SF3B1
384.0	FN1
384.0	COL2A1
43.0	RPL35
385.0	VAMP2
385.0	NAPA
-1	MLLT3
-1	PCGF2
-1	CTTN
289.0	TJP1
-1	TP53BP1
386.0	ACTN4
386.0	ACTN2
387.0	PNO1
387.0	BYSL
127.0	CCT7
388.0	RIPK3
388.0	FADD
389.0	PIK3R2
128.0	UIMC1
390.0	PSMD10
7.0	CCNK
2.0	SKAP2
391.0	USP9X
392.0	MAP3K2
392.0	PKN2
125.0	PRKCZ
56.0	TOPBP1
129.0	SFN
393.0	SFPQ
394.0	SEL1L
394.0	OS9
395.0	MYBBP1A
395.0	AR
396.0	PLD1
396.0	RALA
382.0	KAT2B
397.0	DNAJA1
397.0	PARK2
215.0	VPS26A
240.0	VPS35
398.0	ABCC9
398.0	KCNJ8
399.0	ARID1A
97.0	KDR
400.0	CUL4A
400.0	FBXW5
18.0	MEF2D
401.0	EZH1
401.0	SUZ12
9.0	SPSB2
10.0	ITSN1
51.0	RASSF5
402.0	BMP6
402.0	BMPR1B
-1	PGR
403.0	PINK1
403.0	TOMM20
126.0	PPP4C
126.0	PPP4R3A
221.0	PFDN5
-1	ARPC3
404.0	KIF5A
404.0	KLC1
-1	SNCA
405.0	ILF3
405.0	PRKDC
52.0	HTRA2
406.0	SLC7A11
406.0	SLC3A2
110.0	RAG1
110.0	KPNA2
53.0	INO80E
407.0	TRIM6
-1	BTK
408.0	BRINP1
408.0	SIRT1
40.0	SNRPD2
130.0	AXIN2
409.0	SREK1
409.0	SRSF2
410.0	AIMP2
-1	GOSR1
146.0	HNRNPD
153.0	HSPA8
411.0	MED31
411.0	MED18
412.0	SNX33
412.0	SNX9
413.0	TCEANC
413.0	ZKSCAN7
94.0	CHAF1A
414.0	USP22
-1	PSMC2
-1	ING3
44.0	ALYREF
415.0	STX3
415.0	VAMP3
416.0	RPS17
416.0	RPS25
-1	MARK3
417.0	SMAD4
417.0	PIAS4
418.0	HMGA1
418.0	NFKB1
131.0	PRKCG
12.0	GNG3
419.0	STAG1
419.0	SMC1A
-1	RPS5
123.0	NOG
123.0	BMP4
420.0	WASL
420.0	PFN1
421.0	RLN3
-1	ALK
422.0	F10
423.0	CS
423.0	MDH2
20.0	CXCL11
-1	MYB
108.0	IKBKB
108.0	IKBKE
