rank	biomarkers	candidates	cluster
172	-	RUNX1T1	IL19,IL20RB,IL24
173	PTPRK	PTPRC,PTPRB,KIT	PTPN22,TEK,PTPRZ1,PTPRG,PTPRO,PTPRJ
174	PBX1	CUX1,HOXD11	SOX18,NEUROD6,MAD1L1,HOXB3,HMGB1,PPP2R3A,MNT,ERF,HOXD10,HOXC6,FOXA3,ATOH1,ZFP36,FOXC1,RFX1
179	RARA	-	WTIP,HACE1,ASXL2,RAB4A
183	TERT	-	ACD,DDX51,SLC7A11,STEAP4
184	-	HMGA1	PPP1R8
186	HLA-A	CDX2	TAP2,MR1,B2M,MEX3B,MEX3C,MEX3A
187	CDKN1B,CCND3,CCND2	-	GPS1,ABTB2,CCNF,FBXO7,RBX1,HINT1
189	-	ARID1A	TOP2A
190	ERBB4	-	GRIN1,PLCB4,LRRC1
192	AKT2	MYO5A,FOXO4	AKT3,ARRB2,PLEKHO1
197	ETV4	-	HOXD4,ASB8,HOXB13,TIGD4,ZNF490
202	HIP1	-	UBB,ITCH,ZNF385A,NEDD4,EDAR,AP2B1
209	ATM	CDKN2C	ATMIN,CDC6,PTS,FBXO31,CXXC5
210	-	CBL	CD38,UBASH3B,ACTG2,LAT2,KRT79,TCN1,SPRED2,CDKL2,KRT6C,STS,GAB1
216	FHIT	-	SRC,LCT,TXK,STAP2,PPM1F,ADGRE5,RHOQ,KCNQ5,SH2D2A,PTGER4,ALS2CR12,CENPV,OCLN,LCP2,ZNF658B,FEM1A
218	-	CACNA1D	ACTN2,LRP12,ANG,FBXL22
219	COX6C	-	CRBN,FAM208A,GTF2F2,VAV3,TRAM2,IPO8,GPRC5A,MAN1A2
220	-	MYCN	FSD1,AATK,C1orf61,CDK5
224	NCOA2,NCOR2	-	PPFIA4,DLX5,KLRC3,SLC30A9,NR5A2,OPN1LW,MSX1,TXNRD2,DLX2
226	-	RNF43	DYNC2LI1,HECW1,SOD1
232	-	COL1A1	COL8A2,DDR1
233	PALB2,NBN	-	TMEM248,ZNF121,BARD1,ERCC6L,U2SURP,LRRC41,PDZD8
235	-	SRSF2	SDCCAG8
242	-	FZR1	MAML3,CUEDC2,MXI1,TAS2R13,CDC20,RNF34,ANAPC2,NINL
245	MAP3K1	CYLD	MYOM3,TRIM39,DTX1,ASH2L,USP2,USP5,MKRN1,ADAM19,POLI,POLH,RCHY1,BCL2L12,SPDYA,DENR,MAP3K4,KLF5,GLI1,RGS2,PPP1R9A,PDCD2,ERN1,ESF1,SH3RF3,BRCC3,LEPR,TNIP2,PRKAR1B,NDEL1,HIST1H2BK,MARCH5,ABCG2,PSD,RDH12,UBC,MUL1,ATXN3,AMOT
246	-	MEN1	FKBPL,CDKN1A,EBF3
247	HERPUD1	CARD11,AXIN2	TRAF3,SLC11A2,RBCK1,PFKFB3,UBA52,DNAJC2,ID1,NEDD4L,HERC3,CSNK1G1,RAPGEF2,AMMECR1,NMNAT2,UBXN6,RNF5,HFE
249	-	SOCS1	CYTIP
253	-	FAT1	SLC6A3,TPPP,TUBA8,HDAC6,BDH1
264	BRCA1	-	RRAS,RASIP1,NRIP1,ZNF366,LDB2,CTBP1,SSBP3,SSBP2
265	-	TRRAP	SPICE1,ZNF606,C2CD5,ESRRA
268	-	ARID1B	GLIS3,TEAD1,LONRF3,ZBTB44,ENO1
269	-	NSD1	CLIP3,WASH2P,TNFRSF21
271	NDRG1	-	ZNF155
275	FOXA1	-	MEF2C,BARHL1,ONECUT1,AHR,HIPK2,TLE1
278	-	IL21R	ERAP2,EVL,BTN3A3,FOXP3,MED23,HLA-G,IL12B,IL12A,KIR3DL1,IFNB1,DPP8,IFNA14,CXCL11,CXCL10,IRF2,IRF1,IRF7,IRF5,IFI6,IFNA2,IL7,OGN
279	KLF6	-	CDC16,ANAPC15,CDR2,CDC23,ANAPC10,AJAP1,ADAM9,APC2,PLEKHA7,CDC26,CDH1,PTTG1,MYO6,ANAPC1,ANAPC4,ANAPC11
281	IL2	-	NFATC1,DGKA,EGR4,SREK1
283	-	TAL1,SUZ12,WHSC1,HOXA11,CCDC6,SMARCD1,KDM5A,TBL1XR1	HDAC1,MAD2L2,ZNF217,SMARCC1,TSC22D3,TRERF1,ZFPM2,TRMT61A,HDAC3,PPP4R2,SUDS3,RCOR2,MAGEC2,OVOL1,EID2B,NKX2-2,INSM1,ZNF395,NKX2-5,DNTTIP1,EMSY,SAP30,RAI1,SIX4,DDX53,ESCO1,DNMT1,C16orf87,SIX3,GLI3,RABEP2,KLF1,HDAC2,TMEM54,MKX,ZNF516,MTA1,TLE3,EID3,HELLS,WISP2,ID4,LARP7,MIER2,BAHD1,ELMSAN1,SMYD1,MAGEB1,SATB2,ZNF335,SNAI2,SNAI3,CORO2A,MBD3L1,ING2,ABTB1,KCTD11,PAAF1,MAGEH1,NUP54,HSD11B2,PARP14,ACTN4,ID2,ID3,MTA2,HMG20A,PRDM4,MBD4,ELK1,EID2,NKX3-2,EID1,GATAD2B,HES1,NR2E1,ZNF461,DEC1,PADI4
286	-	HNF1A	DLEU1,IGFBP1,RYR3,TBCA,ADH6
290	-	CBLB	NR2C2
295	-	CEBPA	RPGRIP1,NR0B2,PGAM1
297	-	TFPT	RUVBL1,PFDN4,TTI1,RUVBL2,INO80B,TELO2,CCDC87,INO80,KRT15,PIH1D1,ACTR8,TTI2,YY1,ACTR5,INO80E,C12orf45,INO80C,ING3
298	EP300,CREBBP	TCL1A,ITK,TRIM24,MN1,XPA,GATA3,BCL3	CLOCK,COPS2,JDP2,GPBP1,MMP23B,CD2,MAP9,HIST1H2AA,SOX4,TP63,SPI1,KLF16,S1PR1,U2AF2,FBXW8,EMB,DUSP2,CTF1,CD69,MCM7,HIST1H2BA,SATB1,TP53BP2,UBR1,SNAI1,HIST2H2AB,NPY5R,MTF1,IFNA7,TP73,L3MBTL1,PPP1R13L
303	-	CASP8	CASP6,CASP7,SYF2,CASP3,WNK3,STAMBP,PANX1,CALB1,CASP9,GOLGA3,SPP1,MYL3,ATG4D,PLA2G4B,TNS4,AFP,PDE10A,TSNAX
304	ETV1	-	CNTNAP2,KCNA2
309	-	CHIC2	ELAVL1,HNRNPD,CD83,IL13,ATF3,DUSP1,ILF3
310	JAK2	-	PTAFR,IL23R
311	MLH1	NONO	TPRG1L,PLPP2,SLC25A23,CLIC1,ATAD5,SPERT,RAD9A,PSD3,NDFIP2,PTP4A2,RRBP1,HSD17B3,CPVL
314	-	TNFRSF17,SEPT9,BCL10,TFE3	ATP5J2,DCXR,OAT,NDUFAF1,TARSL2,CFLAR,TICAM1,TIRAP,EIF1AX,CTAGE5,PSMA3,MEDAG,GOT2,HIST2H2AA4,ETFA,PRPSAP1,TRAF5,TRAF6,AHCYL2,DUPD1,GCN1,TMEM109,ESD,OR10J1,GDI2,LRRC59,BCAR3,SEC11A,MPG,BPNT1,RHPN2,NAA50,PSPH,CYB5B,TRAM1,SAE1,NUDT11,MYDGF,AHCY,ACTR2,PAK2,GXYLT1
321	-	CLIP1	RERE,INCENP,PLK1,BTN1A1,TMF1,GTSE1,PTHLH,KAT7,CDK1,WDCP,RGPD4,EVI5,PSMB2,DNHD1,PAK3
322	EZR	-	LIMD1,FKBP9,UBR7,CROCC,GTF3C4
324	-	MAML2,NOTCH2	NOTCH4,MAML1,NOTCH3
325	BRCA2	STAG2	SMC1A,STAG3,SMC3,NIPBL,PDS5B,REC8,CDCA5,SYCP3
