clusters	score	genes
228	0.277946772532	MEX3A:0.0,MEX3B:0.0,MEX3C:0.0,CDX2:1.0,HLA-A:1.0,TAP2:0.0,B2M:0.0,MR1:0.0
588	0.272675596217	SDC4:1.0,SDC2:0.0,CSF2RA:0.0,TIAM1:0.0
641	0.27169909756	ELN:1.0,EFEMP2:0.0,SOD3:0.0,FBLN5:0.0
715	0.271346719283	MYOD1:1.0,NUPR1:0.0,BHLHA15:0.0
358	0.270880631351	IFI16:0.0,TMEM173:0.0,ACSL3:1.0,SLC39A14:0.0,TRIM56:0.0,STAT6:1.0
312	0.270343477552	HTR6:0.0,TUB:0.0,RGS13:0.0,KMT5C:0.0,GNA11:1.0,GNAQ:1.0
721	0.265420978712	RNF14:0.0,TNFAIP3:1.0,TAGLN:0.0
557	0.263626914002	KDM6A:1.0,TBX5:0.0,PROSER1:0.0,N4BP2:0.0
483	0.261263363631	KANSL2:0.0,ITSN2:0.0,PIP5K1B:0.0,RNF213:1.0,MCRS1:0.0
24	0.261040233446	HIST1H2AA:0.0,KLF16:0.0,SOX4:0.0,S1PR1:0.0,CD2:0.0,PPP1R13L:0.0,TP53BP2:0.0,JDP2:0.0,CTF1:0.0,FBXW8:0.0,UBR1:0.0,SNAI1:0.0,DUSP2:0.0,GATA3:1.0,IFNA7:0.0,EP300:1.0,MMP23B:0.0,HIST1H2BA:0.0,NPY5R:0.0,L3MBTL1:0.0,MCM7:0.0,HIST2H2AB:0.0,TP73:0.0,ITK:1.0,CREBBP:1.0,U2AF2:0.0,TP63:0.0,CD69:0.0,TCL1A:1.0,MAP9:0.0,MN1:1.0,CLOCK:0.0,GPBP1:0.0,BCL3:1.0,COPS2:0.0,MTF1:0.0,SPI1:0.0,SATB1:0.0,XPA:1.0,TRIM24:1.0,EMB:0.0
836	0.260520978801	FHL1:0.0,CLMN:0.0,PAX7:1.0
684	0.259348491488	LHPP:0.0,TNFRSF14:1.0,NDUFA13:0.0
357	0.259091404703	COL6A1:0.0,COL5A1:0.0,LYVE1:0.0,PDGFA:0.0,PDGFB:1.0,COL3A1:0.0
403	0.258019261333	ACTN2:0.0,LRP12:0.0,ANG:0.0,FBXL22:0.0,CACNA1D:1.0
244	0.25400519827	HIP1:1.0,ZNF385A:0.0,AP2B1:0.0,UBB:0.0,EDAR:0.0,NEDD4:0.0,ITCH:0.0
556	0.253564208613	MSX2:0.0,ZDHHC2:0.0,HOXD12:0.0,MAFB:1.0
603	0.251313723911	CLIP3:0.0,WASH2P:0.0,TNFRSF21:0.0,NSD1:1.0
731	0.249499785591	EWSR1:1.0,FLI1:0.0,CD68:0.0
388	0.248631220225	WTIP:0.0,ASXL2:0.0,RARA:1.0,RAB4A:0.0,HACE1:0.0
386	0.244525453796	OTUD7A:0.0,GLRX5:0.0,VHL:1.0,SFXN3:0.0,MYCBPAP:0.0
536	0.243437712581	RNF43:1.0,DYNC2LI1:0.0,HECW1:0.0,SOD1:0.0
843	0.242550929863	FCGR2B:1.0,IGHG1:0.0,IGLC1:0.0
514	0.241789428997	KIR2DL1:0.0,PTPN11:1.0,RPIA:0.0,PDCD1:0.0
517	0.240646049043	MNAT1:0.0,FTH1:0.0,TSC1:1.0,RASSF7:0.0
399	0.240265557165	RUNX2:0.0,GPHN:1.0,PPM1D:0.0,PIN1:0.0,SULT4A1:0.0
368	0.239466750129	TBX2:0.0,LZTR1:1.0,ZNF584:0.0,FANK1:0.0,ZNF175:0.0
1040	0.23936042142	STUB1:0.0,KCNQ4:0.0
804	0.237549012737	SPNS1:0.0,NDUFA10:0.0,SDHB:1.0
30	0.237213006393	MED11:0.0,MED12:1.0,MED20:0.0,AFF4:1.0,MED13L:0.0,MLLT1:1.0,MED26:0.0,POLR2L:0.0,ELL:1.0,MED10:0.0,USPL1:0.0,MED30:0.0,POLR2K:0.0,MED17:0.0,MED6:0.0,AFF1:1.0,MED7:0.0,MED25:0.0,POLR2F:0.0,ICE1:0.0,MED14:0.0,MED4:0.0,MED16:0.0,CDK8:0.0,MED9:0.0,OBFC1:0.0,MED1:0.0,MED21:0.0,EAF2:0.0,MED13:0.0,MED28:0.0,MED31:0.0,PPARGC1A:0.0,MED18:0.0,ELL2:0.0
284	0.2361493386	PMCH:0.0,NAB2:1.0,PCSK2:0.0,ZMYND19:0.0,PCSK7:1.0,MCHR2:0.0,MCHR1:0.0
518	0.234738116478	SHROOM3:0.0,ZKSCAN2:0.0,QPCTL:0.0,GSK3B:0.0
625	0.231608832301	NT5C2:1.0,DRG2:0.0,ADSL:0.0,RSBN1L:0.0
452	0.230241373264	NOTCH1:1.0,WDR11:0.0,NCKAP1L:0.0,RBP3:0.0,NUMBL:0.0
169	0.230071092015	TMEM248:0.0,ZNF121:0.0,PDZD8:0.0,LRRC41:0.0,ERCC6L:0.0,PALB2:1.0,NBN:1.0,U2SURP:0.0,BARD1:0.0
449	0.229565079752	COL2A1:1.0,COL16A1:0.0,SAA4:0.0,COL4A1:0.0,COCH:0.0
439	0.229304780766	BYSL:0.0,PIK3R2:0.0,KIAA0408:0.0,ABI1:1.0,MRFAP1L1:0.0
316	0.228450728112	TPPP:0.0,BDH1:0.0,FAT1:1.0,SLC6A3:0.0,TUBA8:0.0,HDAC6:0.0
64	0.227284869542	AXIN2:1.0,NEDD4L:0.0,HERC3:0.0,CSNK1G1:0.0,SLC11A2:0.0,RBCK1:0.0,ID1:0.0,PFKFB3:0.0,AMMECR1:0.0,UBA52:0.0,HFE:0.0,RAPGEF2:0.0,CARD11:1.0,NMNAT2:0.0,RNF5:0.0,TRAF3:0.0,UBXN6:0.0,DNAJC2:0.0,HERPUD1:1.0
480	0.226720917459	FRMD5:0.0,PLPP3:0.0,RET:1.0,CTNND1:0.0,FAU:0.0
582	0.225770721117	IRF4:1.0,APOBEC3F:0.0,DEF6:0.0,SQLE:0.0
221	0.221655963962	ILF3:0.0,HNRNPD:0.0,ELAVL1:0.0,ATF3:0.0,IL13:0.0,DUSP1:0.0,CD83:0.0,CHIC2:1.0
320	0.221049069027	GTF2H1:0.0,ERCC2:1.0,GTF2H3:0.0,CDK7:0.0,GTF2H5:0.0,GTF2H4:0.0
152	0.217674379803	NIPBL:0.0,BRCA2:1.0,STAG3:0.0,REC8:0.0,STAG2:1.0,CDCA5:0.0,SMC1A:0.0,SMC3:0.0,PDS5B:0.0,SYCP3:0.0
559	0.217595985658	PAX8:1.0,TMA16:0.0,ANXA7:0.0,RSBN1:0.0
970	0.217064674318	CCNE2:0.0,HIST1H1A:0.0
246	0.216616887794	MEF2C:0.0,HIPK2:0.0,FOXA1:1.0,BARHL1:0.0,ONECUT1:0.0,TLE1:0.0,AHR:0.0
524	0.215695232236	TCF3:1.0,NEUROG2:0.0,ASCL1:0.0,MEF2D:0.0
1195	0.215156323911	GABPB2:0.0,HIF1AN:0.0
595	0.214811134883	NF2:1.0,F2RL2:0.0,PATJ:0.0,PARD6A:0.0
606	0.213173782997	TBC1D23:0.0,WDR6:0.0,SIK1:0.0,STK11:1.0
613	0.212890352165	GRIN1:0.0,ERBB4:1.0,PLCB4:0.0,LRRC1:0.0
976	0.211258882994	TARBP2:0.0,KHSRP:0.0
688	0.211126955348	CRIPT:0.0,TUBA3D:0.0,TUBB:0.0
341	0.211073039434	FGFR1:1.0,FGF19:0.0,HTR1A:0.0,NOSTRIN:0.0,ANOS1:0.0,KLB:0.0
405	0.210649328142	IL2:1.0,DGKA:0.0,SREK1:0.0,EGR4:0.0,NFATC1:0.0
74	0.210237560444	FAN1:0.0,POLR1A:0.0,RAD17:0.0,KIN:0.0,SPAG1:0.0,FANCE:1.0,BAZ1B:0.0,POLK:0.0,IL17RB:0.0,FANCI:0.0,DCLRE1A:0.0,PCNA:0.0,ERCC4:1.0,TIMELESS:0.0,CSTF2:0.0,CSTF1:0.0,XPC:1.0
443	0.209031040998	TNN:0.0,RANBP17:1.0,PSPC1:0.0,AK6:0.0,XPO6:0.0
697	0.208294948584	API5:0.0,ACIN1:0.0,PRKAB1:0.0
1041	0.206799297607	DYNC1LI2:0.0,DYNC1H1:0.0
473	0.20646392064	UBE2T:0.0,ATF1:1.0,ALX1:0.0,HAND1:0.0,SRA1:0.0
327	0.202474568257	NHEJ1:0.0,TDP1:0.0,TNNI3:0.0,H2AFX:0.0,WRN:1.0,NLRP2:0.0
420	0.20192177798	GATA6:0.0,KLF13:0.0,GATA4:0.0,NKX2-1:1.0,HAMP:0.0
1036	0.200740394948	HSPE1:0.0,MPI:0.0
652	0.200667914072	ZNF423:0.0,RARB:0.0,ASXL1:1.0,EBF2:0.0
579	0.200338832157	ZBTB16:1.0,HBEGF:0.0,HDX:0.0,ATP6AP2:0.0
735	0.199170505045	PSMC1:0.0,PSMC2:0.0,PSMC5:0.0
568	0.197787875954	TGFBR3:0.0,ACVR2A:0.0,DAXX:1.0,TCTEX1D4:0.0
670	0.197200116824	KRT81:0.0,NOS2:0.0,SLC7A5:0.0,ALDH1A1:0.0
