rank	test biomarkers	test candidates	remaining biomarkers	remaining candidates
487	SERPINE1	-	CDCP1,CST3	PF4V1,CFB,AGA,NLRC4,MYL4,APOC2,ST13,CLCA2,SPATA31A7,PTPN23,TTPAL,SLC9A8,GRAP2,CHKB,OR3A2,SETX,ZIM2,FAM71E2,MYLK3,QTRT2,SCAF1,OR8D2,NPHS1,OR2T6,LMNA,PLA2G4F,SLA2,GJC2,ALB,PDE4B,IGDCC4,ZNF292
503	-	PLA2G7	-	STARD13,CLSPN,TUBA1A,CNTN2,LTA,IFNE,TUBB2B
523	-	CDC42BPA	SMAD3	DPP10,DROSHA,GFM2,CCDC25,MCF2L,SMAD2,SENP2,MKS1,SRSF11,TCEAL6,KIAA1109,SURF6,CHGB,RANBP3,SEMA6A
534	-	MT1X	IFNG,MT3,CPNE3,GNMT	MCPH1,RECQL4,GAMT,XAGE2,HDAC7,FAM122A,CRYGS,IDO1,IFNGR1,AKR1B10,HMGN4,ZNF146,HAGH,GAGE5,NAIF1,C1orf174,TSSC4,ZNF414,VGLL4,ANXA8L1,PCNP,CRYBB1,HAAO,TERF2IP,NUDT14,ADA,SCRN2,NUDT18,AKR7A3,RBBP9,OCM2,CALML3,AK1,LGALSL,PGLS,MEF2A,AKR1A1,PNMT,RNF8,NXNL1,WDR70,YRDC,PCP4
535	-	FXYD1	ABCE1	GIGYF1,ADCK2,CBLL1,SAMSN1,LARS2,PANK1,WASF2,WWC2,YWHAQ,CDK16,ARHGAP23,ANKRD18A,SLC8A2,RNASE2,KCNK15,ARFGEF1,SIPA1L3,EIF4E2,ZNRF1,MFF,ZNRF2,MPL,PTPN14,ATP1A2,KANK1
567	PENK	-	-	AUP1,GJA4,WLS,KCNF1,OPRM1,VAPA,DOK4,DOK5,OPRK1
570	-	HIST1H1T	SUMO1,MTDH,PRKCZ	ZCCHC12,MTBP,CASP8AP2,RBM15B,MAFG,ZNF141,RPF2,SOBP,PIR,SUMO3,C5orf42,ZNF362,OTUD6B,ZNF675,GFAP,FAM179B,PLAGL2,PAK1,VPS72,ELAVL4,MRPL27,ELAVL3,MX1,NOX5,SETBP1,ZFP91,RBAK,RCN2,UROC1,PPM1J,H3F3C,ZNF281,ZNF224,PRSS50,TSHZ2,HERC2,BLVRA,BCAM,SMCHD1,ZFHX2,POLN,LGALS13,NANOG,FZD8,KCNC3,SMC5,SMC6,ZNF431,RBM15,ZNF107,BIRC8,BEND3,PAF1,RABL2A,SALL4,FOXL2,IGF2BP1,UHRF2,LRP4,ADARB2,AGPAT5,NSMCE1,NSMCE2,GPSM2,KCTD1,KTN1,STAB2,SOX3,GNAT2,HIST1H2AC,MZF1,TFAP2C,TFAP2B,KCNK1,KLF7,PFKM,MBD1,POTEE,ZCCHC7,PLAG1,ASF1B,ANXA5,SYDE2,ANLN,TRIP12,RCC2,AIRE,RNF168,NKTR,MAP3K14,ZNF91,MYLK2,KAT6A
577	-	PAH	HNF1B	BCAN,PCBD1,SSX3,LRPAP1,MIS18BP1,SEPHS1,DIP2C,SOWAHC,QDPR,LRP1B,CHMP2A,ATP1A3,ZNF23,ZNF263,ATG14,PAPOLG,FAM135A
631	-	MCM4	-	ORC4,NCKAP1,CAP2
641	-	KCNN2	CHEK2,HNRNPA1,PRKACA,ALKBH3,SERPINB10	ZRANB2,FBXO15,SFMBT1,SRSF12,MKNK2,ARHGAP26,ZNF444,MBNL3,METTL14,LARP1,NSRP1,STAU1,SPAG11B,KCNAB1,KIAA1841,SETD3,EPB41L4A,CAB39L,FAM76B,WDR55,H2AFY,DDX47,MRPL43,ARHGAP12,SERF1B,HMGN3,NOVA1,C16orf78,SLAIN2,MAPKAPK5,LUC7L,SRSF4,DUS1L,YPEL3,YPEL2,TULP2,SRSF8,C11orf52,ZNF514,SPANXN4,C6orf201,TFEB,POLR2E,ARGLU1,FGF1,DNAJC8,RBM23,SERBP1,CLK1,C11orf63,EPHA7,EPHA3,TNFRSF10C,ADPRH,NOL4L,YTHDC1,TNPO3,C18orf25,DAW1,SEC23B,PELI2,LCE3D,CDKL3,RIMS4,FGF12,DUSP6,CLIC5,ARL6IP4,EFNA2,FERMT1,C11orf87,SRPK1,TRIM65,TAF1B,EMILIN1,TAAR8,NXT2,HOXA3,MYO16,CRHR1,CSAG1,OCEL1,SPATS2,ZMYND11,P2RX6,ZRSR2,NSMCE4A,OR6B3,TRA2B,RSRP1,SCAF11,CDC42EP3,SRSF7,SNF8,PHF7,LINC00312
