rank	biomarkers	candidates	cluster
284	MME		RAP2B,NPR1,ATP12A,KEL,FAAH,FAM234A,METTL7A,PDIA5,ADM,FAM83F,DNAJB12,CMA1,TM9SF1,POTEI,EDN1,KBTBD3,EDN2,NPPC
285		SLC15A2	SSTR5,GUCY2C,FARP2,PDZK1
297	YY1	KRT15	RUVBL1,PFDN4,TTI1,RUVBL2,C12orf45,TFPT,CCDC87,INO80,ING3,PIH1D1,ACTR8,TELO2,ACTR5,INO80E,INO80B,INO80C,TTI2
298	MCM7	SATB1,SOX4,GATA3	CLOCK,COPS2,IFNA7,EP300,GPBP1,MMP23B,CD2,MAP9,HIST1H2AA,TP63,SPI1,KLF16,S1PR1,U2AF2,FBXW8,EMB,DUSP2,CTF1,TRIM24,MN1,XPA,CD69,HIST1H2BA,TP53BP2,UBR1,SNAI1,HIST2H2AB,TCL1A,ITK,NPY5R,MTF1,JDP2,TP73,L3MBTL1,CREBBP,PPP1R13L,BCL3
301	NUCB2		ERAP1,ARFGEF2
304	ETV1		CNTNAP2,KCNA2
308		RNF2	E2F6,PCGF2,PCGF6,YY2,RING1,ZFP42,L3MBTL2
311	HSD17B3		PSD3,PLPP2,NDFIP2,ATAD5,SPERT,RAD9A,CLIC1,MLH1,TPRG1L,SLC25A23,PTP4A2,RRBP1,NONO,CPVL
315	FGF7		FGF22,FGFBP1
321	PLK1	CDK1	RERE,INCENP,BTN1A1,TMF1,GTSE1,PTHLH,KAT7,CLIP1,WDCP,RGPD4,EVI5,PSMB2,DNHD1,PAK3
323	KLK3	PZP	SLPI,CDK10,SEMG2
324		NOTCH3	NOTCH4,MAML2,NOTCH2,MAML1
325	BRCA2		SMC1A,STAG2,STAG3,SMC3,NIPBL,PDS5B,REC8,CDCA5,SYCP3
328	MKI67	CUL7,CDON,DLGAP1,MYLK,PLCG1	ASB16,TGDS,RAPGEF1,DAB2,EPX,ADAMTS2,SEMA7A,CACNA1F,FAM110A,DLGAP3,PYGB,DLGAP4,WDR61,PRX,ARHGEF11,WNK2,TDRD1,EXTL3,LRRC3,KIFC2,OSBPL5,AKAP6,HCN2,NFS1,DKKL1,SNX3,ISG20L2,DOCK3,GAB3,POLR1B,BAZ2A,NCKAP5,CCKBR,LRRK1,GSX2,TULP1,AFF2,TULP4,PIK3R1,PRKG2,DLX4,CSDC2,OXT,DNASE1L2,EFS,GTF2IRD1,NFASC,PAX3,DTNBP1,GLMN,GCFC2,ABCG5,CDC27,TMEM74B,SEPN1,SLC22A3,NXPH3,MYO1C,CSMD2,SHROOM2,CD300LB,SOS2,ABL1,ABL2,GABRA3,SNX17,DLGAP2,SNX12,CDKL5,NPVF,CAST,FANCA,C6,RIMS2,PHACTR2,CELSR3,IL3RA,SH2B3,LRBA,TPSB2,SCARF2,GSTZ1,SLC23A1,CHRD,PREP,ASAP2,MAP4K1,MAP4K5,PCDHA7,MSH5,CNTNAP1,GABBR1,P2RX7,EPS15,MEPE,PPFIA3,FYN,UHMK1,BRPF3,APOL5,VPS13A,SUV39H2,GLTSCR1,SLC24A1,ABR,PRICKLE3,DUSP15,GPR45,SHANK3,ZC4H2,NCK1,KIF13A,ARHGAP33,CKAP5
338		SFRP2	WNT1
339		PGR	SNW1
343		CDK7	GTF2H3,GTF2H1,ERCC2,GTF2H5,GTF2H4
351	DAB2IP		NIN,DACT1,AXIN1
355	E2F3,E2F1		DRAM1,SERTAD2,BTG3,E2F2,ZMYND10,LAPTM4B,PRKAG3,PKIB,ATAD2,SETD1A,TEAD3,NGRN,PHF8,RNF144A,CHL1,UBXN1,MYH7
367		MT1A	GPR50,MT2A
369		HMGCR	RNASE1,ZNRF4,SOAT1,UBIAD1,PRAF2,CHRNA5,TRPV4,KSR1,UBXN4,BCAP31,YIPF3,CANX,BSCL2
373		SPARCL1	MMP17,ATP2A2,SCG2,PDIK1L,TNF,SPOCK1,NT5DC3,EED,SEC16A,LIN54,ERICH2,OPRD1
375	ADRB2		KCNJ3,IDH3A,ETFB,TMUB1,KCNJ5,GNG12,RAB18,HTR4
386		HSPA9	DNLZ,ABHD14A,BZW2
388	LAMC1		LMF2,COLGALT1,H6PD,LRIG2,FBXO6,EMILIN2,LAMB1,LAMB2,PTGFRN,ASAH1,ATP6AP1,FOXRED2,P3H4,OST4,GAA,GUSB,GNGT1,NAGLU,ENPP1,EDEM3,NAGA,KIAA1161,B3GALNT2,ERO1B,FUCA2,RHO,SGSH,PXDN
390		POSTN	TRAPPC2L,TRAPPC8,TRAPPC3L,SPATA22,TECPR1,TRAPPC5,TRAPPC4,REPS2,TRAPPC1,TRAPPC6B,TRAPPC11,TRAPPC10,TRAPPC12
